Gen_Index,Name,Zone,Category,Capacity,Fuel_Cost,Can_Spin
111,Riverside 4,BG&E,ST,78.0,21.70291473,1
112,Westport 5,BG&E,CT,121.0,66.724683092316,1
113,Crisfield 14,DPL,DS,10.0,132.21805012000002,1
114,Vienna 10,DPL,CT,21.0,47.903907160463,1
115,Vienna 08,DPL,ST,156.0,21.70291473,1
116,Deep Creek 2,APS,HD,10.0,0.0,1
117,Deep Creek 1,APS,HD,10.0,0.0,1
120,Chalk Point CT 1,PEPCO,CT,18.0,61.433357850467004,1
121,Chalk Point SMECO CT,PEPCO,CT,93.0,61.433357850467004,1
122,Chalk Point CT 2,PEPCO,CT,35.0,61.433357850467004,1
123,Chalk Point CT 3,PEPCO,CT,99.0,61.433357850467004,1
124,Chalk Point 2,PEPCO,ST,343.0,27.156008901000003,1
125,Chalk Point 3,PEPCO,ST,612.0,27.156008901000003,1
126,Chalk Point CT 6,PEPCO,CT,120.0,61.433357850467004,1
127,Chalk Point CT 4,PEPCO,CT,99.0,61.433357850467004,1
128,Chalk Point 4,PEPCO,ST,612.0,27.156008901000003,1
129,Chalk Point 1,PEPCO,ST,341.0,27.156008901000003,1
130,Chalk Point CT 5,PEPCO,CT,120.0,61.433357850467004,1
131,Dickerson CT,PEPCO,CT,18.0,70.70216543124,1
132,Dickerson H CT 2,PEPCO,CT,167.0,70.70216543124,1
133,Dickerson 1,PEPCO,ST,182.0,31.253193720000002,1
134,Dickerson 3,PEPCO,ST,182.0,31.253193720000002,1
135,Dickerson H CT 1,PEPCO,CT,167.0,70.70216543124,1
136,Dickerson 2,PEPCO,ST,182.0,31.253193720000002,1
137,Morgantown CT 5,PEPCO,CT,65.0,49.59018099986,1
138,Morgantown CT 4,PEPCO,CT,65.0,49.59018099986,1
139,Morgantown CT 6,PEPCO,CT,65.0,49.59018099986,1
140,Morgantown CT 3,PEPCO,CT,65.0,49.59018099986,1
141,Morgantown CT 2,PEPCO,CT,20.0,49.59018099986,1
142,Morgantown 2,PEPCO,ST,620.0,21.920849580000002,1
143,Morgantown 1,PEPCO,ST,624.0,21.920849580000002,1
144,Morgantown CT 1,PEPCO,CT,20.0,49.59018099986,1
145,Conowingo 10,DPL,HD,65.0,0.0,1
146,Conowingo 01,DPL,HD,48.0,0.0,1
147,Conowingo 11,DPL,HD,65.0,0.0,1
148,Conowingo 09,DPL,HD,65.0,0.0,1
149,Conowingo 07,DPL,HD,48.0,0.0,1
150,Conowingo 04,DPL,HD,48.0,0.0,1
151,Conowingo 05,DPL,HD,36.0,0.0,1
152,Conowingo 06,DPL,HD,48.0,0.0,1
153,Conowingo 02,DPL,HD,36.0,0.0,1
154,Conowingo 08,DPL,HD,65.0,0.0,1
155,Conowingo 03,DPL,HD,48.0,0.0,1
156,Easton 12,DPL,DS,4.1,277.79555557000003,1
157,Easton 11,DPL,DS,3.6,277.79555557000003,1
158,Easton 07,DPL,DS,2.0,277.79555557000003,1
159,Easton101,DPL,DS,1.5,277.79555557000003,1
160,Easton 13,DPL,DS,5.6,277.79555557000003,1
161,Easton 10,DPL,DS,3.5,277.79555557000003,1
162,Easton102,DPL,DS,1.5,277.79555557000003,1
163,Easton 14,DPL,DS,5.6,277.79555557000003,1
164,Easton 08,DPL,DS,2.0,277.79555557000003,1
165,Easton 09,DPL,DS,2.5,277.79555557000003,1
166,Berr Sprg 12,AEP,HD,0.6,0.0,1
167,Berr Sprg 09,AEP,HD,0.6,0.0,1
168,Berr Sprg 01,AEP,HD,0.6,0.0,1
169,Berr Sprg 02,AEP,HD,0.6,0.0,1
170,Berr Sprg 05,AEP,HD,0.6,0.0,1
171,Berr Sprg 07,AEP,HD,0.6,0.0,1
172,Berr Sprg 04,AEP,HD,0.6,0.0,1
173,Berr Sprg 10,AEP,HD,0.6,0.0,1
174,Berr Sprg 11,AEP,HD,0.6,0.0,1
175,Berr Sprg 08,AEP,HD,0.6,0.0,1
176,Berr Sprg 06,AEP,HD,0.6,0.0,1
177,Berr Sprg 03,AEP,HD,0.6,0.0,1
178,Buchanan 10,AEP,HD,0.5,0.0,1
179,Buchanan 01,AEP,HD,0.4,0.0,1
180,Buchanan 06,AEP,HD,0.4,0.0,1
181,Buchanan 05,AEP,HD,0.4,0.0,1
182,Buchanan 04,AEP,HD,0.4,0.0,1
183,Buchanan 08,AEP,HD,0.5,0.0,1
184,Buchanan 09,AEP,HD,0.5,0.0,1
185,Buchanan 07,AEP,HD,0.5,0.0,1
186,Buchanan 03,AEP,HD,0.4,0.0,1
187,Buchanan 02,AEP,HD,0.4,0.0,1
188,Constantine 2,AEP,HD,0.3,0.0,1
189,Constantine 1,AEP,HD,0.3,0.0,1
190,Constantine 4,AEP,HD,0.3,0.0,1
191,Constantine 3,AEP,HD,0.3,0.0,1
192,Mottville 1,AEP,HD,1.0,0.0,1
193,Mottville 4,AEP,HD,1.0,0.0,1
194,Mottville 2,AEP,HD,1.0,0.0,1
195,Mottville 3,AEP,HD,1.0,0.0,1
196,Clinton 1,MISO,NU,1065.1,5.22956383,1
197,England Diesel 4,AE,DS,2.0,133.02623425,1
198,England Diesel 2,AE,DS,2.0,133.02623425,1
199,England Diesel 3,AE,DS,2.0,133.02623425,1
200,England 2,AE,ST,155.0,23.828079954,1
201,England Diesel 1,AE,DS,2.0,133.02623425,1
202,England 1,AE,ST,129.0,21.70291473,1
203,England 3,AE,ST,160.0,21.70291473,1
204,Carll s Corner 1,AE,CT,43.0,79.556667125405,1
205,Carll s Corner 2,AE,CT,43.0,79.556667125405,1
206,Cedar Station 2,JCPL,CT,26.0,47.903907160463,1
207,Cedar Station 1,JCPL,CT,52.0,47.903907160463,1
208,Middle Station 1,AE,CT,23.0,47.903907160463,1
209,Middle Station 3,AE,CT,44.0,47.903907160463,1
210,Middle Station 2,AE,CT,23.0,47.903907160463,1
211,Missouri Ave C,AE,CT,24.0,47.903907160463,1
212,Missouri Ave B,AE,CT,24.0,47.903907160463,1
213,Missouri Ave D,AE,CT,24.0,47.903907160463,1
214,Deepwater 1,DPL,ST,87.0,21.70291473,1
218,Deepwater 6/8,DPL,ST,81.0,21.70291473,1
220,Werner C3,PSEG,CT,73.0,47.903907160463,1
221,Werner C2,PSEG,CT,73.0,47.903907160463,1
223,Werner C4,PSEG,CT,73.0,47.903907160463,1
224,Werner C1,PSEG,CT,73.0,47.903907160463,1
225,Oyster Creek 1,JCPL,NU,637.0,5.22956384,1
226,Sayreville C4,PSEG,CT,77.0,47.903907160463,1
227,Sayreville C3,PSEG,CT,77.0,47.903907160463,1
229,Sayreville C1,PSEG,CT,77.0,47.903907160463,1
230,Sayreville C2,PSEG,CT,73.0,47.903907160463,1
232,Gilbert 6,JCPL,CC,70.0,117.345574776501,1
233,Gilbert C4,JCPL,CT,31.0,47.903907160463,1
234,Gilbert C3,JCPL,CT,31.0,47.903907160463,1
235,Gilbert C1,JCPL,CT,31.0,47.903907160463,1
236,Gilbert 7,JCPL,CC,70.0,117.345574776501,1
237,Gilbert 5,JCPL,CC,70.0,117.345574776501,1
240,Gilbert 4,JCPL,CC,70.0,117.345574776501,1
241,Gilbert C2,JCPL,CT,31.0,47.903907160463,1
242,Gilbert CT 9,JCPL,CT,183.0,117.345574776501,1
243,Gilbert 8CC,JCPL,CC,117.1,117.345574776501,1
247,Bergen 3,RE,CT,24.0,47.903907160463,1
249,Bergen 2CC,RE,CC,596.0,36.2394783855463,1
250,Bergen 1CC,RE,CC,675.0,36.2394783855463,1
252,Burlington 092,PSEG,CT,52.0,47.903907160463,1
253,Burlington 093,PSEG,CT,52.0,47.903907160463,1
254,Burlington 124,PSEG,CT,42.0,54.815574886941,1
257,Burlington 091,PSEG,CT,52.0,47.903907160463,1
258,Burlington 112,PSEG,CT,52.0,47.903907160463,1
259,Burlington 123,PSEG,CT,42.0,54.815574886941,1
260,Burlington 113,PSEG,CT,52.0,47.903907160463,1
261,Burlington 008,PSEG,CT,24.0,47.903907160463,1
262,Burlington 122,PSEG,CT,42.0,54.815574886941,1
263,Burlington 111,PSEG,CT,52.0,47.903907160463,1
264,Burlington 094,PSEG,CT,52.0,47.903907160463,1
265,Burlington 114,PSEG,CT,52.0,47.903907160463,1
266,Burlington 121,PSEG,CT,42.0,54.815574886941,1
267,Edison 32,PSEG,CT,48.0,47.903907160463,1
268,Edison 34,PSEG,CT,48.0,47.903907160463,1
269,Edison 13,PSEG,CT,48.0,47.903907160463,1
270,Edison 31,PSEG,CT,48.0,47.903907160463,1
271,Edison 24,PSEG,CT,48.0,47.903907160463,1
272,Edison 14,PSEG,CT,48.0,47.903907160463,1
273,Edison 33,PSEG,CT,48.0,47.903907160463,1
274,Edison 21,PSEG,CT,48.0,47.903907160463,1
275,Edison 12,PSEG,CT,48.0,47.903907160463,1
276,Edison 11,PSEG,CT,48.0,47.903907160463,1
277,Edison 22,PSEG,CT,48.0,47.903907160463,1
278,Edison 23,PSEG,CT,48.0,47.903907160463,1
279,Essex 123,PSEG,CT,53.0,47.903907160463,1
280,Essex 122,PSEG,CT,53.0,47.903907160463,1
281,Essex 114,PSEG,CT,53.0,47.903907160463,1
282,Essex 103,PSEG,CT,48.0,47.903907160463,1
283,Essex 121,PSEG,CT,53.0,47.903907160463,1
284,Essex 101,PSEG,CT,48.0,47.903907160463,1
285,Essex 9,PSEG,CT,93.0,70.269467922187,1
286,Essex 104,PSEG,CT,48.0,47.903907160463,1
287,Essex 124,PSEG,CT,53.0,47.903907160463,1
288,Essex 112,PSEG,CT,53.0,47.903907160463,1
