Gen_Index,commitinit,upinit,downinit
General Foods 1 NUG,0,0,220
Kent CT 2,0,0,48
Kent CT 1,0,0,220
LGP NUG (Logan),1,120,0
Kinsley Landfill,0,0,24
Cogentrix Portsmouth 2 (Lk.Kingman),0,0,24
Cogentrix Portsmouth 1 (Lk.Kingman),0,0,24
PCLP1 NUG,0,0,220
Gilberton NUG,1,120,0
Harrisburg NUG,1,17,0
IUP NUG,1,63,0
Colver NUG,1,17,0
Grant Town,1,120,0
South River NUG,0,0,220
Mt Carmel Cogen (FosterWheeler),1,120,0
Cogentrix Hopewell 2 (James River),1,67,0
Cogentrix Hopewell 1 (James River),1,66,0
Edgecombe 2 (Rocky Mt),1,41,0
Edgecombe 1 (Rocky Mt),1,63,0
Camden County RR NUG,0,0,24
CPGP NUG (Chambers/Carneys PT),1,59,0
Ebensburg NUG,1,120,0
Baltimore Resco NUG (Bresco),1,120,0
Hopewell Cogen 1 (HCF),0,0,220
Cambria County NUG,1,120,0
Essex County RR NUG (Covanta),0,0,24
AES Beaver,0,0,220
Warrior Run,1,120,0
Del Resource Mgmt Inc NUG,1,48,0
Camden COGEN,0,0,24
Hopewell Coal (Polyester),0,0,24
Altavista (Hall Branch),1,11,0
Southampton 1,1,17,0
Kenilworth NUG,0,0,220
Hazelton LM 200,0,0,220
Hazelton LM 400,0,0,220
Hazelton GT 100,0,0,220
Hazelton LM 300,0,0,220
Big Sandy 1,0,0,220
Big Sandy (AEP) 2,1,120,0
Big Sandy 4,0,0,24
Big Sandy (AEP) 1,1,120,0
Big Sandy 5,0,0,24
Big Sandy 3,0,0,24
Big Sandy 6,0,0,24
Big Sandy 2,0,0,220
Barkley 3,0,0,220
Barkley 2,1,120,0
Barkley 1,1,120,0
Barkley 4,1,120,0
Elmer Smith 1,1,5,0
Elmer Smith 2,1,78,0
Wolf Creek 6,1,120,0
Wolf Creek 5,1,120,0
Wolf Creek 4,1,120,0
Wolf Creek 1,1,120,0
Wolf Creek 2,1,120,0
Wolf Creek 3,1,120,0
Cooper 2,1,56,0
Cooper 1,1,120,0
Dale 2,0,0,220
Dale 3,0,0,220
Dale 4,0,0,220
Dale 1,0,0,220
Charles Crane CT 1,0,0,48
Charles Crane 1,1,120,0
Charles Crane 2,1,29,0
Gould St 3,0,0,220
Herbert Wagner 4,0,0,24
Herbert Wagner 2,1,120,0
Herbert Wagner 3,1,120,0
Herbert Wagner 1,1,58,0
Herbert Wagner CT 1,0,0,48
Notch Cliff 3,0,0,220
Notch Cliff 2,0,0,220
Notch Cliff 5,0,0,220
Notch Cliff 7,0,0,220
Notch Cliff 6,0,0,220
Notch Cliff 8,0,0,220
Notch Cliff 1,0,0,220
Notch Cliff 4,0,0,220
Perryman 2,0,0,24
Perryman 51,1,48,0
Perryman 1,0,0,48
Perryman 4,0,0,48
Perryman 3,0,0,220
Philadelphia Road 4,0,0,48
Philadelphia Road 1,0,0,220
Philadelphia Road 3,0,0,48
Philadelphia Road 2,0,0,48
Riverside 7,0,0,220
Riverside 1 (Zelda 1),0,0,24
Riverside 2 (Zelda 2),0,0,24
Riverside 8,0,0,220
Riverside 6,0,0,220
Riverside 3 (Zelda 3),0,0,24
Riverside 4,0,0,220
Westport 5,0,0,220
Crisfield 14,0,0,24
Vienna 10,0,0,220
Vienna 08,1,47,0
Deep Creek 2,1,120,0
Deep Creek 1,1,120,0
Chalk Point CT 1,0,0,48
Chalk Point SMECO CT,0,0,220
Chalk Point CT 2,0,0,220
Chalk Point CT 3,0,0,220
Chalk Point 2,1,120,0
Chalk Point 3,0,0,220
Chalk Point CT 6,0,0,48
Chalk Point CT 4,0,0,220
Chalk Point 4,0,0,220
Chalk Point 1,1,120,0
Chalk Point CT 5,0,0,24
Dickerson CT,0,0,220
Dickerson H CT 2,0,0,220
Dickerson 1,1,120,0
Dickerson 3,1,64,0
Dickerson H CT 1,0,0,220
Dickerson 2,1,120,0
Morgantown CT 5,0,0,48
Morgantown CT 4,0,0,48
Morgantown CT 6,0,0,48
Morgantown CT 3,0,0,48
Morgantown CT 2,0,0,48
Morgantown 2,1,120,0
Morgantown 1,1,120,0
Morgantown CT 1,0,0,48
Conowingo 10,0,0,12
Conowingo 01,0,0,4
Conowingo 11,0,0,12
Conowingo 09,0,0,12
Conowingo 07,0,0,25
Conowingo 04,0,0,2
Conowingo 05,0,0,2
Conowingo 06,0,0,35
Conowingo 02,0,0,25
Conowingo 08,0,0,25
Conowingo 03,0,0,2
Easton 12,0,0,24
Easton 11,0,0,24
Easton 07,0,0,220
Easton101,0,0,220
Easton 13,0,0,220
Easton 10,0,0,24
Easton102,0,0,24
Easton 14,0,0,24
Easton 08,0,0,24
Easton 09,0,0,220
Berr Sprg 12,1,120,0
Berr Sprg 09,0,0,220
Berr Sprg 01,1,10,0
Berr Sprg 02,1,2,0
Berr Sprg 05,1,14,0
Berr Sprg 07,0,0,220
Berr Sprg 04,0,0,220
Berr Sprg 10,0,0,220
Berr Sprg 11,1,120,0
Berr Sprg 08,1,120,0
Berr Sprg 06,1,7,0
Berr Sprg 03,1,2,0
Buchanan 10,1,120,0
Buchanan 01,0,0,79
Buchanan 06,1,120,0
Buchanan 05,1,37,0
Buchanan 04,1,14,0
Buchanan 08,1,120,0
Buchanan 09,1,120,0
Buchanan 07,1,120,0
Buchanan 03,1,9,0
Buchanan 02,0,0,73
Constantine 2,1,23,0
Constantine 1,1,120,0
Constantine 4,1,120,0
Constantine 3,0,0,220
Mottville 1,1,120,0
Mottville 4,0,0,220
Mottville 2,1,4,0
Mottville 3,1,120,0
Clinton 1,1,120,0
England Diesel 4,0,0,220
England Diesel 2,0,0,220
England Diesel 3,0,0,220
England 2,1,120,0
England Diesel 1,0,0,220
England 1,0,0,220
England 3,1,24,0
Carll s Corner 1,0,0,220
Carll s Corner 2,0,0,220
Cedar Station 2,0,0,48
Cedar Station 1,0,0,48
Middle Station 1,0,0,48
Middle Station 3,0,0,220
Middle Station 2,0,0,48
Missouri Ave C,0,0,220
Missouri Ave B,0,0,24
Missouri Ave D,0,0,24
Deepwater 1,0,0,220
Deepwater 6/8,0,0,220
Werner C3,0,0,220
Werner C2,0,0,220
Werner C4,0,0,220
Werner C1,0,0,220
Oyster Creek 1,1,120,0
Sayreville C4,0,0,220
Sayreville C3,0,0,220
Sayreville C1,0,0,220
Sayreville C2,0,0,220
Gilbert 6,0,0,24
Gilbert C4,0,0,220
Gilbert C3,0,0,220
Gilbert C1,0,0,220
Gilbert 7,0,0,24
Gilbert 5,0,0,220
Gilbert 4,0,0,220
Gilbert C2,0,0,220
Gilbert CT 9,0,0,220
Gilbert 8CC,0,0,24
Bergen 3,0,0,220
Bergen 2CC,0,0,24
Bergen 1CC,1,48,0
Burlington 092,0,0,24
Burlington 093,0,0,24
Burlington 124,0,0,48
Burlington 091,0,0,220
Burlington 112,0,0,220
Burlington 123,0,0,48
Burlington 113,0,0,24
Burlington 008,0,0,220
Burlington 122,0,0,24
Burlington 111,0,0,220
Burlington 094,0,0,220
Burlington 114,0,0,220
Burlington 121,0,0,24
Edison 32,0,0,48
Edison 34,0,0,48
Edison 13,0,0,220
Edison 31,0,0,48
Edison 24,0,0,220
Edison 14,0,0,220
Edison 33,0,0,48
Edison 21,0,0,220
Edison 12,0,0,220
Edison 11,0,0,220
Edison 22,0,0,220
Edison 23,0,0,220
Essex 123,0,0,220
Essex 122,0,0,220
Essex 114,0,0,220
Essex 103,0,0,220
Essex 121,0,0,220
Essex 101,0,0,48
Essex 9,0,0,48
Essex 104,0,0,220
Essex 124,0,0,220
Essex 112,0,0,220
Essex 111,0,0,220
Essex 113,0,0,220
Essex 102,0,0,48
Hudson 2,0,0,72
Kearney 133,0,0,48
Kearney 132,0,0,48
Kearney 134,0,0,48
Kearney 142,0,0,48
Kearney 124,0,0,48
Kearney 131,0,0,48
Kearney 09,0,0,220
Kearney 122,0,0,48
Kearney 121,0,0,48
Kearney 141,0,0,48
Kearney 123,0,0,48
Linden 1,0,0,220
Linden 2,0,0,220
Linden 8,0,0,220
Linden 7,0,0,220
Linden 6,0,0,48
Linden 5,0,0,48
Mercer 1,0,0,220
Mercer 2,1,16,0
Mercer 3,0,0,220
National Park,0,0,220
Salem 1,1,120,0
Salem 3,0,0,220
Salem 2,1,120,0
Sewaren 1,0,0,220
Sewaren 2,0,0,220
Sewaren 6,0,0,220
Sewaren 3,0,0,220
Sewaren 4,0,0,220
Vineland CT 11,0,0,24
Gaston 4,0,0,2
Gaston 2,0,0,1
Gaston 1,0,0,15
Gaston 3,0,0,1
Roanoke Rapids 1,1,120,0
Roanoke Rapids 3,1,39,0
Roanoke Rapids 4,1,39,0
Roanoke Rapids 2,1,39,0
Buxton 3,0,0,220
Buxton 1,0,0,220
Buxton 2,0,0,220
Buxton 5,0,0,220
Buxton 4,0,0,220
Cardinal 1,0,0,72
Cardinal 3,0,0,220
Cardinal 2,1,120,0
Beckjord 5,1,120,0
Beckjord GT 4,0,0,48
Beckjord GT 1,0,0,48
Beckjord 6,1,120,0
Beckjord 4,0,0,220
Beckjord GT 3,0,0,48
Beckjord GT 2,0,0,220
Dicks Creek 5,0,0,24
Dicks Creek 4,0,0,24
Dicks Creek 3,0,0,24
Dicks Creek 1,0,0,220
Miami Fort 6,0,0,96
Miami Fort GT 4,0,0,220
Miami Fort GT 3,0,0,220
Miami Fort 7,1,120,0
Miami Fort GT 5,0,0,24
Miami Fort 8,1,120,0
Miami Fort GT 6,0,0,24
Ashtabula 5,0,0,220
Avon Lake 7,0,0,24
Avon Lake 10,0,0,220
Avon Lake 9,1,120,0
Eastlake 2,1,66,0
Eastlake 6 CT,0,0,220
Eastlake 3,1,61,0
Eastlake 1,1,120,0
Lake Shore D2,0,0,220
Lake Shore 18,0,0,24
Lake Shore D1,0,0,220
Conesville 6,0,0,24
Conesville 4,1,120,0
Conesville 5,1,64,0
Picway 5,0,0,220
Tait GT 2,0,0,220
Tait GT 3,0,0,220
Tait GT 1,0,0,220
Tait D 4,0,0,220
Tait D 1,0,0,220
Tait D 3,1,41,0
Tait D 2,0,0,220
Hutchings CT 7,0,0,220
Hutchings 3,0,0,220
Hutchings 6,0,0,220
Hutchings 1,0,0,220
Hutchings 2,0,0,220
Hutchings 5,0,0,220
Stuart 1,1,120,0
Stuart 4,1,120,0
Stuart 2,1,49,0
Stuart D 2,0,0,220
Stuart D 1,0,0,220
Stuart 3,0,0,220
Stuart D 4,0,0,220
Stuart D 3,0,0,220
Monument D 3,0,0,220
Monument D 5,0,0,220
Monument D 2,0,0,220
Monument D 1,0,0,220
