timepoint,temperature
1,-1.1
2,-3.3
3,0.0
4,-0.6
5,-3.3
6,-2.8
7,-2.2
8,-3.3
9,-2.2
10,-1.7
11,-3.9
12,-2.8
13,-3.3
14,-5.6
15,-0.6
16,2.2
17,3.9
18,5.6
19,6.7
20,7.2
21,7.8
22,7.8
23,6.1
24,2.8
