Gen_Index,zone,capacity,Ramp_Rate,Ramp_Start,Ramp_Shutdown
Philadelphia Road 2,EAST,0.0,3.2,15.2,1.6
Riverside 7,EAST,0.0,4.4,20.9,2.2
Riverside 1 (Zelda 1),EAST,0.0,41.6,197.6,20.8
Riverside 2 (Zelda 2),EAST,0.0,41.6,197.6,20.8
Riverside 8,EAST,0.0,4.4,20.9,2.2
Riverside 6,EAST,0.0,25.400000000000002,120.64999999999999,12.700000000000001
Riverside 3 (Zelda 3),EAST,0.0,41.6,197.6,20.8
Riverside 4,EAST,0.0,15.600000000000001,74.1,7.800000000000001
Westport 5,EAST,0.0,24.200000000000003,114.94999999999999,12.100000000000001
Crisfield 14,EAST,10.0,2.0,9.5,1.0
Vienna 10,EAST,21.0,4.2,19.95,2.1
Vienna 08,EAST,156.0,31.200000000000003,148.2,15.600000000000001
Deep Creek 2,EAST,0.0,2.0,9.5,1.0
Deep Creek 1,EAST,0.0,2.0,9.5,1.0
Chalk Point CT 1,EAST,0.0,3.6,17.099999999999998,1.8
Chalk Point SMECO CT,EAST,0.0,18.6,88.35,9.3
Chalk Point CT 2,EAST,0.0,7.0,33.25,3.5
Chalk Point CT 3,EAST,0.0,19.8,94.05,9.9
Chalk Point 2,EAST,0.0,68.60000000000001,325.84999999999997,34.300000000000004
Chalk Point 3,EAST,0.0,122.4,581.4,61.2
Chalk Point CT 6,EAST,0.0,24.0,114.0,12.0
Chalk Point CT 4,EAST,0.0,19.8,94.05,9.9
Chalk Point 4,EAST,0.0,122.4,581.4,61.2
Chalk Point 1,EAST,0.0,68.2,323.95,34.1
Chalk Point CT 5,EAST,0.0,24.0,114.0,12.0
Dickerson CT,EAST,0.0,3.6,17.099999999999998,1.8
Dickerson H CT 2,EAST,0.0,33.4,158.65,16.7
Dickerson 1,EAST,0.0,36.4,172.9,18.2
Dickerson 3,EAST,0.0,36.4,172.9,18.2
Dickerson H CT 1,EAST,0.0,33.4,158.65,16.7
Dickerson 2,EAST,0.0,36.4,172.9,18.2
Morgantown CT 5,EAST,0.0,13.0,61.75,6.5
Morgantown CT 4,EAST,0.0,13.0,61.75,6.5
Morgantown CT 6,EAST,0.0,13.0,61.75,6.5
Morgantown CT 3,EAST,0.0,13.0,61.75,6.5
Morgantown CT 2,EAST,0.0,4.0,19.0,2.0
Morgantown 2,EAST,0.0,124.0,589.0,62.0
Morgantown 1,EAST,0.0,124.80000000000001,592.8,62.400000000000006
Morgantown CT 1,EAST,0.0,4.0,19.0,2.0
Conowingo 10,EAST,32.875,13.0,61.75,6.5
Conowingo 01,EAST,14.53494623655914,9.600000000000001,45.599999999999994,4.800000000000001
Conowingo 11,EAST,35.84677419354839,13.0,61.75,6.5
Conowingo 09,EAST,32.458333333333336,13.0,61.75,6.5
Conowingo 07,EAST,21.077956989247312,9.600000000000001,45.599999999999994,4.800000000000001
Conowingo 04,EAST,23.971774193548384,9.600000000000001,45.599999999999994,4.800000000000001
Conowingo 05,EAST,22.135752688172044,7.2,34.199999999999996,3.6
Conowingo 06,EAST,10.768817204301076,9.600000000000001,45.599999999999994,4.800000000000001
Conowingo 02,EAST,21.466397849462368,7.2,34.199999999999996,3.6
Conowingo 08,EAST,27.923387096774196,13.0,61.75,6.5
Conowingo 03,EAST,27.807795698924735,9.600000000000001,45.599999999999994,4.800000000000001
Easton 12,EAST,4.1,0.82,3.8949999999999996,0.41
Easton 11,EAST,3.6,0.7200000000000001,3.42,0.36000000000000004
Easton 07,EAST,2.0,0.4,1.9,0.2
Easton101,EAST,1.5,0.30000000000000004,1.4249999999999998,0.15000000000000002
Easton 13,EAST,5.6,1.1199999999999999,5.319999999999999,0.5599999999999999
Easton 10,EAST,3.5,0.7000000000000001,3.3249999999999997,0.35000000000000003
Easton102,EAST,1.5,0.30000000000000004,1.4249999999999998,0.15000000000000002
Easton 14,EAST,5.6,1.1199999999999999,5.319999999999999,0.5599999999999999
Easton 08,EAST,2.0,0.4,1.9,0.2
Easton 09,EAST,2.5,0.5,2.375,0.25
Berr Sprg 12,EAST,0.4697311827956989,0.12,0.57,0.06
Berr Sprg 09,EAST,0.33290322580645165,0.12,0.57,0.06
Berr Sprg 01,EAST,0.42743279569892473,0.12,0.57,0.06
Berr Sprg 02,EAST,0.3692876344086022,0.12,0.57,0.06
Berr Sprg 05,EAST,0.45194892473118276,0.12,0.57,0.06
Berr Sprg 07,EAST,0.0,0.12,0.57,0.06
Berr Sprg 04,EAST,0.0,0.12,0.57,0.06
Berr Sprg 10,EAST,0.0,0.12,0.57,0.06
Berr Sprg 11,EAST,0.5013172043010753,0.12,0.57,0.06
