timepoint,segments,MW,Price
1,1,2001,3499.99999639979
1,2,2001,3499.90508373428
1,3,2001,3478.607530086207
1,4,2001,3155.016349815673
1,5,2001,2081.643691187638
1,6,2001,841.4445091135923
1,7,2001,201.2454628550834
1,8,2001,29.28766519886346
1,9,2001,2.702652567710195
1,10,2001,0.16433427900193387
2,1,1941,3499.9999962001875
2,2,1941,3499.8342975063924
2,3,1941,3470.8748060745334
2,4,1941,3095.7532788896688
2,5,1941,1979.5034416128647
2,6,1941,778.68846825693
2,7,1941,184.02951558408367
2,8,1941,26.939123010893393
2,9,1941,2.5435996626168924
2,10,1941,0.16075322778943377
3,1,1916,3499.9999959205866
3,2,1916,3499.775098130158
3,3,1916,3465.8681365519933
3,4,1916,3062.9816569842246
3,5,1916,1928.621515673624
3,6,1916,749.5960032834569
3,7,1916,176.4687763317844
3,8,1916,25.962744620527236
3,9,1916,2.484459483242768
3,10,1916,0.1603422931364433
4,1,1906,3499.9999957406253
4,2,1906,3499.7423804320865
4,3,1906,3463.30503705855
4,4,1906,3046.739333924536
4,5,1906,1903.4222841349674
4,6,1906,734.761525869441
4,7,1906,172.34591311815004
4,8,1906,25.35440917781177
4,9,1906,2.434305479152691
4,10,1906,0.15811233511989123
5,1,1905,3499.9999957418286
5,2,1905,3499.7419069991006
5,3,1905,3463.2420750249576
5,4,1905,3046.3337941901896
5,5,1905,1902.9034964387718
5,6,1905,734.5839058047751
5,7,1905,172.35533987500557
5,8,1905,25.370414400273127
5,9,1905,2.4378950464372293
5,10,1905,0.1585179753921347
6,1,1931,3499.999996140818
6,2,1931,3499.818133253331
6,3,1931,3469.3459810166455
6,4,1931,3085.1902201846256
6,5,1931,1962.6627774632718
6,6,1931,768.9801392969891
6,7,1931,181.5300639314692
6,8,1931,26.62829964518825
6,9,1931,2.5271238341448807
6,10,1931,0.16097566599416027
7,1,2000,3499.9999964015415
7,2,2000,3499.9051088037654
7,3,2000,3478.626933833528
7,4,2000,3155.400074413644
7,5,2000,2082.905944502849
7,6,2000,842.7656995456595
7,7,2000,201.84303740812211
7,8,2000,29.426518962598426
7,9,2000,2.7211339861332537
7,10,2000,0.16585096832550758
8,1,2107,3499.9999964973535
8,2,2107,3499.9726488930105
8,3,2107,3488.8752693016804
8,4,2107,3251.9460879805647
8,5,2107,2272.4525505818942
8,6,2107,968.2755813862836
8,7,2107,237.36456198364147
8,8,2107,34.24286366104211
8,9,2107,3.0331823917608163
8,10,2107,0.1719032709864753
9,1,2175,3499.9999965034644
9,2,2175,3499.989035262076
9,3,2175,3493.15749984259
9,4,2175,3306.2636176774677
9,5,2175,2399.776031308965
