timepoint,temperature
1,-9.4
2,-9.4
3,-8.9
4,-9.4
5,-10.0
6,-10.0
7,-9.4
8,-9.4
9,-10.0
10,-11.7
11,-12.2
12,-12.8
13,-13.3
14,-12.2
15,-8.9
16,-5.0
17,-1.7
18,0.0
19,2.2
20,3.3
21,4.4
22,3.9
23,2.2
24,-1.1
