,MW on reserve segment
"1,1",1725.00
"1,2",1794.00
"1,3",1760.00
"1,4",1747.00
"1,5",1745.00
"1,6",1750.00
"1,7",1774.00
"1,8",1827.00
"1,9",1869.00
"1,10",1891.00
"1,11",1869.00
"1,12",1834.00
"1,13",1782.00
"1,14",1734.00
"1,15",1575.00
"1,16",1541.00
"1,17",1530.00
"1,18",1503.00
"1,19",1594.00
"1,20",1638.00
"1,21",1629.00
"1,22",1611.00
"1,23",1582.00
"1,24",1532.00
"2,1",1725.00
"2,2",1794.00
"2,3",1760.00
"2,4",1747.00
"2,5",1745.00
"2,6",1750.00
"2,7",1774.00
"2,8",1827.00
"2,9",1869.00
"2,10",1891.00
"2,11",1869.00
"2,12",1834.00
"2,13",1782.00
"2,14",1734.00
"2,15",1575.00
"2,16",1541.00
"2,17",1530.00
"2,18",1503.00
"2,19",1594.00
"2,20",1638.00
"2,21",1629.00
"2,22",1611.00
"2,23",1582.00
"2,24",1532.00
"3,1",1725.00
"3,2",1794.00
"3,3",1760.00
"3,4",1747.00
"3,5",1745.00
"3,6",1750.00
"3,7",1774.00
"3,8",1827.00
"3,9",1869.00
"3,10",1891.00
"3,11",1869.00
"3,12",1834.00
"3,13",1782.00
"3,14",1734.00
"3,15",1575.00
"3,16",1541.00
"3,17",1530.00
"3,18",1503.00
"3,19",1594.00
"3,20",1638.00
"3,21",1629.00
"3,22",1611.00
"3,23",1582.00
"3,24",1532.00
"4,1",1725.00
"4,2",1794.00
"4,3",1760.00
"4,4",1747.00
"4,5",1745.00
"4,6",1750.00
"4,7",1774.00
"4,8",1827.00
"4,9",1869.00
"4,10",1891.00
"4,11",1869.00
"4,12",1834.00
"4,13",1782.00
"4,14",1734.00
"4,15",1575.00
"4,16",1541.00
"4,17",1530.00
"4,18",1503.00
"4,19",1594.00
"4,20",1638.00
"4,21",1629.00
"4,22",1611.00
"4,23",1582.00
"4,24",1532.00
"5,1",1725.00
"5,2",1794.00
"5,3",1760.00
"5,4",1747.00
"5,5",1745.00
"5,6",1750.00
"5,7",1774.00
"5,8",1827.00
"5,9",1869.00
"5,10",1891.00
"5,11",1869.00
"5,12",1834.00
"5,13",1782.00
"5,14",1734.00
"5,15",1575.00
"5,16",1541.00
"5,17",1530.00
"5,18",1503.00
"5,19",1594.00
"5,20",1638.00
"5,21",1629.00
"5,22",1611.00
"5,23",1582.00
"5,24",1532.00
"6,1",1725.00
"6,2",1794.00
"6,3",1760.00
"6,4",1747.00
"6,5",1745.00
"6,6",1750.00
"6,7",1774.00
"6,8",1827.00
"6,9",1869.00
"6,10",1891.00
"6,11",1869.00
"6,12",1834.00
"6,13",1782.00
"6,14",1734.00
"6,15",1575.00
"6,16",1541.00
"6,17",1530.00
"6,18",1503.00
"6,19",1594.00
"6,20",1638.00
"6,21",1629.00
"6,22",1611.00
"6,23",1582.00
"6,24",1532.00
"7,1",1475.28
"7,2",1794.00
"7,3",1760.00
"7,4",1747.00
"7,5",1745.00
"7,6",1750.00
"7,7",1774.00
"7,8",1827.00
"7,9",1869.00
"7,10",1891.00
"7,11",1869.00
"7,12",1834.00
"7,13",1782.00
"7,14",1734.00
"7,15",1575.00
"7,16",1541.00
"7,17",1530.00
"7,18",1503.00
"7,19",1594.00
"7,20",1638.00
"7,21",1629.00
"7,22",1611.00
"7,23",1582.00
"7,24",1532.00
"8,1",0
"8,2",1794.00
"8,3",1760.00
"8,4",1747.00
"8,5",1745.00
"8,6",1750.00
"8,7",1774.00
"8,8",1607.43
"8,9",724.50
"8,10",221.20
"8,11",759.64
"8,12",1834.00
"8,13",1782.00
"8,14",1734.00
"8,15",1575.00
"8,16",1541.00
"8,17",1530.00
"8,18",1503.00
"8,19",1594.00
"8,20",1638.00
"8,21",1629.00
"8,22",1611.00
"8,23",1582.00
"8,24",1532.00
"9,1",0
"9,2",945.18
"9,3",1760.00
"9,4",1747.00
"9,5",1745.00
"9,6",1750.00
"9,7",1774.00
"9,8",0
"9,9",0
"9,10",0
"9,11",0
"9,12",887.83
"9,13",1782.00
"9,14",1734.00
"9,15",1575.00
"9,16",1541.00
"9,17",1530.00
"9,18",1503.00
"9,19",1594.00
"9,20",1638.00
"9,21",1629.00
"9,22",1611.00
"9,23",1582.00
"9,24",1532.00
"10,1",0
"10,2",0
"10,3",1570.49
"10,4",1747.00
"10,5",1745.00
"10,6",1750.00
"10,7",401.41
"10,8",0
"10,9",0
"10,10",0
"10,11",0
"10,12",0
"10,13",1782.00
"10,14",1734.00
"10,15",1575.00
"10,16",1541.00
"10,17",1530.00
"10,18",1503.00
"10,19",1594.00
"10,20",925.50
"10,21",1629.00
"10,22",1611.00
"10,23",1582.00
"10,24",1532.00
