,congestion price ($/MW),flow (MW)
DC_BGE_PEP_to_PA_METED_PPL-1,16.35,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-2,0.25,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-3,0.36,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-4,0.62,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-5,0.30,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-6,0,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-7,0,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-8,3394.83,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-9,3392.47,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-10,3392.41,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-11,3392.34,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-12,3392.55,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-13,3393.00,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-14,3393.35,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-15,3393.86,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-16,3406.27,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-17,3406.30,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-18,3406.59,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-19,3392.68,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-20,3392.95,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-21,3406.21,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-22,22.34,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-23,4.27,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-24,0,-2050.00
DC_BGE_PEP_to_VA_DOM-1,0,-2577.40
DC_BGE_PEP_to_VA_DOM-2,0,-2441.28
DC_BGE_PEP_to_VA_DOM-3,0,-2469.59
DC_BGE_PEP_to_VA_DOM-4,0,-2933.69
DC_BGE_PEP_to_VA_DOM-5,0,-2846.70
DC_BGE_PEP_to_VA_DOM-6,0,-2970.48
DC_BGE_PEP_to_VA_DOM-7,0,-3539.96
DC_BGE_PEP_to_VA_DOM-8,0,-2510.91
DC_BGE_PEP_to_VA_DOM-9,0,-3696.66
DC_BGE_PEP_to_VA_DOM-10,0,-1162.29
DC_BGE_PEP_to_VA_DOM-11,0,-1242.86
DC_BGE_PEP_to_VA_DOM-12,0,-4100.00
DC_BGE_PEP_to_VA_DOM-13,0,-3736.14
DC_BGE_PEP_to_VA_DOM-14,0,-4100.00
DC_BGE_PEP_to_VA_DOM-15,0,-4100.00
DC_BGE_PEP_to_VA_DOM-16,0,-4100.00
DC_BGE_PEP_to_VA_DOM-17,0,-3550.70
DC_BGE_PEP_to_VA_DOM-18,0,-3485.18
DC_BGE_PEP_to_VA_DOM-19,0,1085.97
DC_BGE_PEP_to_VA_DOM-20,0,-4100.00
DC_BGE_PEP_to_VA_DOM-21,0,-3411.54
DC_BGE_PEP_to_VA_DOM-22,0,-3244.81
DC_BGE_PEP_to_VA_DOM-23,0,-3009.26
DC_BGE_PEP_to_VA_DOM-24,0,-3273.12
EAST_to_DC_BGE_PEP-1,-18.14,0
EAST_to_DC_BGE_PEP-2,-1.93,0
EAST_to_DC_BGE_PEP-3,-1.76,0
EAST_to_DC_BGE_PEP-4,-2.58,0
EAST_to_DC_BGE_PEP-5,-2.45,0
EAST_to_DC_BGE_PEP-6,-1.87,0
EAST_to_DC_BGE_PEP-7,-1.87,0
EAST_to_DC_BGE_PEP-8,-3395.64,0
EAST_to_DC_BGE_PEP-9,-3393.52,0
EAST_to_DC_BGE_PEP-10,-3393.34,0
EAST_to_DC_BGE_PEP-11,-3393.27,0
EAST_to_DC_BGE_PEP-12,-3393.48,0
EAST_to_DC_BGE_PEP-13,-3393.93,0
EAST_to_DC_BGE_PEP-14,-3394.37,0
EAST_to_DC_BGE_PEP-15,-3394.83,0
EAST_to_DC_BGE_PEP-16,-3407.88,0
EAST_to_DC_BGE_PEP-17,-3407.99,0
EAST_to_DC_BGE_PEP-18,-3407.63,0
EAST_to_DC_BGE_PEP-19,-3393.93,0
EAST_to_DC_BGE_PEP-20,-3393.89,0
EAST_to_DC_BGE_PEP-21,-3407.14,0
EAST_to_DC_BGE_PEP-22,-23.40,0
EAST_to_DC_BGE_PEP-23,-4.27,0
EAST_to_DC_BGE_PEP-24,-1.20,0
EAST_to_PA_METED_PPL-1,-1.79,5050.00
EAST_to_PA_METED_PPL-2,-1.69,5050.00
EAST_to_PA_METED_PPL-3,-1.41,5050.00
EAST_to_PA_METED_PPL-4,-1.96,5050.00
EAST_to_PA_METED_PPL-5,-2.15,5050.00
EAST_to_PA_METED_PPL-6,-1.87,5050.00
EAST_to_PA_METED_PPL-7,-1.87,5050.00
EAST_to_PA_METED_PPL-8,-0.81,5050.00
EAST_to_PA_METED_PPL-9,-1.05,5050.00
EAST_to_PA_METED_PPL-10,-0.93,5050.00
EAST_to_PA_METED_PPL-11,-0.93,5050.00
EAST_to_PA_METED_PPL-12,-0.93,5050.00
EAST_to_PA_METED_PPL-13,-0.93,5050.00
EAST_to_PA_METED_PPL-14,-1.02,5050.00
EAST_to_PA_METED_PPL-15,-0.97,5050.00
EAST_to_PA_METED_PPL-16,-1.61,5050.00
EAST_to_PA_METED_PPL-17,-1.69,5050.00
EAST_to_PA_METED_PPL-18,-1.04,5050.00
EAST_to_PA_METED_PPL-19,-1.25,5050.00
EAST_to_PA_METED_PPL-20,-0.93,5050.00
EAST_to_PA_METED_PPL-21,-0.93,5050.00
EAST_to_PA_METED_PPL-22,-1.06,5050.00
EAST_to_PA_METED_PPL-23,0,4765.26
EAST_to_PA_METED_PPL-24,-1.20,5050.00
EAST_to_VA_DOM-1,-18.14,0
EAST_to_VA_DOM-2,-1.93,0
EAST_to_VA_DOM-3,-1.76,0
EAST_to_VA_DOM-4,-2.58,0
EAST_to_VA_DOM-5,-2.45,0
EAST_to_VA_DOM-6,-1.87,0
EAST_to_VA_DOM-7,-1.87,0
EAST_to_VA_DOM-8,-3395.64,0
