,congestion price ($/MW),flow (MW)
EAST_to_VA_DOM-9,-3393.52,0
EAST_to_VA_DOM-10,-3393.34,0
EAST_to_VA_DOM-11,-3393.27,0
EAST_to_VA_DOM-12,-3393.48,0
EAST_to_VA_DOM-13,-3393.93,0
EAST_to_VA_DOM-14,-3394.37,0
EAST_to_VA_DOM-15,-3394.83,0
EAST_to_VA_DOM-16,-3407.88,0
EAST_to_VA_DOM-17,-3407.99,0
EAST_to_VA_DOM-18,-3407.63,0
EAST_to_VA_DOM-19,-3393.93,0
EAST_to_VA_DOM-20,-3393.89,0
EAST_to_VA_DOM-21,-3407.14,0
EAST_to_VA_DOM-22,-23.40,0
EAST_to_VA_DOM-23,-4.27,0
EAST_to_VA_DOM-24,-1.20,0
EAST_to_WEST-1,-18.14,0
EAST_to_WEST-2,-1.93,0
EAST_to_WEST-3,-1.76,0
EAST_to_WEST-4,-2.58,0
EAST_to_WEST-5,-2.45,0
EAST_to_WEST-6,-1.87,0
EAST_to_WEST-7,-1.87,0
EAST_to_WEST-8,-3395.64,0
EAST_to_WEST-9,-3393.52,0
EAST_to_WEST-10,-3393.34,0
EAST_to_WEST-11,-3393.27,0
EAST_to_WEST-12,-3393.48,0
EAST_to_WEST-13,-3393.93,0
EAST_to_WEST-14,-3394.37,0
EAST_to_WEST-15,-3394.83,0
EAST_to_WEST-16,-3407.88,0
EAST_to_WEST-17,-3407.99,0
EAST_to_WEST-18,-3407.63,0
EAST_to_WEST-19,-3393.93,0
EAST_to_WEST-20,-3393.89,0
EAST_to_WEST-21,-3407.14,0
EAST_to_WEST-22,-23.40,0
EAST_to_WEST-23,-4.27,0
EAST_to_WEST-24,-1.20,0
VA_DOM_to_PA_METED_PPL-1,16.35,0
VA_DOM_to_PA_METED_PPL-2,0.25,0
VA_DOM_to_PA_METED_PPL-3,0.36,0
VA_DOM_to_PA_METED_PPL-4,0.62,0
VA_DOM_to_PA_METED_PPL-5,0.30,0
VA_DOM_to_PA_METED_PPL-6,0,0
VA_DOM_to_PA_METED_PPL-7,0,0
VA_DOM_to_PA_METED_PPL-8,3394.83,0
VA_DOM_to_PA_METED_PPL-9,3392.47,0
VA_DOM_to_PA_METED_PPL-10,3392.41,0
VA_DOM_to_PA_METED_PPL-11,3392.34,0
VA_DOM_to_PA_METED_PPL-12,3392.55,0
VA_DOM_to_PA_METED_PPL-13,3393.00,0
VA_DOM_to_PA_METED_PPL-14,3393.35,0
VA_DOM_to_PA_METED_PPL-15,3393.86,0
VA_DOM_to_PA_METED_PPL-16,3406.27,0
VA_DOM_to_PA_METED_PPL-17,3406.30,0
VA_DOM_to_PA_METED_PPL-18,3406.59,0
VA_DOM_to_PA_METED_PPL-19,3392.68,0
VA_DOM_to_PA_METED_PPL-20,3392.95,0
VA_DOM_to_PA_METED_PPL-21,3406.21,0
VA_DOM_to_PA_METED_PPL-22,22.34,0
VA_DOM_to_PA_METED_PPL-23,4.27,0
VA_DOM_to_PA_METED_PPL-24,0,0
WEST_to_DC_BGE_PEP-1,0,-2633.48
WEST_to_DC_BGE_PEP-2,0,-2086.47
WEST_to_DC_BGE_PEP-3,0,-1662.64
WEST_to_DC_BGE_PEP-4,0,-1778.33
WEST_to_DC_BGE_PEP-5,0,-1731.99
WEST_to_DC_BGE_PEP-6,0,-2487.44
WEST_to_DC_BGE_PEP-7,0,-3447.80
WEST_to_DC_BGE_PEP-8,0,-4300.00
WEST_to_DC_BGE_PEP-9,0,-4300.00
WEST_to_DC_BGE_PEP-10,0,-690.28
WEST_to_DC_BGE_PEP-11,0,-775.84
WEST_to_DC_BGE_PEP-12,0,-3665.50
WEST_to_DC_BGE_PEP-13,0,-4300.00
WEST_to_DC_BGE_PEP-14,0,-3897.30
WEST_to_DC_BGE_PEP-15,0,-4013.32
WEST_to_DC_BGE_PEP-16,0,-4156.80
WEST_to_DC_BGE_PEP-17,0,-3641.59
WEST_to_DC_BGE_PEP-18,0,-3670.38
WEST_to_DC_BGE_PEP-19,0,1436.16
WEST_to_DC_BGE_PEP-20,0,-3743.73
WEST_to_DC_BGE_PEP-21,0,-3284.21
WEST_to_DC_BGE_PEP-22,0,-3081.99
WEST_to_DC_BGE_PEP-23,0,-2349.76
WEST_to_DC_BGE_PEP-24,0,-1938.79
WEST_to_PA_METED_PPL-1,16.35,-4400.00
WEST_to_PA_METED_PPL-2,0.25,-4400.00
WEST_to_PA_METED_PPL-3,0.36,-4400.00
WEST_to_PA_METED_PPL-4,0.62,-4400.00
WEST_to_PA_METED_PPL-5,0.30,-4400.00
WEST_to_PA_METED_PPL-6,0,-3962.30
WEST_to_PA_METED_PPL-7,0,-3248.89
WEST_to_PA_METED_PPL-8,3394.83,-2900.00
WEST_to_PA_METED_PPL-9,3392.47,-2900.00
WEST_to_PA_METED_PPL-10,3392.41,-2900.00
WEST_to_PA_METED_PPL-11,3392.34,-2900.00
WEST_to_PA_METED_PPL-12,3392.55,-2900.00
WEST_to_PA_METED_PPL-13,3393.00,-2900.00
WEST_to_PA_METED_PPL-14,3393.35,-2900.00
WEST_to_PA_METED_PPL-15,3393.86,-2900.00
WEST_to_PA_METED_PPL-16,3406.27,-2900.00
WEST_to_PA_METED_PPL-17,3406.30,-2900.00
WEST_to_PA_METED_PPL-18,3406.59,-2900.00
WEST_to_PA_METED_PPL-19,3392.68,-2900.00
WEST_to_PA_METED_PPL-20,3392.95,-2900.00
WEST_to_PA_METED_PPL-21,3406.21,-2900.00
WEST_to_PA_METED_PPL-22,22.34,-2900.00
WEST_to_PA_METED_PPL-23,4.27,-2900.00
WEST_to_PA_METED_PPL-24,0,-3731.29
WEST_to_VA_DOM-1,0,4400.00
WEST_to_VA_DOM-2,0,4400.00
WEST_to_VA_DOM-3,0,4400.00
WEST_to_VA_DOM-4,0,4400.00
WEST_to_VA_DOM-5,0,4400.00
WEST_to_VA_DOM-6,0,4400.00
WEST_to_VA_DOM-7,0,4400.00
WEST_to_VA_DOM-8,0,2998.90
WEST_to_VA_DOM-9,0,55.12
WEST_to_VA_DOM-10,0,-3950.00
WEST_to_VA_DOM-11,0,-3950.00
WEST_to_VA_DOM-12,0,-863.12
WEST_to_VA_DOM-13,0,600.55
WEST_to_VA_DOM-14,0,2789.40
WEST_to_VA_DOM-15,0,2103.93
WEST_to_VA_DOM-16,0,3486.34
WEST_to_VA_DOM-17,0,3950.00
WEST_to_VA_DOM-18,0,3950.00
WEST_to_VA_DOM-19,0,-3950.00
WEST_to_VA_DOM-20,0,3345.56
WEST_to_VA_DOM-21,0,3950.00
WEST_to_VA_DOM-22,0,3950.00
WEST_to_VA_DOM-23,0,3950.00
WEST_to_VA_DOM-24,0,4400.00
