timepoint,temperature
1,-2.8
2,-2.2
3,-2.2
4,-0.6
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.6
12,-0.6
13,0.0
14,-0.6
15,-0.6
16,0.0
17,1.0
18,1.0
19,1.0
20,2.2
21,1.7
22,2.0
23,2.2
24,2.0
