timepoint,segments,MW,Price
1,1,1534,3499.997330033812
1,2,1534,3488.3060570561065
1,3,1534,3238.1933764512914
1,4,1534,2327.3205918215253
1,5,1534,1136.425387188792
1,6,1534,369.7425697016737
1,7,1534,82.3736138149469
1,8,1534,13.018259026223797
1,9,1534,1.5066719120900647
1,10,1534,0.13110660506799235
2,1,1418,3499.9711564745276
2,2,1418,3465.0708893713436
2,3,1418,3048.4765097549443
2,4,1418,1992.666263799035
2,5,1418,894.8570887859922
2,6,1418,278.1300871161048
2,7,1418,61.824674445278475
2,8,1418,10.165509465015493
2,9,1418,1.2723733137615292
2,10,1418,0.1240929512488855
3,1,1392,3499.9089951551937
3,2,1392,3447.8396357958486
3,3,1392,2960.83838138876
3,4,1392,1873.4639860354778
3,5,1392,820.831198178691
3,6,1392,252.13721800001153
3,7,1392,56.09664900259833
3,8,1392,9.33605923610123
3,9,1392,1.1944335186938115
3,10,1392,0.12010252169256508
4,1,1373,3499.823549841862
4,2,1373,3434.322908036591
4,3,1373,2902.4360479054835
4,4,1373,1800.5114446074897
4,5,1373,777.8824165781732
4,6,1373,237.63120534066476
4,7,1373,53.01499896072392
4,8,1373,8.912766406709599
4,9,1373,1.1593110768597714
4,10,1373,0.11919536098192231
5,1,1365,3499.7239330775033
5,2,1365,3424.811850212824
5,3,1365,2866.750909778824
5,4,1365,1758.6652785194299
5,5,1365,753.8903077239958
5,6,1365,229.53592189286
5,7,1365,51.25358347568567
5,8,1365,8.65580300334317
5,9,1365,1.1345995892954186
5,10,1365,0.11788510897484834
6,1,1365,3499.726678845407
6,2,1365,3425.0430243688716
6,3,1365,2867.6796189242377
6,4,1365,1759.884988284434
6,5,1365,754.6997707279098
6,6,1365,229.8636018055528
6,7,1365,51.343265143699085
6,8,1365,8.67349325738513
6,9,1365,1.1372255176834811
6,10,1365,0.11818762725100981
7,1,1376,3499.8474529189884
7,2,1376,3437.2754281586544
7,3,1376,2914.1254289330395
7,4,1376,1814.4674422323042
7,5,1376,785.8874559790642
7,6,1376,240.29551720342315
7,7,1376,53.57717468908298
7,8,1376,8.98995946329622
7,9,1376,1.1657619548946663
7,10,1376,0.11936981505208615
8,1,1400,3499.928087172733
8,2,1400,3452.732649783836
8,3,1400,2985.3604853925085
8,4,1400,1906.8723218490836
8,5,1400,841.8576971018797
8,6,1400,259.7083577094392
8,7,1400,57.833646342271024
8,8,1400,9.604459837528816
8,9,1400,1.222821112194772
8,10,1400,0.1220685713301134
9,1,1432,3499.975617239479
9,2,1432,3468.4515719061483
9,3,1432,3071.857121301662
9,4,1432,2029.31646761397
9,5,1432,919.3787908981878
9,6,1432,287.050777449774
9,7,1432,63.80123794134782
9,8,1432,10.444136334824934
9,9,1432,1.2964042834876377
9,10,1432,0.1249497688699531
10,1,1466,3499.985775049773
10,2,1466,3475.966459589282
10,3,1466,3126.7679144553117
10,4,1466,2118.6668414616483
10,5,1466,980.2357054754196
10,6,1466,309.2045612069707
10,7,1466,68.62791081722501
10,8,1466,11.097168284480315
10,9,1466,1.3474491763328642
10,10,1466,0.125934776508409
11,1,1491,3499.992453770014
11,2,1491,3481.839126349628
11,3,1491,3173.738927604006
11,4,1491,2199.7057296788344
11,5,1491,1037.5428827767837
11,6,1491,330.58813454995305
11,7,1491,73.378609766067
11,8,1491,11.757410740753963
11,9,1491,1.4031006805398578
11,10,1491,0.12794981827977195
12,1,1500,3499.9935644789807
12,2,1500,3483.241196969834
12,3,1500,3187.1644719063165
12,4,1500,2225.492171599275
12,5,1500,1057.2505715900024
12,6,1500,338.45178308905173
12,7,1500,75.25477758304717
12,8,1500,12.044935758052645
12,9,1500,1.4321860610313302
12,10,1500,0.12982938936852506
13,1,1497,3499.993246304603
13,2,1497,3482.86117539922
13,3,1497,3183.1719898092647
13,4,1497,2217.2508698008696
13,5,1497,1050.532978390686
13,6,1497,335.586157701156
13,7,1497,74.51524957847138
13,8,1497,11.919287884766357
13,9,1497,1.417379021663295
13,10,1497,0.12858095930664776
14,1,1496,3499.993133603154
14,2,1496,3482.7160226458486
14,3,1496,3181.6491619658254
14,4,1496,2214.1575712940858
14,5,1496,1048.0526788640832
14,6,1496,334.5451999115208
14,7,1496,74.25122283811338
14,8,1496,11.875323776561006
14,9,1496,1.4123302345840236
14,10,1496,0.12817067943631877
15,1,1486,3499.9922981193786
15,2,1486,3481.3418106570216
15,3,1486,3168.2274302607657
15,4,1486,2188.6080290853943
15,5,1486,1028.8738220242985
15,6,1486,327.0867956748798
15,7,1486,72.53731908967362
15,8,1486,11.62811345647031
15,9,1486,1.3900671386531371
