Gen_Index,commitinit,upinit,downinit
General Foods 1 NUG,0,0,124
Kent CT 2,0,0,124
Kent CT 1,0,0,124
LGP NUG (Logan),1,24,0
Kinsley Landfill,0,0,124
Cogentrix Portsmouth 2 (Lk.Kingman),1,24,0
Cogentrix Portsmouth 1 (Lk.Kingman),1,24,0
PCLP1 NUG,0,0,124
Gilberton NUG,1,24,0
Harrisburg NUG,1,24,0
IUP NUG,0,0,124
Colver NUG,1,24,0
Grant Town,1,24,0
South River NUG,0,0,124
Mt Carmel Cogen (FosterWheeler),1,24,0
Cogentrix Hopewell 2 (James River),0,0,124
Cogentrix Hopewell 1 (James River),0,0,124
Edgecombe 2 (Rocky Mt),1,24,0
Edgecombe 1 (Rocky Mt),1,24,0
Camden County RR NUG,0,0,124
CPGP NUG (Chambers/Carneys PT),1,24,0
Ebensburg NUG,1,24,0
Baltimore Resco NUG (Bresco),1,24,0
Hopewell Cogen 1 (HCF),0,0,124
Cambria County NUG,1,24,0
Essex County RR NUG (Covanta),0,0,124
AES Beaver,0,0,124
Warrior Run,1,24,0
Del Resource Mgmt Inc NUG,0,0,124
Camden COGEN,0,0,124
Hopewell Coal (Polyester),1,24,0
Altavista (Hall Branch),0,0,124
Southampton 1,0,0,124
Kenilworth NUG,0,0,124
Hazelton LM 200,0,0,124
Hazelton LM 400,0,0,124
Hazelton GT 100,0,0,124
Hazelton LM 300,0,0,124
Big Sandy 1,0,0,124
Big Sandy (AEP) 2,1,24,0
Big Sandy 4,0,0,124
Big Sandy (AEP) 1,1,24,0
Big Sandy 5,0,0,124
Big Sandy 3,0,0,124
Big Sandy 6,0,0,124
Big Sandy 2,0,0,124
Barkley 3,0,0,124
Barkley 2,1,24,0
Barkley 1,1,24,0
Barkley 4,1,24,0
Elmer Smith 1,0,0,124
Elmer Smith 2,0,0,124
Wolf Creek 6,1,24,0
Wolf Creek 5,1,24,0
Wolf Creek 4,1,24,0
Wolf Creek 1,1,24,0
Wolf Creek 2,1,24,0
