timepoint,zone,gross_load,wind_cf,solar_cf
1,EAST,16055.766,0.48408902600000003,0.0
2,EAST,15390.8388,0.48408902600000003,0.0
3,EAST,15033.9708,0.49737568600000004,0.0
4,EAST,14874.7842,0.485877079,0.0
5,EAST,14991.8148,0.48729477299999996,0.0
6,EAST,15367.406399999998,0.48685531600000004,0.0
7,EAST,16360.1442,0.483520038,0.0
8,EAST,17878.4784,0.483520038,0.0
9,EAST,19023.048,0.43734429,0.006906491
10,EAST,19303.074,0.369095161,0.036165868
11,EAST,19602.809999999998,0.345144267,0.079323486
12,EAST,19933.235999999997,0.332427855,0.130119586
13,EAST,20156.688000000002,0.334411207,0.115460471
14,EAST,20283.156,0.334411207,0.17973387300000002
15,EAST,20271.69,0.34214261100000004,0.22827029100000001
16,EAST,20212.074,0.342932148,0.23429855600000002
17,EAST,20369.411999999997,0.366266329,0.141592721
18,EAST,21093.192,0.40265310600000004,0.0
19,EAST,22649.778,0.416561864,0.0
20,EAST,23496.66,0.416561864,0.0
21,EAST,23605.488,0.408971126,0.0
22,EAST,23500.728,0.39668497,0.0
23,EAST,23191.415999999997,0.381954485,0.0
24,EAST,22623.84,0.37180804100000003,0.0
1,WEST,42904.574700000005,0.48408902600000003,0.0
2,WEST,41127.741460000005,0.48408902600000003,0.0
3,WEST,40174.11086,0.49737568600000004,0.0
4,WEST,39748.728890000006,0.485877079,0.0
5,WEST,40061.460660000004,0.48729477299999996,0.0
6,WEST,41065.12488,0.48685531600000004,0.0
7,WEST,43717.940890000005,0.483520038,0.0
8,WEST,47775.26728000001,0.483520038,0.0
9,WEST,50833.81160000001,0.43734429,0.006906491
10,WEST,51582.1033,0.369095161,0.036165868
11,WEST,52383.06450000001,0.345144267,0.079323486
12,WEST,53266.0362,0.332427855,0.130119586
13,WEST,53863.149600000004,0.334411207,0.115460471
14,WEST,54201.1002,0.334411207,0.17973387300000002
15,WEST,54170.4605,0.34214261100000004,0.22827029100000001
16,WEST,54011.153300000005,0.342932148,0.23429855600000002
17,WEST,54431.5954,0.366266329,0.141592721
18,WEST,56365.6964,0.40265310600000004,0.0
19,WEST,60525.24010000001,0.416561864,0.0
20,WEST,62788.297000000006,0.416561864,0.0
21,WEST,63079.10960000001,0.408971126,0.0
22,WEST,62799.16760000001,0.39668497,0.0
23,WEST,61972.6172,0.381954485,0.0
24,WEST,60455.92800000001,0.37180804100000003,0.0
1,DC_BGE_PEP,7760.286899999999,0.48408902600000003,0.0
2,DC_BGE_PEP,7438.90542,0.48408902600000003,0.0
3,DC_BGE_PEP,7266.419219999999,0.49737568600000004,0.0
4,DC_BGE_PEP,7189.4790299999995,0.485877079,0.0
5,DC_BGE_PEP,7246.04382,0.48729477299999996,0.0
6,DC_BGE_PEP,7427.579759999999,0.48685531600000004,0.0
7,DC_BGE_PEP,7907.4030299999995,0.483520038,0.0
8,DC_BGE_PEP,8641.26456,0.483520038,0.0
9,DC_BGE_PEP,9194.4732,0.43734429,0.006906491
10,DC_BGE_PEP,9329.819099999999,0.369095161,0.036165868
11,DC_BGE_PEP,9474.691499999999,0.345144267,0.079323486
12,DC_BGE_PEP,9634.3974,0.332427855,0.130119586
13,DC_BGE_PEP,9742.3992,0.334411207,0.115460471
14,DC_BGE_PEP,9803.525399999999,0.334411207,0.17973387300000002
15,DC_BGE_PEP,9797.983499999998,0.34214261100000004,0.22827029100000001
16,DC_BGE_PEP,9769.1691,0.342932148,0.23429855600000002
17,DC_BGE_PEP,9845.215799999998,0.366266329,0.141592721
18,DC_BGE_PEP,10195.0428,0.40265310600000004,0.0
19,DC_BGE_PEP,10947.3927,0.416561864,0.0
20,DC_BGE_PEP,11356.719,0.416561864,0.0
21,DC_BGE_PEP,11409.3192,0.408971126,0.0
22,DC_BGE_PEP,11358.6852,0.39668497,0.0
23,DC_BGE_PEP,11209.184399999998,0.381954485,0.0
24,DC_BGE_PEP,10934.856,0.37180804100000003,0.0
1,VA_DOM,14717.7855,0.48408902600000003,0.0
2,VA_DOM,14108.268900000001,0.48408902600000003,0.0
3,VA_DOM,13781.1399,0.49737568600000004,0.0
4,VA_DOM,13635.218850000001,0.485877079,0.0
5,VA_DOM,13742.4969,0.48729477299999996,0.0
6,VA_DOM,14086.7892,0.48685531600000004,0.0
7,VA_DOM,14996.798850000001,0.483520038,0.0
8,VA_DOM,16388.6052,0.483520038,0.0
9,VA_DOM,17437.794,0.43734429,0.006906491
10,VA_DOM,17694.484500000002,0.369095161,0.036165868
11,VA_DOM,17969.2425,0.345144267,0.079323486
12,VA_DOM,18272.133,0.332427855,0.130119586
13,VA_DOM,18476.964000000004,0.334411207,0.115460471
14,VA_DOM,18592.893,0.334411207,0.17973387300000002
15,VA_DOM,18582.3825,0.34214261100000004,0.22827029100000001
16,VA_DOM,18527.734500000002,0.342932148,0.23429855600000002
17,VA_DOM,18671.961,0.366266329,0.141592721
18,VA_DOM,19335.426,0.40265310600000004,0.0
19,VA_DOM,20762.2965,0.416561864,0.0
20,VA_DOM,21538.605,0.416561864,0.0
21,VA_DOM,21638.364,0.408971126,0.0
22,VA_DOM,21542.334000000003,0.39668497,0.0
23,VA_DOM,21258.798,0.381954485,0.0
24,VA_DOM,20738.52,0.37180804100000003,0.0
1,PA_METED_PPL,7760.286899999999,0.48408902600000003,0.0
2,PA_METED_PPL,7438.90542,0.48408902600000003,0.0
3,PA_METED_PPL,7266.419219999999,0.49737568600000004,0.0
4,PA_METED_PPL,7189.4790299999995,0.485877079,0.0
5,PA_METED_PPL,7246.04382,0.48729477299999996,0.0
6,PA_METED_PPL,7427.579759999999,0.48685531600000004,0.0
7,PA_METED_PPL,7907.4030299999995,0.483520038,0.0
8,PA_METED_PPL,8641.26456,0.483520038,0.0
9,PA_METED_PPL,9194.4732,0.43734429,0.006906491
10,PA_METED_PPL,9329.819099999999,0.369095161,0.036165868
11,PA_METED_PPL,9474.691499999999,0.345144267,0.079323486
12,PA_METED_PPL,9634.3974,0.332427855,0.130119586
13,PA_METED_PPL,9742.3992,0.334411207,0.115460471
14,PA_METED_PPL,9803.525399999999,0.334411207,0.17973387300000002
15,PA_METED_PPL,9797.983499999998,0.34214261100000004,0.22827029100000001
16,PA_METED_PPL,9769.1691,0.342932148,0.23429855600000002
17,PA_METED_PPL,9845.215799999998,0.366266329,0.141592721
18,PA_METED_PPL,10195.0428,0.40265310600000004,0.0
19,PA_METED_PPL,10947.3927,0.416561864,0.0
20,PA_METED_PPL,11356.719,0.416561864,0.0
