timepoint,temperature
1,2.2
2,2.0
3,2.0
4,2.0
5,2.8
6,3.0
7,3.0
8,3.9
9,4.0
10,4.0
11,4.0
12,5.6
13,6.1
14,5.0
15,3.9
16,2.8
17,2.2
18,2.2
19,1.7
20,1.7
21,0.6
22,-0.6
23,-3.3
24,-5.6
