Gen_Index,Name,Category,Capacity,Fuel_Cost
125,Chalk Point 3,ST,612,25
126,Chalk Point CT 6,CT,120,50
127,Chalk Point CT 4,CT,99,50
128,Chalk Point 4,ST,612,25
129,Chalk Point 1,ST,341,25
130,Chalk Point CT 5,CT,120,50
131,Dickerson CT,CT,13,50
132,Dickerson H CT 2,CT,167,50
133,Dickerson 1,ST,182,25
134,Dickerson 3,ST,182,25
135,Dickerson H CT 1,CT,167,50
136,Dickerson 2,ST,182,25
137,Morgantown CT 5,CT,65,50
138,Morgantown CT 4,CT,65,50
139,Morgantown CT 6,CT,65,50
140,Morgantown CT 3,CT,65,50
141,Morgantown CT 2,CT,20,50
142,Morgantown 2,ST,583,25
143,Morgantown 1,ST,583,25
144,Morgantown CT 1,CT,20,50
145,Conowingo 10,HD,65,5
146,Conowingo 01,HD,48,5
147,Conowingo 11,HD,65,5
148,Conowingo 09,HD,65,5
149,Conowingo 07,HD,36,5
150,Conowingo 04,HD,48,5
151,Conowingo 05,HD,36,5
152,Conowingo 06,HD,36,5
153,Conowingo 02,HD,36,5
154,Conowingo 08,HD,65,5
155,Conowingo 03,HD,48,5
156,Easton 12,DS,4.1,80
157,Easton 11,DS,3.6,80
158,Easton 07,DS,2,80
159,Easton101,DS,1.5,80
160,Easton 13,DS,5.6,80
161,Easton 10,DS,3.5,80
162,Easton102,DS,1.5,80
163,Easton 14,DS,5.6,80
164,Easton 08,DS,2,80
165,Easton 09,DS,2.5,80
166,Berr Sprg 12,HD,0.6,5
167,Berr Sprg 09,HD,0.6,5
168,Berr Sprg 01,HD,0.6,5
169,Berr Sprg 02,HD,0.6,5
170,Berr Sprg 05,HD,0.6,5
171,Berr Sprg 07,HD,0.6,5
172,Berr Sprg 04,HD,0.6,5
173,Berr Sprg 10,HD,0.6,5
174,Berr Sprg 11,HD,0.6,5
175,Berr Sprg 08,HD,0.6,5
176,Berr Sprg 06,HD,0.6,5
177,Berr Sprg 03,HD,0.6,5
178,Buchanan 10,HD,0.5,5
179,Buchanan 01,HD,0.4,5
180,Buchanan 06,HD,0.4,5
181,Buchanan 05,HD,0.4,5
182,Buchanan 04,HD,0.4,5
183,Buchanan 08,HD,0.5,5
184,Buchanan 09,HD,0.5,5
185,Buchanan 07,HD,0.5,5
186,Buchanan 03,HD,0.4,5
187,Buchanan 02,HD,0.4,5
188,Constantine 2,HD,0.3,5
189,Constantine 1,HD,0.3,5
190,Constantine 4,HD,0.3,5
191,Constantine 3,HD,0.3,5
192,Mottville 1,HD,1,5
193,Mottville 4,HD,1,5
194,Mottville 2,HD,1,5
195,Mottville 3,HD,1,5
196,Clinton 1,NU,1023,10
200,England 2,ST,155,25
204,Carll s Corner 1,CT,43,50
205,Carll s Corner 2,CT,43,50
225,Oyster Creek 1,NU,637,10
226,Sayreville C4,CT,77,50
227,Sayreville C3,CT,77,50
229,Sayreville C1,CT,77,50
230,Sayreville C2,CT,73,50
232,Gilbert 6,CC,70,30
236,Gilbert 7,CC,70,30
237,Gilbert 5,CC,70,30
240,Gilbert 4,CC,70,30
242,Gilbert CT 9,CT,183,50
243,Gilbert 8CC,CC,104,30
249,Bergen 2CC,CC,596,30
250,Bergen 1CC,CC,675,30
254,Burlington 124,CT,42,50
259,Burlington 123,CT,42,50
262,Burlington 122,CT,42,50
266,Burlington 121,CT,42,50
285,Essex 9,CT,93,50
297,Kearney 133,CT,44.5,50
298,Kearney 132,CT,44.5,50
299,Kearney 134,CT,44.5,50
301,Kearney 142,CT,44.5,50
303,Kearney 124,CT,44,50
305,Kearney 131,CT,44.5,50
308,Kearney 122,CT,44,50
309,Kearney 121,CT,44,50
310,Kearney 141,CT,44.5,50
313,Kearney 123,CT,44,50
316,Linden 1,CC,545,30
317,Linden 2,CC,545,30
320,Linden 8,CT,98,50
325,Linden 7,CT,98,50
326,Linden 6,CT,86,50
327,Linden 5,CT,86,50
335,Salem 1,NU,1174,10
336,Salem 3,CT,46,50
337,Salem 2,NU,1130,10
338,Sewaren 1,ST,107,25
339,Sewaren 2,ST,120,25
341,Sewaren 3,ST,109,25
342,Sewaren 4,ST,127,25
343,Vineland CT 11,CT,62.9,50
349,Gaston 4,HD,57,5
350,Gaston 2,HD,56,5
351,Gaston 1,HD,56,5
352,Gaston 3,HD,56,5
355,Roanoke Rapids 1,HD,26,5
356,Roanoke Rapids 3,HD,25,5
357,Roanoke Rapids 4,HD,23,5
358,Roanoke Rapids 2,HD,25,5
359,Buxton 3,DS,3,80
360,Buxton 1,DS,3,80
361,Buxton 2,DS,3,80
362,Buxton 5,DS,3,80
363,Buxton 4,DS,3,80
364,Cardinal 1,ST,600,25
365,Cardinal 3,ST,630,25
366,Cardinal 2,ST,600,25
377,Dicks Creek 5,CT,21,50
378,Dicks Creek 4,CT,21,50
379,Dicks Creek 3,CT,20,50
380,Dicks Creek 1,CT,110,50
382,Miami Fort GT 4,CT,20,50
383,Miami Fort GT 3,CT,20,50
384,Miami Fort 7,ST,500,25
385,Miami Fort GT 5,CT,20,50
386,Miami Fort 8,ST,500,25
387,Miami Fort GT 6,CT,20,50
390,Avon Lake 10,CT,29,50
391,Avon Lake 9,ST,640,25
393,Eastlake 6 CT,CT,31,50
402,Conesville 6,ST,375,25
403,Conesville 4,ST,780,25
406,Conesville 5,ST,375,25
408,Tait GT 2,CT,102,50
409,Tait GT 3,CT,102,50
410,Tait GT 1,CT,100,50
411,Tait D 4,DS,2.5,80
