Gen_Index,Capacity,Fuel_Cost
1200,175,50
1201,175,50
1202,175,50
1203,600,30
1204,195,50
1205,195,50
1206,195,50
1207,195,50
1208,195,50
1213,80,50
1214,80,50
1215,80,50
1216,135,50
1217,135,50
1218,135,50
1219,135,50
1220,172.8,30
1221,164.2,30
1222,400.8,30
1223,166.3,30
1225,255,30
1226,159,30
1227,159,30
1228,159,30
1229,255,30
1230,159,30
1233,160,30
1234,372,30
1235,160,30
1236,160,30
1237,620,30
1238,125,30
1239,125,30
1240,125,30
1241,195,30
1246,38,50
1247,38,50
1248,38,50
1249,38,50
1250,38,50
1251,38,50
1252,38,50
1253,38,50
1254,38,50
1255,38,50
1256,38,50
1257,44,50
1258,44,50
1259,7,50
1260,22,80
1261,202,80
1262,190,30
1263,190,30
1264,546,30
1266,122,30
1267,189,30
1268,122,30
1269,122,30
1270,122,30
1271,189,30
1272,546,30
1274,325,30
1275,180,30
1276,180,30
1277,173,30
1278,301,30
1279,173,30
1280,173,30
1281,190,30
1282,180,30
1283,180,30
1284,620,30
1285,620,30
1286,43,30
1287,43,50
1288,3.6,50
1293,237,50
1294,171,30
1295,171,30
1296,171,30
1297,800,30
1298,800,25
1299,0.7,25
1300,1.3,80
1301,147,80
1302,149,50
1303,148,50
1304,1350,50
1305,10,30
1306,1.9,25
1309,315,30
1310,165,30
1311,165,30
1312,56.6,30
1313,56.6,50
1314,56.6,50
1315,56.6,50
1316,56.6,50
1317,56.6,50
1318,172,50
1319,2,50
1321,40,5
1322,44,5
1323,1.36,50
1329,4.1,80
1330,3,80
1331,3,80
1333,4.1,80
1334,4,80
1335,5,80
1336,700,50
1337,6,25
1338,11,80
1339,16,80
1340,16,80
1341,10,80
1342,14,80
1343,6,80
1344,4,80
1345,12,80
1346,1.6,80
1351,585,30
1352,219,25
1353,332,30
1354,219,30
1355,61,30
1356,1.36,25
1357,1.36,80
1358,1.36,80
1359,1.3,80
1360,1.36,80
1361,1.36,80
1362,1.36,80
1363,1.3,80
1364,1.36,80
1365,1.36,80
1366,1.36,80
1367,1.36,80
1368,1.36,80
1369,1.36,80
1370,1.36,80
1371,1.36,80
1372,1.36,80
1373,1.36,80
1374,1.36,80
1375,1.6,80
1376,1.6,80
1377,1.6,80
1378,1.6,80
1379,1.6,80
1380,1.6,80
1381,1.6,80
1382,1.6,80
1383,1.6,80
1384,1.6,80
1385,37.3,80
1386,37.4,5
1387,37.3,5
1388,4,5
1389,5,80
1390,1,80
1391,2,80
1392,10.5,80
1393,5,50
1394,267,80
1395,225,30
1396,225,30
1397,4.4,30
1398,6,80
1399,10,80
1400,187,50
1401,3.2,50
1402,1.6,80
1403,191,80
1404,126,30
1405,4,30
1406,21.6,80
1407,21.6,5
1408,0.8,5
1409,6,80
1411,0.8,80
1412,0.8,80
1413,0.8,80
1414,6,80
1419,0.8,80
1420,0.8,80
1421,0.8,80
1422,0.8,80
1423,4.5,80
1424,2,80
1425,47,80
1426,232,25
1427,232,30
1428,319,30
1429,1.9,30
1430,1.8,80
1434,1.4,80
1440,1.6,80
1441,1.6,80
1442,1.6,80
1443,1.6,80
1444,25,80
1446,240,30
1447,225,30
1448,9.6,30
1450,1.6,80
1451,1.6,50
1452,1376,80
1453,425,80
1454,425,30
1455,420,30
1456,420,30
1457,47.4,30
1458,2,30
1460,19.9,25
1461,19.9,5
1462,226,5
1463,314,80
1464,226,80
1465,25,30
1466,25,30
1467,1,30
1468,1,50
1469,1,50
1470,48,80
1471,60,80
1472,18,80
1473,90,25
1474,57,50
1475,86,50
1476,15,50
1478,174,25
1479,195,50
1480,21,25
1481,420,25
1482,91,50
1483,91,50
1484,165,25
1488,12,80
1489,19,80
1490,5.7,80
1492,323.5,50
1493,247.2,80
1494,736,30
1495,1.6,30
1496,1.6,30
1497,6,30
1498,102,80
1499,17,80
1500,17,80
1501,1016,25
1504,639,10
1505,24,10
1506,24,25
1507,900,25
1508,880,5
1509,366,5
1510,600,10
1511,605,10
1512,600,25
1514,645,25
1515,652,25
1516,1330,25
1517,1196,25
1518,1227,25
1519,1136,10
1520,1164,10
1521,554,10
1522,554,10
1523,530,10
1529,275,10
1530,17,10
1533,20,50
1534,20,25
1535,20,10
1552,300,10
1553,510,10
1554,268,25
1555,575,25
1556,580,25
1557,588,25
1558,785,25
1559,515,25
1560,910,25
1561,910,25
1562,910,25
1563,1140,25
1564,1149,25
1565,1134,25
1566,1182,10
1567,625,10
1568,4.8,10
1569,1073,10
1570,950,25
1571,1300,80
1572,1300,10
1573,500,10
1574,160,25
1575,160,25
1576,420,5
1579,499,5
1580,420,5
1582,160,5
1583,420,5
1586,917,5
1588,1300,10
1589,3,10
1590,45,5
1591,45,25
1592,45,80
1593,12,5
1594,12,5
1595,12,5
1596,133,5
1597,400,5
1598,134,5
1599,133,5
1601,5,5
1602,4,5
1603,4,5
1604,5,5
1605,5,5
1606,5,5
1607,5,5
1608,5,5
1609,13,5
1610,13,5
1611,13,5
1612,13,5
1613,32,5
1614,92,5
1615,92,5
1616,92,50
1617,28,50
1618,17,50
1619,92,50
1620,12,50
1621,44,50
1622,42,50
1623,121,5
1624,177,50
1625,120,50
1626,120,30
1627,545,30
1628,120,30
1629,541,30
1631,121,30
1633,94,30
1634,94,30
1635,94,30
1636,94,50
1637,94,50
1638,94,50
1639,92,50
1640,92,50
1641,92,50
1642,92,50
1643,441,50
1644,441,50
1645,72,50
1646,72,25
1647,72,25
1648,72,50
1649,72,50
1650,72,50
1651,72,50
1652,72,50
1653,47,50
1654,47,50
1655,47,50
1660,38,50
1661,38,50
1662,84,50
1663,38,50
1664,77,50
1665,21,50
1666,21,50
1668,3,5
1669,30,5
1670,30,50
1671,44,50
1672,44,25
1673,44,25
1674,44,50
1675,43,50
1676,43,50
1677,43,50
1684,48,50
1685,182,50
1686,160,50
1687,160,50
1691,158,50
1693,155,30
1694,159,50
1695,156,50
1696,156,50
1697,156,50
1698,156,50
1699,76,50
1700,75,50
1701,76,50
1702,75,50
1703,178,50
1704,178,50
1705,178,50
1706,178,50
1707,178,50
1708,178,50
1709,151,50
1710,151,50
1711,160.6,50
1712,170,50
1713,170,50
1714,170,50
1715,16,50
1716,51,50
1717,49,50
1718,90,80
1719,90,50
1720,90,50
1725,60,50
1726,60,10
1727,65,50
1728,65,50
1729,65,50
1730,65,50
1731,59,50
1732,43,50
1733,43,50
1734,1300,50
1737,30,25
1738,195,25
1739,588,5
1740,26,5
1741,26,5
1742,26,25
1751,15,25
1753,340,25
1756,250,25
1757,78,25
1776,63,10
1777,62,10
1782,554,25
1784,34,25
1785,769,25
1788,867,25
1789,32,25
1790,17,10
1791,34,10
1796,53,25
1797,361,50
1799,151,50
1800,251,25
1801,148,25
1803,49.1,25
1805,55,50
1806,55,50
1808,167,50
1809,167,50
1810,167,25
1811,167,25
1812,167,25
1813,238,25
1814,448,25
1815,225,25
1818,3,25
1819,2,25
1828,205,25
1829,205,25
1830,205,25
1831,1,25
1832,1,25
1833,1.4,25
1834,140,5
1835,140,5
1836,200,5
1841,1,5
1842,1,5
1843,1,5
1844,1,5
1845,1,5
1846,0,5
1847,0,5
1848,0,5
1849,10000,1000
