date,pjm_pv_jeremy_scaled_3_28,NREL_wind_scaled
1/7/2007,0,0.582474141
1/8/2007,0,0.616780459
1/8/2007,0,0.637961191
1/8/2007,0,0.638652169
1/8/2007,0,0.63148421
1/8/2007,0,0.610772775
1/8/2007,0,0.600699747
1/8/2007,0,0.599173508
1/8/2007,0,0.604196589
1/8/2007,0.001430804,0.56361379
1/8/2007,0.020568182,0.531378251
1/8/2007,0.033193557,0.557824507
1/8/2007,0.060066162,0.569944142
1/8/2007,0.162632514,0.591362912
1/8/2007,0.195825362,0.610249629
1/8/2007,0.277119619,0.601456273
1/8/2007,0.202505113,0.591383884
1/8/2007,0.156239493,0.60698637
1/8/2007,0.004582048,0.679172626
1/8/2007,0,0.686295931
1/8/2007,0,0.68281221
1/8/2007,0,0.656123705
1/8/2007,0,0.645405727
1/8/2007,0,0.6222885
1/8/2007,0,0.611510452
1/9/2007,0,0.575534981
1/9/2007,0,0.503081299
1/9/2007,0,0.506025045
1/9/2007,0,0.537585868
1/9/2007,0,0.528658487
1/9/2007,0,0.536841834
1/9/2007,0,0.585365984
1/9/2007,0,0.584279093
1/9/2007,0.040378473,0.603418211
1/9/2007,0.132630639,0.607820534
1/9/2007,0.172295034,0.662454866
1/9/2007,0.214513062,0.660017928
1/9/2007,0.243770901,0.678662588
1/9/2007,0.268402325,0.676624447
1/9/2007,0.21696936,0.691409839
1/9/2007,0.09439734,0.680550063
1/9/2007,0.05012008,0.65449637
1/9/2007,0.000473733,0.695869761
1/9/2007,0,0.679116265
1/9/2007,0,0.681634801
1/9/2007,0,0.650136792
1/9/2007,0,0.601602413
1/9/2007,0,0.587978437
1/9/2007,0,0.537069753
1/10/2007,0,0.488779562
1/10/2007,0,0.434125385
1/10/2007,0,0.369104569
1/10/2007,0,0.340775459
1/10/2007,0,0.320275925
1/10/2007,0,0.292750621
1/10/2007,0,0.262783037
1/10/2007,0,0.249474351
1/10/2007,0.088757967,0.241060326
1/10/2007,0.190986056,0.24409508
1/10/2007,0.265748529,0.27138782
1/10/2007,0.289967368,0.301314362
1/10/2007,0.300596351,0.340951765
1/10/2007,0.24959655,0.407079015
1/10/2007,0.223983087,0.443467157
1/10/2007,0.220350559,0.465994356
1/10/2007,0.142467413,0.511059961
1/10/2007,0.004827551,0.604100263
1/10/2007,0,0.663070291
1/10/2007,0,0.673242976
1/10/2007,0,0.66630006
1/10/2007,0,0.673923444
1/10/2007,0,0.688156481
1/10/2007,0,0.685811829
1/11/2007,0,0.649479818
1/11/2007,0,0.658020599
1/11/2007,0,0.624230549
1/11/2007,0,0.610332424
1/11/2007,0,0.601495408
1/11/2007,0,0.612111914
1/11/2007,0,0.619972239
1/11/2007,0,0.638338581
1/11/2007,0.091211514,0.639744478
1/11/2007,0.225349391,0.627662759
1/11/2007,0.312521869,0.603798702
1/11/2007,0.35390482,0.601874427
1/11/2007,0.370121796,0.598416375
1/11/2007,0.347723326,0.593477568
1/11/2007,0.325858666,0.622209554
1/11/2007,0.229276516,0.650492463
1/11/2007,0.100163344,0.69723173
1/11/2007,0.0012776,0.711843493
1/11/2007,0,0.732176165
1/11/2007,0,0.735156275
1/11/2007,0,0.732121096
1/11/2007,0,0.743487673
1/11/2007,0,0.746136324
1/11/2007,0,0.74483049
1/12/2007,0,0.736674224
1/12/2007,0,0.71828855
1/12/2007,0,0.659483906
1/12/2007,0,0.648062497
1/12/2007,0,0.628240566
1/12/2007,0,0.59068253
1/12/2007,0,0.577735611
1/12/2007,0,0.566063332
1/12/2007,0.007940284,0.518507526
1/12/2007,0.026664033,0.485997739
1/12/2007,0.060961014,0.460428789
1/12/2007,0.062293018,0.419387756
1/12/2007,0.129946417,0.399768005
1/12/2007,0.115992144,0.365735652
1/12/2007,0.100940617,0.359014318
1/12/2007,0.071120837,0.360456077
1/12/2007,0.023327502,0.344215116
1/12/2007,0.000461931,0.350515544
1/12/2007,0,0.355460408
1/12/2007,0,0.351473407
1/12/2007,0,0.334003003
1/12/2007,0,0.318616778
1/12/2007,0,0.317674087
1/12/2007,0,0.2968685
1/13/2007,0,0.274385532
1/13/2007,0,0.273507766
1/13/2007,0,0.267378437
1/13/2007,0,0.241142024
1/13/2007,0,0.279779752
1/13/2007,0,0.293712218
1/13/2007,0,0.291614659
