"","UTILUNIT","RECORDDATE","NETACTGEN","SERVHOUR","RESHOUR","PUMPHOUR","SYNCHOUR"
"254566","401-522","2014-01",0,0,0,0,0
"254567","401-523","2014-01",0,0,0,0,0
"254568","401-524","2014-01",0,0,0,0,0
"254569","401-525","2014-01",0,0,0,0,0
"254570","401-526","2014-01",2461,37.25,581.07,125.65,0.03
"254571","401-527","2014-01",21856,121.52,621.1,0,0
"254572","401-528","2014-01",6034,54.82,592.82,96.36,0
"254573","401-529","2014-01",0,0,0,0,0
"254574","401-530","2014-01",1792,25.64,678.25,40.09,0.02
"254575","401-534","2014-01",12753,694.17,49.83,0,0
"254576","401-535","2014-01",5332,260,484,0,0
"254587","411-500","2014-01",318.01,694.12,49.88,0,0
"254588","411-501","2014-01",274.75,593.57,150.43,0,0
"254589","411-502","2014-01",247.77,543.33,200.67,0,0
"254590","411-503","2014-01",0,0,744,0,0
"254591","411-504","2014-01",336.25,686.52,57.48,0,0
"254592","411-505","2014-01",256.45,533.95,210.05,0,0
"254593","411-506","2014-01",0,0,0,0,0
"254594","411-507","2014-01",350.01,744,0,0,0
"254595","411-508","2014-01",247.68,532.87,211.13,0,0
"254596","411-509","2014-01",0,0,744,0,0
"254597","411-510","2014-01",372.98,743.33,0.67,0,0
"254598","411-511","2014-01",349.48,744,0,0,0
"254599","411-512","2014-01",102.95,565.38,178.62,0,0
"254600","411-513","2014-01",128.46,590.28,153.72,0,0
"254601","411-514","2014-01",155.34,634.93,109.07,0,0
"254602","411-515","2014-01",159.41,700.87,43.13,0,0
"254603","411-516","2014-01",147.51,640.45,103.55,0,0
"254604","411-517","2014-01",170.48,741.88,2.12,0,0
"254605","411-518","2014-01",200.64,744,0,0,0
"254606","411-519","2014-01",219.13,744,0,0,0
"254607","411-520","2014-01",215.04,744,0,0,0
"254608","411-521","2014-01",117.72,743.58,0.42,0,0
"254609","411-522","2014-01",152.82,744,0,0,0
"254610","411-523","2014-01",69.65,394.28,349.72,0,0
"254611","411-524","2014-01",60.64,413.63,330.37,0,0
"254654","411-527","2014-01",0,0,0,0,0
"254784","262-506","2014-01",3460,744,0,0,0
"254785","262-507","2014-01",2598,738.51,4.02,0,0
"254786","262-501","2014-01",1526,744,0,0,0
"254787","262-502","2014-01",1551,744,0,0,0
"254788","262-516","2014-01",116,345.83,0,0,0
"254789","262-517","2014-01",88,279.57,0,0,0
"254790","262-518","2014-01",120,365.18,0,0,0
"254791","262-519","2014-01",7,45.57,0,0,0
"254792","262-520","2014-01",73,241.02,0,0,0
"254793","262-521","2014-01",77,241.05,0,0,0
"254794","262-522","2014-01",696,510.22,0,0,0
"254795","262-523","2014-01",653,500,0,0,0
"254877","411-525","2014-01",108.92,744,0,0,0
"254878","411-526","2014-01",666.86,742.07,1.93,0,0
"254879","411-528","2014-01",668.29,743.68,0.32,0,0
"254880","411-529","2014-01",148.05,744,0,0,0
"254881","411-530","2014-01",222.89,710.4,33.6,0,0
"254882","411-531","2014-01",230.89,744,0,0,0
"254883","411-532","2014-01",0,0,0,0,0
"254884","411-533","2014-01",241.14,448.68,295.32,0,0
"254885","411-534","2014-01",351.96,628.12,115.88,0,0
"254886","411-535","2014-01",438.96,744,0,0,0
"254887","411-536","2014-01",419.76,742.55,1.45,0,0
"254888","411-537","2014-01",295.3,520.65,204.7,0,0
"254889","411-538","2014-01",425.37,744,0,0,0
"254890","411-539","2014-01",270.84,499.55,244.45,0,0
"254891","411-540","2014-01",360.23,650.23,93.77,0,0
"254901","401-520","2014-01",0,0,701.15,0,0
"257977","200-919","2014-01",10455,316.53,163.36,0,249.61
"257978","200-917","2014-01",9103,485.01,88.09,0,71.23
"257979","200-918","2014-01",11672,594.51,70.72,0,78.77
"257980","200-920","2014-01",10035,303.97,195.73,0,244.3
"257981","200-921","2014-01",13627,401.19,178.12,0,164.69
"257982","200-922","2014-01",12033,369.8,159.12,0,115.83
"257983","200-923","2014-01",10745,330.71,152.5,0,161.54
"258018","417-501","2014-01",18390,739.42,0,0,0
"262404","488-500","2014-01",33390,737,3.87,0,0
"262409","488-501","2014-01",29797,732.73,7,0,0
"262414","488-502","2014-01",26362,744,0,0,0
"262419","488-503","2014-01",14439,742.1,0,0,0
"262424","488-504","2014-01",14307,742.1,0,0,0
"262429","488-505","2014-01",19027,734.76,0,0,0
"262434","488-506","2014-01",18513,733.17,0,0,0
"262653","341-510","2014-01",20848,726.5,17.5,0,0
"262659","341-511","2014-01",21244,725.75,18.25,0,0
"262674","341-512","2014-01",0,0,0,0,0
"262678","341-513","2014-01",21483,728.25,15.75,0,0
"262697","341-514","2014-01",16245,407,324,0,0
"262708","341-515","2014-01",16110,403.75,340.25,0,0
"262718","341-516","2014-01",16640,417,327,0,0
"262724","488-508","2014-01",15825,734.55,0,0,0
"262729","488-507","2014-01",17239,734.71,0,0,0
"262734","488-509","2014-01",0,0,0,0,0
"262739","488-510","2014-01",11249,744,0,0,0
"262744","488-511","2014-01",5367,744,0,0,0
"262749","488-512","2014-01",9606,744,0,0,0
"263000","341-517","2014-01",6637,732.75,11.25,0,0
"263005","341-518","2014-01",6564,736.5,7.5,0,0
"263016","341-519","2014-01",6895,742.5,1.5,0,0
"263026","341-520","2014-01",21588,661.5,82.5,0,0
"263045","341-521","2014-01",21019,644.5,99.5,0,0
"263052","341-522","2014-01",21420,657.5,78.5,0,0
"263060","341-523","2014-01",6528,408,336,0,0
"263071","341-524","2014-01",6209,388,356,0,0
"263082","341-525","2014-01",3256,391,353,0,0
"263091","341-526","2014-01",8550,285,459,0,0
"263360","341-527","2014-01",13112,195.5,548.5,0,0
"263372","341-528","2014-01",20446,725,19,0,0
"263376","341-529","2014-01",21350,735,9,0,0
"263388","341-530","2014-01",21269,735,9,0,0
"263406","341-531","2014-01",0,0,0,0,0
"263410","341-532","2014-01",25535,627,117,0,0
"263424","341-533","2014-01",25025,618,126,0,0
"263430","341-534","2014-01",24810,615,110,0,0
"263445","341-535","2014-01",25380,629,115,0,0
"263729","341-536","2014-01",25560,629,115,0,0
"263739","341-537","2014-01",25455,629,115,0,0
