"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"CC",0.021862061806148,0.0274681529553615,0.107442932876331,0.201886219824047,0.133140764855054,0.0142361760318767,0.00284814411300569,0.00300074992464476,0.0266189391981975,0.15087561547929,0.125692260178953,0.0286096951333541
"CT",0.0172163912081961,0.0182427005499771,0.0421109381270806,0.0649585566088958,0.0490365372124544,0.00826974602509547,0.00124873086732733,0.000547117020481632,0.0217000972181971,0.0609867407242725,0.0535587663740089,0.0253503715950677
"ST",0.024933724127436,0.0389598966113862,0.106123888496802,0.172081418210113,0.14559020778729,0.0220413945959565,0.00250036578146088,0.00226072293156971,0.0508011943609136,0.131418910503182,0.107695267467317,0.0416294918600105
"DS",0.00402936537502709,0.00433822461236721,0.00776206373120816,0.0192527995986964,0.0159663674072828,0.00542886246017962,0.001963542290971,0.00163915966506162,0.00510259384241354,0.010165299016701,0.00921295755731218,0.00408476969179847
"HD",0.0345650073307547,0.0331756613108792,0.0446101084447725,0.0542796015070389,0.0556035384720803,0.036638372514728,0.0459491443980852,0.0499170846600425,0.0681261986309765,0.0893197709262894,0.065390391101714,0.041122688422833
"NU",0.0150565000457917,0.0452292344703728,0.106630379027326,0.136566698231227,0.0911083050389987,0.0124354909073053,0.00108564046372039,0.00102087240477694,0.0529168850183817,0.115267617654904,0.084515650421721,0.0195182941482784
