,MW on reserve segment
"1,1",2001.00
"1,2",1941.00
"1,3",1916.00
"1,4",1906.00
"1,5",1905.00
"1,6",1931.00
"1,7",2000.00
"1,8",2107.00
"1,9",2175.00
"1,10",2162.00
"1,11",2110.00
"1,12",2299.00
"1,13",2243.00
"1,14",1967.00
"1,15",1934.00
"1,16",1771.00
"1,17",1692.00
"1,18",1719.00
"1,19",1802.00
"1,20",1776.00
"1,21",1767.00
"1,22",1749.00
"1,23",1747.00
"1,24",1669.00
"2,1",2001.00
"2,2",1941.00
"2,3",1916.00
"2,4",1906.00
"2,5",1905.00
"2,6",1931.00
"2,7",2000.00
"2,8",2107.00
"2,9",2175.00
"2,10",2162.00
"2,11",2110.00
"2,12",2299.00
"2,13",2243.00
"2,14",1967.00
"2,15",1934.00
"2,16",1771.00
"2,17",1692.00
"2,18",1719.00
"2,19",1802.00
"2,20",1776.00
"2,21",1767.00
"2,22",1749.00
"2,23",1747.00
"2,24",1669.00
"3,1",2001.00
"3,2",1941.00
"3,3",1916.00
"3,4",1906.00
"3,5",1905.00
"3,6",1931.00
"3,7",2000.00
"3,8",2107.00
"3,9",2175.00
"3,10",2162.00
"3,11",2110.00
"3,12",2299.00
"3,13",2243.00
"3,14",1967.00
"3,15",1934.00
"3,16",1771.00
"3,17",1692.00
"3,18",1719.00
"3,19",1802.00
"3,20",1776.00
"3,21",1767.00
"3,22",1749.00
"3,23",1747.00
"3,24",1669.00
"4,1",2001.00
"4,2",1941.00
"4,3",1916.00
"4,4",1906.00
"4,5",1905.00
"4,6",1931.00
"4,7",2000.00
"4,8",2107.00
"4,9",2175.00
"4,10",2162.00
"4,11",2110.00
"4,12",2299.00
"4,13",2243.00
"4,14",1967.00
"4,15",1934.00
"4,16",1771.00
"4,17",1692.00
"4,18",1719.00
"4,19",1802.00
"4,20",1776.00
"4,21",1767.00
"4,22",1749.00
"4,23",1747.00
"4,24",1669.00
"5,1",2001.00
"5,2",1941.00
"5,3",1916.00
"5,4",1906.00
"5,5",1905.00
"5,6",1931.00
"5,7",2000.00
"5,8",2107.00
"5,9",2175.00
"5,10",2162.00
"5,11",2110.00
"5,12",2299.00
"5,13",2243.00
"5,14",1967.00
"5,15",1934.00
"5,16",1771.00
"5,17",1692.00
"5,18",1719.00
"5,19",1802.00
"5,20",1776.00
"5,21",1767.00
"5,22",1749.00
"5,23",1747.00
"5,24",1669.00
"6,1",2001.00
"6,2",1941.00
"6,3",1916.00
"6,4",1906.00
"6,5",1905.00
"6,6",1931.00
"6,7",2000.00
"6,8",2107.00
"6,9",2175.00
"6,10",2162.00
"6,11",2110.00
"6,12",2299.00
"6,13",2243.00
"6,14",1967.00
"6,15",1934.00
"6,16",1771.00
"6,17",1692.00
"6,18",1719.00
"6,19",1802.00
"6,20",1776.00
"6,21",1767.00
"6,22",1749.00
"6,23",1747.00
"6,24",1669.00
"7,1",2001.00
"7,2",1941.00
"7,3",1916.00
"7,4",1906.00
"7,5",1905.00
"7,6",1931.00
"7,7",2000.00
"7,8",2107.00
"7,9",2175.00
"7,10",2162.00
"7,11",2110.00
"7,12",2299.00
"7,13",2243.00
"7,14",1967.00
"7,15",1934.00
"7,16",1771.00
"7,17",1692.00
"7,18",1719.00
"7,19",1802.00
"7,20",1776.00
"7,21",1767.00
"7,22",1749.00
"7,23",1747.00
"7,24",1669.00
"8,1",2001.00
"8,2",1941.00
"8,3",1916.00
"8,4",1906.00
"8,5",1905.00
"8,6",1931.00
"8,7",2000.00
"8,8",2107.00
"8,9",1024.41
"8,10",1119.55
"8,11",2110.00
"8,12",2152.77
"8,13",2243.00
"8,14",1967.00
"8,15",1934.00
"8,16",1771.00
"8,17",1692.00
"8,18",1719.00
"8,19",1802.00
"8,20",1776.00
"8,21",1767.00
"8,22",1749.00
"8,23",1747.00
"8,24",1669.00
"9,1",18.87
"9,2",1554.02
"9,3",1916.00
"9,4",1906.00
"9,5",1905.00
"9,6",1931.00
"9,7",1552.38
"9,8",20.54
"9,9",0
"9,10",0
"9,11",410.96
"9,12",0
"9,13",714.10
"9,14",1967.00
"9,15",1934.00
"9,16",1771.00
"9,17",1692.00
"9,18",1719.00
"9,19",1802.00
"9,20",1776.00
"9,21",1767.00
"9,22",1749.00
"9,23",1747.00
"9,24",1669.00
"10,1",0
"10,2",0
"10,3",482.13
"10,4",800.53
"10,5",1087.79
"10,6",823.26
"10,7",0
"10,8",0
"10,9",0
"10,10",0
"10,11",0
"10,12",0
"10,13",0
"10,14",1751.79
"10,15",1934.00
"10,16",1771.00
"10,17",1692.00
"10,18",1719.00
"10,19",1639.14
"10,20",1162.36
"10,21",1347.06
"10,22",1749.00
"10,23",1747.00
"10,24",1669.00
