timepoint,segments,MW,Price
1,1,1486,3499.9923024631266
1,2,1486,3481.352796055801
1,3,1486,3168.3444874513875
1,4,1486,2188.8599261828895
1,5,1486,1029.0949125422214
1,6,1486,327.1911245658082
1,7,1486,72.5678555367968
1,8,1486,11.63415326130605
1,9,1486,1.3909211591708504
1,10,1486,0.12721433524050774
2,1,1426,3499.974624336866
2,2,1426,3467.347875664108
2,3,1426,3063.5157001574316
2,4,1426,2015.7474647500446
2,5,1426,910.128142708414
2,6,1426,283.65603253543685
2,7,1426,63.04835965677456
2,8,1426,10.338886891884783
2,9,1426,1.2875832034146764
2,10,1426,0.12468516327770966
3,1,1399,3499.9243601101093
3,2,1399,3451.836643088581
3,3,1399,2980.9176332575444
3,4,1399,1900.7761723238236
3,5,1399,837.9547675078271
3,6,1399,258.26452659790783
3,7,1399,57.48869830290156
3,8,1399,9.547718280068866
3,9,1399,1.21615867835706
3,10,1399,0.12150275647147381
4,1,1388,3499.893295241686
4,2,1388,3445.1079846186376
4,3,1388,2949.197510084475
4,4,1388,1859.439645176498
4,5,1388,813.0588964880585
4,6,1388,249.76187809366564
4,7,1388,55.67739321523069
4,8,1388,9.300057943082846
4,9,1388,1.195908235911721
4,10,1388,0.12102123955113747
5,1,1384,3499.8717418039714
5,2,1384,3441.7435972776493
5,3,1384,2934.0716427360644
5,4,1384,1839.6284389124776
5,5,1384,800.7040358317005
5,6,1384,245.26185361811184
5,7,1384,54.612358548352304
5,8,1384,9.12601684788673
5,9,1384,1.175624738079286
5,10,1384,0.11932414719382431
6,1,1400,3499.9256054720304
6,2,1400,3452.26734916869
6,3,1400,2982.9886084608447
6,4,1400,1903.370719244029
6,5,1400,839.3865992206678
6,6,1400,258.6795569859003
6,7,1400,57.55068888851492
6,8,1400,9.54934560451101
6,9,1400,1.2148562370319387
6,10,1400,0.12118583058276151
7,1,1454,3499.9833148527723
7,2,1454,3474.007377181519
7,3,1454,3111.4695612661562
7,4,1454,2093.071385845798
7,5,1454,962.7506775952074
7,6,1454,302.96504589562977
7,7,1454,67.337001854113
7,8,1454,10.942387118015935
7,9,1454,1.339522788661193
7,10,1454,0.12658200934726263
8,1,1558,3499.998249817595
8,2,1558,3490.808378392456
8,3,1558,3267.3976644773716
8,4,1558,2387.557949261606
8,5,1558,1182.7104957893546
8,6,1558,387.49553007229304
8,7,1558,86.30159202153563
8,8,1558,13.55843161573393
8,9,1558,1.5539656671720936
8,10,1558,0.13360443661890803
9,1,1635,3499.9995570058577
9,2,1635,3495.064009656959
9,3,1635,3330.3197515454003
9,4,1635,2541.647249279742
9,5,1635,1316.4908259066415
9,6,1635,443.2191152502918
9,7,1635,99.1873226031362
9,8,1635,15.319351120678917
9,9,1635,1.6920212406736757
9,10,1635,0.13769565117921584
10,1,1645,3499.9997058436707
10,2,1645,3495.833079551936
10,3,1645,3343.2052413215147
10,4,1645,2575.1164108629328
10,5,1645,1346.3545335939666
10,6,1645,455.73980754986724
10,7,1645,102.05485163129839
10,8,1645,15.70184432436603
10,9,1645,1.720786314599724
10,10,1645,0.13846332595290373
11,1,1647,3499.9997302598445
11,2,1647,3495.9635389751857
11,3,1647,3345.508428975087
11,4,1647,2581.280833687427
11,5,1647,1351.9526057880128
11,6,1647,458.11054791874136
11,7,1647,102.60052494158627
11,8,1647,15.774747723163077
11,9,1647,1.7262702152046006
11,10,1647,0.13861143016203825
12,1,1643,3499.9996973497723
12,2,1643,3495.7235920440307
12,3,1643,3340.8767194794577
12,4,1643,2568.177943017084
12,5,1643,1339.4220288022352
12,6,1643,452.47430952217906
12,7,1643,101.1926372801398
12,8,1643,15.560804285343625
12,9,1643,1.7055966906702145
12,10,1643,0.1373482640960084
13,1,1624,3499.9994618760197
13,2,1624,3494.7170710649607
13,3,1624,3324.5741743336343
13,4,1624,2526.20333858714
13,5,1624,1302.1249408084373
13,6,1624,436.9121482193406
13,7,1624,97.66061919893804
13,8,1624,15.099176168902877
13,9,1624,1.672879410968341
13,10,1624,0.1368177023345577
14,1,1604,3499.999390416724
14,2,1604,3494.2188323329347
14,3,1604,3314.941214014163
14,4,1604,2499.2820401185686
14,5,1604,1276.9413393212235
14,6,1604,425.95582742284074
14,7,1604,95.06599099832695
14,8,1604,14.741218667107727
14,9,1604,1.644908892170238
14,10,1604,0.13601520773557932
15,1,1584,3499.999076384369
15,2,1584,3493.1267578845955
15,3,1584,3298.3361598916913
15,4,1584,2457.8910712501756
15,5,1584,1240.4986157697263
15,6,1584,410.54326578366516
15,7,1584,91.42346228008763
15,8,1584,14.223843881340203
15,9,1584,1.6005743120178881
15,10,1584,0.1340755297391306
16,1,1563,3499.998337646389
16,2,1563,3491.103774263241
16,3,1563,3271.707719470002
16,4,1563,2397.7850906189174
16,5,1563,1191.3991234762805
16,6,1563,391.0869865377499
16,7,1563,87.13795919300097
16,8,1563,13.675466919349653
16,9,1563,1.5636217719828298
16,10,1563,0.13394855915974677
17,1,1554,3499.9980443922213
17,2,1554,3490.3366100626367
17,3,1554,3261.3185028276102
17,4,1554,2373.5743020277855
17,5,1554,1170.6927581302846
17,6,1554,382.29982890047006
17,7,1554,84.98541406754474
17,8,1554,13.345171821882449
17,9,1554,1.5306978623554328
17,10,1554,0.13185223443093708
18,1,1566,3499.998562228642
18,2,1566,3491.5012923148697
18,3,1566,3275.9947415397714
18,4,1566,2406.1601141443907
18,5,1566,1197.3198545546825
18,6,1566,393.0205030043978
18,7,1566,87.43329790091185
18,8,1566,13.682103838817863
18,9,1566,1.5580248559898544
18,10,1566,0.13279010499337196
19,1,1623,3499.99946542463
19,2,1623,3494.7189617038757
19,3,1623,3324.4814175281563
19,4,1623,2525.8365531877034
19,5,1623,1301.7855046680418
19,6,1623,436.8013709098911
19,7,1623,97.65382397756255
19,8,1623,15.103741606280064
19,9,1623,1.6743118315159455
19,10,1623,0.13703397846534449
20,1,1624,3499.99946788565
20,2,1624,3494.7384960380673
20,3,1624,3324.991771398555
20,4,1624,2527.527275717337
20,5,1624,1303.6038566596724
20,6,1624,437.7148460092131
20,7,1624,97.91131815535715
20,8,1624,15.149060980391878
20,9,1624,1.6796410741383643
20,10,1624,0.13747190009614915
21,1,1587,3499.9992367682703
21,2,1587,3493.5864610587782
21,3,1587,3304.601644057225
21,4,1587,2472.588847174529
21,5,1587,1253.0704539919866
