timepoint,zone,gross_load,wind_cf,solar_cf
1,EAST,17733.947399999997,0.40807923,0.0
2,EAST,16891.533,0.40807923,0.0
3,EAST,16398.8946,0.376714956,0.0
4,EAST,16193.9952,0.351332597,0.0
5,EAST,16109.5212,0.343146444,0.0
6,EAST,16357.014,0.33580059,0.0
7,EAST,17179.6842,0.33884225799999995,0.0
8,EAST,18674.802,0.33884225799999995,0.0
9,EAST,19664.946,0.31752559,0.016063443
10,EAST,19766.484,0.263799442,0.041305583
11,EAST,19748.988,0.227143657,0.053798963
12,EAST,19688.274,0.22826006399999998,0.08959459800000001
13,EAST,19459.944,0.256816196,0.083480231
14,EAST,19226.574,0.256816196,0.09834035
15,EAST,18996.966,0.287926674,0.083125667
16,EAST,18711.755999999998,0.310834004,0.083354579
17,EAST,18648.036,0.364514523,0.025801694
18,EAST,18891.684,0.418525486,0.0
19,EAST,19686.924,0.438847369,0.0
20,EAST,19699.254,0.438847369,0.0
21,EAST,19257.21,0.44142268700000004,0.0
22,EAST,18796.788,0.438296605,0.0
23,EAST,18126.791999999998,0.439993112,0.0
24,EAST,17173.314,0.450845744,0.0
1,WEST,47389.04833,0.40807923,0.0
2,WEST,45137.92985000001,0.40807923,0.0
3,WEST,43821.49057,0.376714956,0.0
4,WEST,43273.95384,0.351332597,0.0
5,WEST,43048.22054,0.343146444,0.0
6,WEST,43709.57630000001,0.33580059,0.0
7,WEST,45907.93389000001,0.33884225799999995,0.0
8,WEST,49903.2209,0.33884225799999995,0.0
9,WEST,52549.1057,0.31752559,0.016063443
10,WEST,52820.43780000001,0.263799442,0.041305583
11,WEST,52773.68460000001,0.227143657,0.053798963
12,WEST,52611.443300000006,0.22826006399999998,0.08959459800000001
13,WEST,52001.2948,0.256816196,0.083480231
14,WEST,51377.67830000001,0.256816196,0.09834035
15,WEST,50764.114700000006,0.287926674,0.083125667
16,WEST,50001.9702,0.310834004,0.083354579
17,WEST,49831.696200000006,0.364514523,0.025801694
18,WEST,50482.7778,0.418525486,0.0
19,WEST,52607.83580000001,0.438847369,0.0
20,WEST,52640.78430000001,0.438847369,0.0
