,congestion price ($/MW),flow (MW)
EAST_to_VA_DOM-12,-3406.90,0
EAST_to_VA_DOM-13,-43.17,0
EAST_to_VA_DOM-14,-7.02,0
EAST_to_VA_DOM-15,-12.79,0
EAST_to_VA_DOM-16,-13.99,0
EAST_to_VA_DOM-17,-5.81,0
EAST_to_VA_DOM-18,-4.30,0
EAST_to_VA_DOM-19,-3407.10,0
EAST_to_VA_DOM-20,-3392.66,0
EAST_to_VA_DOM-21,-3393.80,0
EAST_to_VA_DOM-22,-3407.16,0
EAST_to_VA_DOM-23,-26.38,0
EAST_to_VA_DOM-24,-1.96,0
EAST_to_WEST-1,-26.83,0
EAST_to_WEST-2,-2.79,0
EAST_to_WEST-3,-4.72,0
EAST_to_WEST-4,-3.88,0
EAST_to_WEST-5,-4.30,0
EAST_to_WEST-6,-2.82,0
EAST_to_WEST-7,-2.70,0
EAST_to_WEST-8,-3389.12,0
EAST_to_WEST-9,-3389.84,0
EAST_to_WEST-10,-3390.12,0
EAST_to_WEST-11,-3388.54,0
EAST_to_WEST-12,-3406.90,0
EAST_to_WEST-13,-43.17,0
EAST_to_WEST-14,-7.02,0
EAST_to_WEST-15,-12.79,0
EAST_to_WEST-16,-13.99,0
EAST_to_WEST-17,-5.81,0
EAST_to_WEST-18,-4.30,0
EAST_to_WEST-19,-3407.10,0
EAST_to_WEST-20,-3392.66,0
EAST_to_WEST-21,-3393.80,0
EAST_to_WEST-22,-3407.16,0
EAST_to_WEST-23,-26.38,0
EAST_to_WEST-24,-1.96,0
VA_DOM_to_PA_METED_PPL-1,24.18,0
VA_DOM_to_PA_METED_PPL-2,0.51,0
VA_DOM_to_PA_METED_PPL-3,1.90,0
VA_DOM_to_PA_METED_PPL-4,1.06,0
VA_DOM_to_PA_METED_PPL-5,1.48,0
VA_DOM_to_PA_METED_PPL-6,0,0
VA_DOM_to_PA_METED_PPL-7,0,0
VA_DOM_to_PA_METED_PPL-8,3388.19,0
VA_DOM_to_PA_METED_PPL-9,3387.08,0
VA_DOM_to_PA_METED_PPL-10,3388.33,0
VA_DOM_to_PA_METED_PPL-11,3386.75,0
VA_DOM_to_PA_METED_PPL-12,3404.98,0
VA_DOM_to_PA_METED_PPL-13,40.63,0
VA_DOM_to_PA_METED_PPL-14,5.49,0
VA_DOM_to_PA_METED_PPL-15,10.94,0
VA_DOM_to_PA_METED_PPL-16,12.03,0
VA_DOM_to_PA_METED_PPL-17,3.85,0
VA_DOM_to_PA_METED_PPL-18,2.34,0
VA_DOM_to_PA_METED_PPL-19,3405.27,0
VA_DOM_to_PA_METED_PPL-20,3390.84,0
VA_DOM_to_PA_METED_PPL-21,3391.96,0
VA_DOM_to_PA_METED_PPL-22,3405.33,0
VA_DOM_to_PA_METED_PPL-23,24.49,0
VA_DOM_to_PA_METED_PPL-24,0,0
WEST_to_DC_BGE_PEP-1,0,-3285.64
WEST_to_DC_BGE_PEP-2,0,-2722.09
WEST_to_DC_BGE_PEP-3,0,-2347.07
WEST_to_DC_BGE_PEP-4,0,-2100.44
WEST_to_DC_BGE_PEP-5,0,-2079.94
WEST_to_DC_BGE_PEP-6,0,-2275.54
WEST_to_DC_BGE_PEP-7,0,-3098.96
WEST_to_DC_BGE_PEP-8,0,-3180.30
WEST_to_DC_BGE_PEP-9,0,-4300.00
WEST_to_DC_BGE_PEP-10,0,-3873.32
WEST_to_DC_BGE_PEP-11,0,1447.38
WEST_to_DC_BGE_PEP-12,0,-4300.00
WEST_to_DC_BGE_PEP-13,0,-3642.09
WEST_to_DC_BGE_PEP-14,0,-3561.20
WEST_to_DC_BGE_PEP-15,0,-3735.18
WEST_to_DC_BGE_PEP-16,0,-3487.67
WEST_to_DC_BGE_PEP-17,0,-3371.37
WEST_to_DC_BGE_PEP-18,0,-3365.66
WEST_to_DC_BGE_PEP-19,0,-3321.18
WEST_to_DC_BGE_PEP-20,0,-3089.09
WEST_to_DC_BGE_PEP-21,0,-4300.00
WEST_to_DC_BGE_PEP-22,0,3063.43
WEST_to_DC_BGE_PEP-23,0,3551.13
WEST_to_DC_BGE_PEP-24,0,-3176.84
WEST_to_PA_METED_PPL-1,24.18,-4400.00
WEST_to_PA_METED_PPL-2,0.51,-4400.00
WEST_to_PA_METED_PPL-3,1.90,-4400.00
WEST_to_PA_METED_PPL-4,1.06,-4400.00
WEST_to_PA_METED_PPL-5,1.48,-4400.00
WEST_to_PA_METED_PPL-6,0,-4400.00
WEST_to_PA_METED_PPL-7,0,-3672.65
WEST_to_PA_METED_PPL-8,3388.19,-2900.00
WEST_to_PA_METED_PPL-9,3387.08,-2900.00
WEST_to_PA_METED_PPL-10,3388.33,-2900.00
WEST_to_PA_METED_PPL-11,3386.75,-2900.00
WEST_to_PA_METED_PPL-12,3404.98,-2900.00
WEST_to_PA_METED_PPL-13,40.63,-2900.00
WEST_to_PA_METED_PPL-14,5.49,-2900.00
WEST_to_PA_METED_PPL-15,10.94,-2900.00
WEST_to_PA_METED_PPL-16,12.03,-2900.00
WEST_to_PA_METED_PPL-17,3.85,-2900.00
WEST_to_PA_METED_PPL-18,2.34,-2900.00
WEST_to_PA_METED_PPL-19,3405.27,-2900.00
WEST_to_PA_METED_PPL-20,3390.84,-2900.00
WEST_to_PA_METED_PPL-21,3391.96,-2900.00
WEST_to_PA_METED_PPL-22,3405.33,-2900.00
WEST_to_PA_METED_PPL-23,24.49,-2900.00
WEST_to_PA_METED_PPL-24,0,-3255.43
WEST_to_VA_DOM-1,0,4400.00
WEST_to_VA_DOM-2,0,4400.00
WEST_to_VA_DOM-3,0,4400.00
WEST_to_VA_DOM-4,0,4400.00
WEST_to_VA_DOM-5,0,4400.00
WEST_to_VA_DOM-6,0,4400.00
WEST_to_VA_DOM-7,0,3556.82
WEST_to_VA_DOM-8,0,844.41
WEST_to_VA_DOM-9,0,-779.63
WEST_to_VA_DOM-10,0,2132.20
WEST_to_VA_DOM-11,0,-3950.00
WEST_to_VA_DOM-12,0,2044.10
WEST_to_VA_DOM-13,0,2791.67
WEST_to_VA_DOM-14,0,3408.12
WEST_to_VA_DOM-15,0,3876.65
WEST_to_VA_DOM-16,0,3950.00
WEST_to_VA_DOM-17,0,3950.00
WEST_to_VA_DOM-18,0,3439.72
WEST_to_VA_DOM-19,0,1430.12
WEST_to_VA_DOM-20,0,3607.19
WEST_to_VA_DOM-21,0,3195.79
WEST_to_VA_DOM-22,0,-3950.00
WEST_to_VA_DOM-23,0,-3950.00
WEST_to_VA_DOM-24,0,3560.97
