,congestion price ($/MW),flow (MW)
DC_BGE_PEP_to_PA_METED_PPL-1,24.18,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-2,0.51,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-3,1.90,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-4,1.06,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-5,1.48,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-6,0,-1705.25
DC_BGE_PEP_to_PA_METED_PPL-7,0,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-8,3388.19,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-9,3387.08,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-10,3388.33,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-11,3386.75,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-12,3404.98,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-13,40.63,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-14,5.49,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-15,10.94,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-16,12.03,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-17,3.85,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-18,2.34,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-19,3405.27,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-20,3390.84,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-21,3391.96,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-22,3405.33,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-23,24.49,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-24,0,-2050.00
DC_BGE_PEP_to_VA_DOM-1,0,-3596.49
DC_BGE_PEP_to_VA_DOM-2,0,-3480.99
DC_BGE_PEP_to_VA_DOM-3,0,-3181.74
DC_BGE_PEP_to_VA_DOM-4,0,-3206.36
DC_BGE_PEP_to_VA_DOM-5,0,-3190.05
DC_BGE_PEP_to_VA_DOM-6,0,-3689.73
DC_BGE_PEP_to_VA_DOM-7,0,-4100.00
DC_BGE_PEP_to_VA_DOM-8,0,-4100.00
DC_BGE_PEP_to_VA_DOM-9,0,-2616.88
DC_BGE_PEP_to_VA_DOM-10,0,-4100.00
DC_BGE_PEP_to_VA_DOM-11,0,458.64
DC_BGE_PEP_to_VA_DOM-12,0,-3963.26
DC_BGE_PEP_to_VA_DOM-13,0,-4100.00
DC_BGE_PEP_to_VA_DOM-14,0,-4100.00
DC_BGE_PEP_to_VA_DOM-15,0,-4100.00
DC_BGE_PEP_to_VA_DOM-16,0,-4002.72
DC_BGE_PEP_to_VA_DOM-17,0,-4050.17
DC_BGE_PEP_to_VA_DOM-18,0,-4100.00
DC_BGE_PEP_to_VA_DOM-19,0,-4100.00
DC_BGE_PEP_to_VA_DOM-20,0,-4100.00
DC_BGE_PEP_to_VA_DOM-21,0,-3618.91
DC_BGE_PEP_to_VA_DOM-22,0,3256.37
DC_BGE_PEP_to_VA_DOM-23,0,2977.09
DC_BGE_PEP_to_VA_DOM-24,0,-4100.00
EAST_to_DC_BGE_PEP-1,-26.83,0
EAST_to_DC_BGE_PEP-2,-2.79,0
EAST_to_DC_BGE_PEP-3,-4.72,0
EAST_to_DC_BGE_PEP-4,-3.88,0
EAST_to_DC_BGE_PEP-5,-4.30,0
EAST_to_DC_BGE_PEP-6,-2.82,0
EAST_to_DC_BGE_PEP-7,-2.70,0
EAST_to_DC_BGE_PEP-8,-3389.12,0
EAST_to_DC_BGE_PEP-9,-3389.84,0
EAST_to_DC_BGE_PEP-10,-3390.12,0
EAST_to_DC_BGE_PEP-11,-3388.54,0
EAST_to_DC_BGE_PEP-12,-3406.90,0
EAST_to_DC_BGE_PEP-13,-43.17,0
EAST_to_DC_BGE_PEP-14,-7.02,0
EAST_to_DC_BGE_PEP-15,-12.79,0
EAST_to_DC_BGE_PEP-16,-13.99,0
EAST_to_DC_BGE_PEP-17,-5.81,0
EAST_to_DC_BGE_PEP-18,-4.30,0
EAST_to_DC_BGE_PEP-19,-3407.10,0
EAST_to_DC_BGE_PEP-20,-3392.66,0
EAST_to_DC_BGE_PEP-21,-3393.80,0
EAST_to_DC_BGE_PEP-22,-3407.16,0
EAST_to_DC_BGE_PEP-23,-26.38,0
EAST_to_DC_BGE_PEP-24,-1.96,0
EAST_to_PA_METED_PPL-1,-2.65,5050.00
EAST_to_PA_METED_PPL-2,-2.28,5050.00
EAST_to_PA_METED_PPL-3,-2.82,5050.00
EAST_to_PA_METED_PPL-4,-2.82,5050.00
EAST_to_PA_METED_PPL-5,-2.82,5050.00
EAST_to_PA_METED_PPL-6,-2.82,5050.00
EAST_to_PA_METED_PPL-7,-2.70,5050.00
EAST_to_PA_METED_PPL-8,-0.93,5050.00
EAST_to_PA_METED_PPL-9,-2.76,5050.00
EAST_to_PA_METED_PPL-10,-1.79,5050.00
EAST_to_PA_METED_PPL-11,-1.79,5050.00
EAST_to_PA_METED_PPL-12,-1.92,5050.00
EAST_to_PA_METED_PPL-13,-2.54,5050.00
EAST_to_PA_METED_PPL-14,-1.52,5050.00
EAST_to_PA_METED_PPL-15,-1.85,5050.00
EAST_to_PA_METED_PPL-16,-1.96,5050.00
EAST_to_PA_METED_PPL-17,-1.96,5050.00
EAST_to_PA_METED_PPL-18,-1.96,5050.00
EAST_to_PA_METED_PPL-19,-1.83,5050.00
EAST_to_PA_METED_PPL-20,-1.82,5050.00
EAST_to_PA_METED_PPL-21,-1.84,5050.00
EAST_to_PA_METED_PPL-22,-1.83,5050.00
EAST_to_PA_METED_PPL-23,-1.89,5050.00
EAST_to_PA_METED_PPL-24,-1.96,5050.00
EAST_to_VA_DOM-1,-26.83,0
EAST_to_VA_DOM-2,-2.79,0
EAST_to_VA_DOM-3,-4.72,0
EAST_to_VA_DOM-4,-3.88,0
EAST_to_VA_DOM-5,-4.30,0
EAST_to_VA_DOM-6,-2.82,0
EAST_to_VA_DOM-7,-2.70,0
EAST_to_VA_DOM-8,-3389.12,0
EAST_to_VA_DOM-9,-3389.84,0
EAST_to_VA_DOM-10,-3390.12,0
EAST_to_VA_DOM-11,-3388.54,0
