,MW on reserve segment
"1,1",1587.00
"1,2",1593.00
"1,3",1509.00
"1,4",1491.00
"1,5",1549.00
"1,6",1577.00
"1,7",1577.00
"1,8",1770.00
"1,9",1764.00
"1,10",1747.00
"1,11",1788.00
"1,12",1754.00
"1,13",1709.00
"1,14",1670.00
"1,15",1583.00
"1,16",1572.00
"1,17",1527.00
"1,18",1558.00
"1,19",1642.00
"1,20",1672.00
"1,21",1642.00
"1,22",1626.00
"1,23",1599.00
"1,24",1521.00
"2,1",1587.00
"2,2",1593.00
"2,3",1509.00
"2,4",1491.00
"2,5",1549.00
"2,6",1577.00
"2,7",1577.00
"2,8",1770.00
"2,9",1764.00
"2,10",1747.00
"2,11",1788.00
"2,12",1754.00
"2,13",1709.00
"2,14",1670.00
"2,15",1583.00
"2,16",1572.00
"2,17",1527.00
"2,18",1558.00
"2,19",1642.00
"2,20",1672.00
"2,21",1642.00
"2,22",1626.00
"2,23",1599.00
"2,24",1521.00
"3,1",1587.00
"3,2",1593.00
"3,3",1509.00
"3,4",1491.00
"3,5",1549.00
"3,6",1577.00
"3,7",1577.00
"3,8",1770.00
"3,9",1764.00
"3,10",1747.00
"3,11",1788.00
"3,12",1754.00
"3,13",1709.00
"3,14",1670.00
"3,15",1583.00
"3,16",1572.00
"3,17",1527.00
"3,18",1558.00
"3,19",1642.00
"3,20",1672.00
"3,21",1642.00
"3,22",1626.00
"3,23",1599.00
"3,24",1521.00
"4,1",1587.00
"4,2",1593.00
"4,3",1509.00
"4,4",1491.00
"4,5",1549.00
"4,6",1577.00
"4,7",1577.00
"4,8",1770.00
"4,9",1764.00
"4,10",1747.00
"4,11",1788.00
"4,12",1754.00
"4,13",1709.00
"4,14",1670.00
"4,15",1583.00
"4,16",1572.00
"4,17",1527.00
"4,18",1558.00
"4,19",1642.00
"4,20",1672.00
"4,21",1642.00
"4,22",1626.00
"4,23",1599.00
"4,24",1521.00
"5,1",1587.00
"5,2",1593.00
"5,3",1509.00
"5,4",1491.00
"5,5",1549.00
"5,6",1577.00
"5,7",1577.00
"5,8",1770.00
"5,9",1764.00
"5,10",1747.00
"5,11",1788.00
"5,12",1754.00
"5,13",1709.00
"5,14",1670.00
"5,15",1583.00
"5,16",1572.00
"5,17",1527.00
"5,18",1558.00
"5,19",1642.00
"5,20",1672.00
"5,21",1642.00
"5,22",1626.00
"5,23",1599.00
"5,24",1521.00
"6,1",1587.00
"6,2",1593.00
"6,3",1509.00
"6,4",1491.00
"6,5",1549.00
"6,6",1577.00
"6,7",1577.00
"6,8",1770.00
"6,9",1764.00
"6,10",1747.00
"6,11",1788.00
"6,12",1754.00
"6,13",1709.00
"6,14",1670.00
"6,15",1583.00
"6,16",1572.00
"6,17",1527.00
"6,18",1558.00
"6,19",1642.00
"6,20",1672.00
"6,21",1642.00
"6,22",1626.00
"6,23",1599.00
"6,24",1521.00
"7,1",1587.00
"7,2",1593.00
"7,3",1509.00
"7,4",1491.00
"7,5",1549.00
"7,6",1577.00
"7,7",1577.00
"7,8",1770.00
"7,9",1764.00
"7,10",1747.00
"7,11",1788.00
"7,12",1754.00
"7,13",1709.00
"7,14",1670.00
"7,15",1583.00
"7,16",1572.00
"7,17",1527.00
"7,18",1558.00
"7,19",1642.00
"7,20",1672.00
"7,21",1642.00
"7,22",1626.00
"7,23",1599.00
"7,24",1521.00
"8,1",1587.00
"8,2",1593.00
"8,3",1509.00
"8,4",1491.00
"8,5",1549.00
"8,6",1577.00
"8,7",1577.00
"8,8",1370.40
"8,9",6.92
"8,10",564.81
"8,11",1121.15
"8,12",1754.00
"8,13",1709.00
"8,14",1670.00
"8,15",1583.00
"8,16",1572.00
"8,17",1527.00
"8,18",1558.00
"8,19",1642.00
"8,20",932.23
"8,21",1211.18
"8,22",1626.00
"8,23",1599.00
"8,24",1521.00
"9,1",1587.00
"9,2",1593.00
"9,3",1509.00
"9,4",1491.00
"9,5",1549.00
"9,6",1577.00
"9,7",1577.00
"9,8",0
"9,9",0
"9,10",0
"9,11",0
"9,12",109.40
"9,13",1667.45
"9,14",1670.00
"9,15",1583.00
"9,16",1572.00
"9,17",1527.00
"9,18",1558.00
"9,19",219.82
"9,20",0
"9,21",0
"9,22",100.71
"9,23",1599.00
"9,24",1521.00
"10,1",1295.63
"10,2",1593.00
"10,3",1509.00
"10,4",1491.00
"10,5",1549.00
"10,6",1577.00
"10,7",1577.00
"10,8",0
"10,9",0
"10,10",0
"10,11",0
"10,12",0
"10,13",0
"10,14",1670.00
"10,15",1583.00
"10,16",1572.00
"10,17",1527.00
"10,18",1558.00
"10,19",0
"10,20",0
"10,21",0
"10,22",0
"10,23",675.00
"10,24",1521.00
