Gen_Index,Fuel_Cost,Pmin,start_cost,Can_Spin
336,37.44408931,0.4,1150,1
337,5.229621412,0.9,565000,0
338,62.85948812,0.4,10700,1
339,62.85948812,0.4,12000,1
341,62.85948812,0.4,10900,1
342,62.85948812,0.4,12700,1
343,36.72171496,0.4,1572.5,1
349,0,0,0,0
350,0,0,0,0
351,0,0,0,0
352,0,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0,0,0,0
358,0,0,0,0
359,183.2402044,0.25,75,1
360,183.2402044,0.25,75,1
361,183.2402044,0.25,75,1
362,183.2402044,0.25,75,1
363,183.2402044,0.25,75,1
364,21.01104033,0.4,60000,1
365,21.01104033,0.4,63000,1
366,21.01104033,0.4,60000,1
377,36.09909857,0.4,525,1
378,36.09909857,0.4,525,1
379,36.09909857,0.4,500,1
380,36.09909857,0.4,2750,1
382,36.88968794,0.4,500,1
383,36.88968794,0.4,500,1
384,21.63920242,0.4,50000,1
385,36.88968794,0.4,500,1
386,21.63920242,0.4,50000,1
387,36.88968794,0.4,500,1
390,38.43369089,0.4,725,1
391,22.54490248,0.4,64000,1
393,72.28846154,0.4,775,1
402,23.01816288,0.4,37500,1
403,23.01816288,0.4,78000,1
406,23.01816288,0.4,37500,1
408,38.48171701,0.4,2550,1
409,38.48171701,0.4,2550,1
410,38.48171701,0.4,2500,1
411,139.7380785,0.25,62.5,1
412,139.7380785,0.25,62.5,1
413,139.7380785,0.25,62.5,1
414,139.7380785,0.25,62.5,1
415,36.09909857,0.4,575,1
423,21.85683087,0.4,58500,1
425,21.85683087,0.4,58500,1
426,135.3041911,0.25,62.5,1
428,135.3041911,0.25,62.5,1
430,21.85683087,0.4,58500,1
432,135.3041911,0.25,62.5,1
433,135.3041911,0.25,62.5,1
434,142.2571429,0.25,60,1
435,142.2571429,0.25,60,1
436,142.2571429,0.25,60,1
437,142.2571429,0.25,60,1
438,142.2571429,0.25,60,1
439,138.6666667,0.25,60,1
440,138.6666667,0.25,60,1
441,138.6666667,0.25,60,1
442,138.6666667,0.25,60,1
443,138.6666667,0.25,60,1
444,49.58080264,0.4,450,1
445,49.58080264,0.4,450,1
446,49.58080264,0.4,450,1
447,49.58080264,0.4,550,1
448,49.58080264,0.4,550,1
449,49.58080264,0.4,450,1
450,49.58080264,0.4,550,1
455,36.09909857,0.4,750,1
465,145.307686,0.25,75,1
466,145.307686,0.25,50,1
467,23.47278004,0.4,18000,1
468,23.47278004,0.4,60000,1
469,23.47278004,0.4,18000,1
470,23.47278004,0.4,18000,1
471,145.307686,0.25,75,1
472,23.47278004,0.4,30000,1
473,145.307686,0.25,50,1
474,23.47278004,0.4,18000,1
476,145.307686,0.25,75,1
477,23.47278004,0.4,60000,1
478,36.09909857,0.4,2250,1
479,36.09909857,0.4,1600,1
480,36.09909857,0.4,2250,1
481,36.09909857,0.4,1600,1
482,36.09909857,0.4,2250,1
483,36.09909857,0.4,2250,1
484,36.09909857,0.4,2250,1
490,22.05912651,0.4,20500,1
491,22.05912651,0.4,20500,1
492,22.05912651,0.4,20500,1
493,22.05912651,0.4,20500,1
494,22.05912651,0.4,20500,1
497,21.15783128,0.4,15000,1
498,36.06906475,0.4,450,1
500,36.09909857,0.4,3375,1
501,36.09909857,0.4,375,1
502,36.09909857,0.4,3375,1
503,36.09909857,0.4,3375,1
504,36.09909857,0.4,450,1
505,36.09909857,0.4,375,1
506,136.2284211,0.4,475,1
507,41.35630806,0.4,500,1
510,41.35630806,0.4,5800,1
511,41.35630806,0.4,14700,1
512,41.35630806,0.4,5800,1
513,41.35630806,0.4,5800,1
514,21.70291473,0.4,17500,1
515,21.70291473,0.4,9500,1
516,21.70291473,0.4,10500,1
517,21.70291473,0.4,9500,1
518,36.09909857,0.4,650,1
519,546.6945133,0.4,675,1
520,546.6945133,0.4,675,1
521,546.6945133,0.4,675,1
522,56.07140048,0.4,675,1
523,56.07140048,0.4,675,1
524,77.01081433,0.4,650,1
525,101.515375,0.4,650,1
526,59.548125,0.4,15800,1
527,59.548125,0.4,24300,1
528,101.515375,0.4,475,1
529,101.515375,0.4,3900,1
530,36.09909857,0.4,650,1
531,36.09909857,0.4,500,1
535,36.09909857,0.4,475,1
536,263.5775,0.4,675,1
537,263.5775,0.4,675,1
538,0,0,0,0
539,125.9870455,0.25,75,1
540,125.9870455,0.25,75,1
541,125.9870455,0.25,75,1
542,20.3517535,0.4,85000,1
543,125.9870455,0.25,75,1
544,20.3517535,0.4,85000,1
545,61.17736537,0.4,650,1
546,22.12769698,0.4,65000,1
548,22.12769698,0.4,61400,1
551,22.12769698,0.4,62000,1
552,0,0,0,0
553,0,0,0,0
554,0,0,0,0
556,23.40152993,0.4,51800,1
558,22.9801645,0.4,18000,1
559,142.2581612,0.25,50,1
560,142.2581612,0.25,50,1
561,22.9801645,0.4,12800,1
562,142.2581612,0.25,50,1
563,22.9801645,0.4,18000,1
564,22.9801645,0.4,13000,1
565,62.16785267,0.4,1975,1
569,20.45369963,0.4,85000,1
570,126.6181405,0.25,75,1
571,20.45369963,0.4,85000,1
572,126.6181405,0.25,75,1
573,126.6181405,0.25,75,1
574,126.6181405,0.25,75,1
575,24.48723917,0.4,14000,1
576,24.48723917,0.4,9200,1
577,24.48723917,0.4,9300,1
578,151.5876711,0.25,75,1
579,151.5876711,0.25,75,1
580,70.75566038,0.4,450,1
581,70.75566038,0.4,450,1
582,70.75566038,0.4,450,1
583,70.75566038,0.4,450,1
586,22.65325791,0.4,39000,1
587,22.65325791,0.4,74500,1
589,22.65325791,0.4,33400,1
590,52.50666667,0.4,450,1
591,52.50666667,0.4,450,1
592,59.20259259,0.4,450,1
594,59.20259259,0.4,450,1
595,59.20259259,0.4,450,1
596,61.83397059,0.4,450,1
597,61.83397059,0.4,450,1
598,0,0,0,0
599,0,0,0,0
600,0,0,0,0
601,0,0,0,0
602,0,0,0,0
603,0,0,0,0
604,0,0,0,0
605,0,0,0,0
606,0,0,0,0
607,0,0,0,0
609,0,0,0,0
610,0,0,0,0
611,0,0,0,0
612,0,0,0,0
613,57.0979661,0.4,450,1
614,57.0979661,0.4,450,1
615,51.78214286,0.4,450,1
619,41.41399969,0.4,600,1
620,41.41399969,0.4,600,1
621,24.29312831,0.4,82000,1
622,41.41399969,0.4,600,1
623,41.41399969,0.4,600,1
625,24.29312831,0.4,85000,1
626,23.5273978,0.4,75500,1
627,23.5273978,0.4,75700,1
628,23.5273978,0.4,1500,1
629,55.90307692,0.4,600,1
630,203,0.25,75,1
631,203,0.25,75,1
633,55.90307692,0.4,600,1
638,0,0,0,0
639,0,0,0,0
640,53.59986014,0.4,450,1
641,53.59986014,0.4,450,1
642,64.76252252,0.4,450,1
643,64.76252252,0.4,450,1
644,52.27589178,0.4,450,1
645,52.27589178,0.4,450,1
646,52.27589178,0.4,450,1
650,47.80060998,0.4,450,1
651,47.80060998,0.4,450,1
654,47.80060998,0.4,500,1
655,47.80060998,0.4,450,1
657,57.56116131,0.4,450,1
658,57.56116131,0.4,500,1
659,57.56116131,0.4,450,1
660,33.76492702,0.4,38000,1
661,57.56116131,0.4,500,1
662,33.76492702,0.4,38000,1
665,75.04451981,0.4,500,1
666,75.04451981,0.4,500,1
667,75.04451981,0.4,500,1
668,72.64530534,0.4,500,1
669,72.64530534,0.4,500,1
670,72.64530534,0.4,500,1
671,0,0,0,0
672,0,0,0,0
673,0,0,0,0
674,0,0,0,0
675,0,0,0,0
676,0,0,0,0
677,0,0,0,0
678,0,0,0,0
679,5.229563845,0.9,556000,0
680,5.229563845,0.9,556000,0
681,37.8427441,0.4,1650,1
682,37.8427441,0.4,1650,1
683,51.51183752,0.4,450,1
684,51.51183752,0.4,500,1
687,55.06922147,0.4,450,1
688,55.06922147,0.4,450,1
689,55.06922147,0.4,450,1
690,55.06922147,0.4,450,1
691,0,0,0,0
692,0,0,0,0
693,0,0,0,0
694,0,0,0,0
695,0,0,0,0
696,0,0,0,0
697,0,0,0,0
698,0,0,0,0
699,0,0,0,0
700,0,0,0,0
701,0,0,0,0
702,0,0,0,0
704,28.96366339,0.4,2400,1
705,28.96366339,0.4,4800,1
706,28.96366339,0.4,4800,1
712,0,0,0,0
713,0,0,0,0
714,0,0,0,0
715,0,0,0,0
716,0,0,0,0
717,0,0,0,0
718,0,0,0,0
719,0,0,0,0
720,0,0,0,0
721,0,0,0,0
722,0,0,0,0
723,0,0,0,0
724,0,0,0,0
725,0,0,0,0
726,0,0,0,0
727,0,0,0,0
728,0,0,0,0
729,0,0,0,0
730,0,0,0,0
731,0,0,0,0
732,0,0,0,0
733,0,0,0,0
734,25.3508318,0.4,23000,1
735,25.3508318,0.4,23000,1
739,0,0,0,0
740,0,0,0,0
741,0,0,0,0
742,0,0,0,0
743,0,0,0,0
749,0,0,0,0
750,0,0,0,0
751,0,0,0,0
752,0,0,0,0
753,0,0,0,0
754,136.6967264,0.25,300,1
755,67.53281346,0.4,825,1
763,18.91695192,0.4,67100,1
764,18.91695192,0.4,17100,1
765,18.91695192,0.4,10500,1
766,18.91695192,0.4,31700,1
767,32.24889899,0.4,23200,1
768,32.24889899,0.4,23500,1
769,0,0,0,0
770,61.82268908,0.4,300,1
771,61.82268908,0.4,300,1
772,61.82268908,0.4,300,1
773,61.82268908,0.4,300,1
774,63.2923445,0.4,475,1
775,63.2923445,0.4,475,1
776,63.2923445,0.4,475,1
777,63.2923445,0.4,475,1
778,36.09909857,0.4,450,1
779,36.09909857,0.4,475,1
783,36.09909857,0.4,450,1
789,36.09909857,0.4,450,1
791,26.48541938,0.4,400,1
793,26.48541938,0.4,400,1
794,26.48541938,0.4,400,1
795,15.53613986,0.4,78600,1
796,26.48541938,0.4,400,1
797,15.53613986,0.4,22100,1
798,15.53613986,0.4,10500,1
799,26.48541938,0.4,400,1
800,26.48541938,0.4,400,1
801,26.48541938,0.4,61000,1
802,5.229563837,0.9,407500,0
803,5.229563837,0.9,405000,0
804,27.37446378,0.4,16300,1
805,27.37446378,0.4,17200,1
806,27.37446378,0.4,82000,1
807,0,0,0,0
808,0,0,0,0
809,0,0,0,0
810,0,0,0,0
811,0,0,0,0
812,0,0,0,0
813,0,0,0,0
814,0,0,0,0
815,0,0,0,0
816,0,0,0,0
817,21.18205512,0.4,51800,1
818,21.18205512,0.4,51800,1
819,20.64999091,0.4,80000,1
820,20.64999091,0.4,130000,1
821,20.64999091,0.4,80000,1
829,21.70291473,0.4,5000,1
833,21.32496743,0.4,55700,1
834,21.32496743,0.4,55200,1
835,21.13475491,0.4,64200,1
836,21.13475491,0.4,65100,1
837,21.13475491,0.4,64000,1
848,20.93304098,0.4,80000,1
851,20.93304098,0.4,80000,1
852,21.52022504,0.4,53600,1
