Gen_Index,Name,Zone,Category,Capacity,Fuel_Cost,Can_Spin
134,Dickerson 3,DC_BGE_PEP,ST,182,25,1
135,Dickerson H CT 1,DC_BGE_PEP,CT,167,50,1
136,Dickerson 2,DC_BGE_PEP,ST,182,25,1
137,Morgantown CT 5,DC_BGE_PEP,CT,65,50,1
138,Morgantown CT 4,DC_BGE_PEP,CT,65,50,1
139,Morgantown CT 6,DC_BGE_PEP,CT,65,50,1
140,Morgantown CT 3,DC_BGE_PEP,CT,65,50,1
141,Morgantown CT 2,DC_BGE_PEP,CT,20,50,1
142,Morgantown 2,DC_BGE_PEP,ST,583,25,1
143,Morgantown 1,DC_BGE_PEP,ST,583,25,1
144,Morgantown CT 1,DC_BGE_PEP,CT,20,50,1
145,Conowingo 10,EAST,HD,65,5,0
146,Conowingo 01,EAST,HD,48,5,0
147,Conowingo 11,EAST,HD,65,5,0
148,Conowingo 09,EAST,HD,65,5,0
149,Conowingo 07,EAST,HD,36,5,0
150,Conowingo 04,EAST,HD,48,5,0
151,Conowingo 05,EAST,HD,36,5,0
152,Conowingo 06,EAST,HD,36,5,0
153,Conowingo 02,EAST,HD,36,5,0
154,Conowingo 08,EAST,HD,65,5,0
155,Conowingo 03,EAST,HD,48,5,0
156,Easton 12,EAST,DS,4.1,80,1
157,Easton 11,EAST,DS,3.6,80,1
158,Easton 07,EAST,DS,2,80,1
159,Easton101,EAST,DS,1.5,80,1
160,Easton 13,EAST,DS,5.6,80,1
161,Easton 10,EAST,DS,3.5,80,1
162,Easton102,EAST,DS,1.5,80,1
163,Easton 14,EAST,DS,5.6,80,1
164,Easton 08,EAST,DS,2,80,1
165,Easton 09,EAST,DS,2.5,80,1
166,Berr Sprg 12,WEST,HD,0.6,5,0
167,Berr Sprg 09,WEST,HD,0.6,5,0
168,Berr Sprg 01,WEST,HD,0.6,5,0
169,Berr Sprg 02,WEST,HD,0.6,5,0
170,Berr Sprg 05,WEST,HD,0.6,5,0
171,Berr Sprg 07,WEST,HD,0.6,5,0
172,Berr Sprg 04,WEST,HD,0.6,5,0
173,Berr Sprg 10,WEST,HD,0.6,5,0
174,Berr Sprg 11,WEST,HD,0.6,5,0
175,Berr Sprg 08,WEST,HD,0.6,5,0
176,Berr Sprg 06,WEST,HD,0.6,5,0
177,Berr Sprg 03,WEST,HD,0.6,5,0
178,Buchanan 10,WEST,HD,0.5,5,0
179,Buchanan 01,WEST,HD,0.4,5,0
180,Buchanan 06,WEST,HD,0.4,5,0
181,Buchanan 05,WEST,HD,0.4,5,0
182,Buchanan 04,WEST,HD,0.4,5,0
183,Buchanan 08,WEST,HD,0.5,5,0
184,Buchanan 09,WEST,HD,0.5,5,0
185,Buchanan 07,WEST,HD,0.5,5,0
186,Buchanan 03,WEST,HD,0.4,5,0
187,Buchanan 02,WEST,HD,0.4,5,0
188,Constantine 2,WEST,HD,0.3,5,0
189,Constantine 1,WEST,HD,0.3,5,0
190,Constantine 4,WEST,HD,0.3,5,0
191,Constantine 3,WEST,HD,0.3,5,0
192,Mottville 1,WEST,HD,1,5,0
193,Mottville 4,WEST,HD,1,5,0
194,Mottville 2,WEST,HD,1,5,0
195,Mottville 3,WEST,HD,1,5,0
196,Clinton 1,WEST,NU,1023,10,0
200,England 2,EAST,ST,155,25,1
204,Carll s Corner 1,EAST,CT,43,50,1
205,Carll s Corner 2,EAST,CT,43,50,1
225,Oyster Creek 1,EAST,NU,637,10,0
226,Sayreville C4,EAST,CT,77,50,1
227,Sayreville C3,EAST,CT,77,50,1
229,Sayreville C1,EAST,CT,77,50,1
230,Sayreville C2,EAST,CT,73,50,1
232,Gilbert 6,EAST,CC,70,30,1
236,Gilbert 7,EAST,CC,70,30,1
237,Gilbert 5,EAST,CC,70,30,1
240,Gilbert 4,EAST,CC,70,30,1
242,Gilbert CT 9,EAST,CT,183,50,1
243,Gilbert 8CC,EAST,CC,104,30,1
249,Bergen 2CC,EAST,CC,596,30,1
250,Bergen 1CC,EAST,CC,675,30,1
254,Burlington 124,EAST,CT,42,50,1
259,Burlington 123,EAST,CT,42,50,1
262,Burlington 122,EAST,CT,42,50,1
266,Burlington 121,EAST,CT,42,50,1
285,Essex 9,EAST,CT,93,50,1
297,Kearney 133,EAST,CT,44.5,50,1
298,Kearney 132,EAST,CT,44.5,50,1
299,Kearney 134,EAST,CT,44.5,50,1
301,Kearney 142,EAST,CT,44.5,50,1
303,Kearney 124,EAST,CT,44,50,1
305,Kearney 131,EAST,CT,44.5,50,1
308,Kearney 122,EAST,CT,44,50,1
309,Kearney 121,EAST,CT,44,50,1
310,Kearney 141,EAST,CT,44.5,50,1
313,Kearney 123,EAST,CT,44,50,1
316,Linden 1,EAST,CC,545,30,1
317,Linden 2,EAST,CC,545,30,1
320,Linden 8,EAST,CT,98,50,1
325,Linden 7,EAST,CT,98,50,1
326,Linden 6,EAST,CT,86,50,1
327,Linden 5,EAST,CT,86,50,1
335,Salem 1,EAST,NU,1174,10,0
336,Salem 3,EAST,CT,46,50,1
337,Salem 2,EAST,NU,1130,10,0
338,Sewaren 1,EAST,ST,107,25,1
339,Sewaren 2,EAST,ST,120,25,1
341,Sewaren 3,EAST,ST,109,25,1
342,Sewaren 4,EAST,ST,127,25,1
343,Vineland CT 11,EAST,CT,62.9,50,1
349,Gaston 4,VA_DOM,HD,57,5,0
350,Gaston 2,VA_DOM,HD,56,5,0
351,Gaston 1,VA_DOM,HD,56,5,0
352,Gaston 3,VA_DOM,HD,56,5,0
355,Roanoke Rapids 1,VA_DOM,HD,26,5,0
356,Roanoke Rapids 3,VA_DOM,HD,25,5,0
357,Roanoke Rapids 4,VA_DOM,HD,23,5,0
358,Roanoke Rapids 2,VA_DOM,HD,25,5,0
359,Buxton 3,VA_DOM,DS,3,80,1
360,Buxton 1,VA_DOM,DS,3,80,1
361,Buxton 2,VA_DOM,DS,3,80,1
362,Buxton 5,VA_DOM,DS,3,80,1
363,Buxton 4,VA_DOM,DS,3,80,1
364,Cardinal 1,WEST,ST,600,25,1
365,Cardinal 3,WEST,ST,630,25,1
366,Cardinal 2,WEST,ST,600,25,1
377,Dicks Creek 5,WEST,CT,21,50,1
378,Dicks Creek 4,WEST,CT,21,50,1
379,Dicks Creek 3,WEST,CT,20,50,1
380,Dicks Creek 1,WEST,CT,110,50,1
382,Miami Fort GT 4,WEST,CT,20,50,1
383,Miami Fort GT 3,WEST,CT,20,50,1
384,Miami Fort 7,WEST,ST,500,25,1
385,Miami Fort GT 5,WEST,CT,20,50,1
386,Miami Fort 8,WEST,ST,500,25,1
387,Miami Fort GT 6,WEST,CT,20,50,1
390,Avon Lake 10,WEST,CT,29,50,1
391,Avon Lake 9,WEST,ST,640,25,1
393,Eastlake 6 CT,WEST,CT,31,50,1
402,Conesville 6,WEST,ST,375,25,1
403,Conesville 4,WEST,ST,780,25,1
406,Conesville 5,WEST,ST,375,25,1
408,Tait GT 2,WEST,CT,102,50,1
409,Tait GT 3,WEST,CT,102,50,1
410,Tait GT 1,WEST,CT,100,50,1
411,Tait D 4,WEST,DS,2.5,80,1
412,Tait D 1,WEST,DS,2.5,80,1
413,Tait D 3,WEST,DS,2.5,80,1
