Gen_Index,zone,Capacity
603,EAST,0
604,EAST,0
605,EAST,0
606,EAST,0
607,EAST,0
609,EAST,0
610,EAST,0
611,EAST,0
612,EAST,0
613,EAST,0
614,EAST,0
615,EAST,0
619,EAST,24
620,EAST,24
621,EAST,820
622,EAST,24
623,EAST,24
625,EAST,850
626,EAST,0
627,EAST,0
628,EAST,0
629,EAST,0
630,EAST,0
631,EAST,0
633,EAST,0
638,EAST,0
639,EAST,0
640,EAST,0
641,EAST,0
642,EAST,0
643,EAST,0
644,EAST,18
645,EAST,18
646,EAST,18
650,EAST,18
651,EAST,18
654,EAST,20
655,EAST,18
657,EAST,18
658,EAST,20
659,EAST,18
660,EAST,380
661,EAST,20
662,EAST,380
665,EAST,20
666,EAST,20
667,EAST,20
668,EAST,20
669,EAST,20
670,EAST,20
671,EAST,0
672,EAST,0
673,EAST,0
674,EAST,0
675,EAST,0
676,EAST,0
677,EAST,0
678,EAST,0
679,EAST,0
680,EAST,0
681,EAST,66
682,EAST,66
683,EAST,18
684,EAST,20
687,EAST,18
688,EAST,18
689,EAST,18
690,EAST,18
691,EAST,0
692,EAST,0
693,EAST,0
694,EAST,0
695,EAST,0
696,EAST,0
697,EAST,0
698,EAST,0
699,EAST,0
700,EAST,0
701,EAST,0
702,EAST,0
704,EAST,0
705,EAST,0
706,EAST,0
712,EAST,0
713,EAST,0
714,EAST,0
715,EAST,0
716,EAST,0
717,EAST,0
718,EAST,0
719,EAST,0
720,EAST,0
721,EAST,0
722,EAST,0
723,EAST,0
724,EAST,0
725,EAST,0
726,EAST,0
727,EAST,0
728,EAST,0
729,EAST,0
730,EAST,0
731,EAST,0
732,EAST,0
733,EAST,0
734,EAST,0
735,EAST,0
739,EAST,0
740,EAST,0
741,EAST,0
742,EAST,0
743,EAST,0
749,EAST,0
750,EAST,0
751,EAST,0
752,EAST,0
753,EAST,0
754,EAST,12
755,EAST,33
763,EAST,0
764,EAST,0
765,EAST,0
766,EAST,0
767,EAST,0
768,EAST,0
769,EAST,0
770,EAST,0
771,EAST,0
772,EAST,0
773,EAST,0
774,EAST,0
775,EAST,0
776,EAST,0
777,EAST,0
778,EAST,0
779,EAST,0
783,EAST,0
789,EAST,0
791,EAST,0
793,EAST,0
794,EAST,0
795,EAST,0
796,EAST,0
797,EAST,0
798,EAST,0
799,EAST,0
800,EAST,0
801,EAST,0
802,EAST,0
803,EAST,0
804,EAST,0
805,EAST,0
806,EAST,0
807,EAST,0
808,EAST,0
809,EAST,0
810,EAST,0
811,EAST,0
812,EAST,0
813,EAST,0
814,EAST,0
815,EAST,0
816,EAST,0
817,EAST,0
818,EAST,0
819,EAST,0
820,EAST,0
821,EAST,0
829,EAST,0
833,EAST,0
834,EAST,0
835,EAST,0
836,EAST,0
837,EAST,0
848,EAST,0
851,EAST,0
852,EAST,0
853,EAST,0
854,EAST,0
855,EAST,0
856,EAST,6.3
857,EAST,1.5
858,EAST,6.3
859,EAST,1.5
860,EAST,6.3
861,EAST,5.1
862,EAST,6.3
863,EAST,5.1
864,EAST,0
865,EAST,0
866,EAST,0
867,EAST,0
868,EAST,0
869,EAST,0
870,EAST,0
871,EAST,0
872,EAST,0
873,EAST,0
874,EAST,0
875,EAST,0
876,EAST,0
877,EAST,53
879,EAST,0
880,EAST,0
881,EAST,0
882,EAST,0
883,EAST,0
885,EAST,0
886,EAST,147
887,EAST,0
888,EAST,55
889,EAST,174
890,EAST,0
891,EAST,195
894,EAST,0
899,EAST,0
900,EAST,0
902,EAST,0
908,EAST,23
909,EAST,39
910,EAST,39
911,EAST,23
912,EAST,90
913,EAST,96
914,EAST,47
915,EAST,0
916,EAST,0
917,EAST,12
918,EAST,0
919,EAST,0
920,EAST,0
921,EAST,0
922,EAST,39
923,EAST,0
924,EAST,0
925,EAST,0
926,EAST,0
927,EAST,0
928,EAST,0
929,EAST,0
930,EAST,0
931,EAST,0
932,EAST,11
935,EAST,0
936,EAST,0
938,EAST,0
939,EAST,0
942,EAST,2
943,EAST,0
947,EAST,0
948,EAST,0
949,EAST,0
950,EAST,0
951,EAST,0
952,EAST,0
953,EAST,0
954,EAST,0
955,EAST,0
956,EAST,0
960,EAST,0
961,EAST,0
962,EAST,0
963,EAST,0
966,EAST,0
968,EAST,28
969,EAST,0
970,EAST,0
971,EAST,262
972,EAST,0
973,EAST,0
974,EAST,48
976,EAST,0
977,EAST,0
978,EAST,150
980,EAST,0
981,EAST,0
982,EAST,0
983,EAST,0
984,EAST,0
985,EAST,0
986,EAST,0
987,EAST,0
988,EAST,0
989,EAST,0
990,EAST,0
991,EAST,0
992,EAST,0
993,EAST,0
994,EAST,0
995,EAST,0
996,EAST,0
997,EAST,5
998,EAST,9.6
999,EAST,0
1005,EAST,0
1006,EAST,0
1007,EAST,0
1008,EAST,0
1009,EAST,0
1017,EAST,0
1018,EAST,0
1019,EAST,0
1020,EAST,0
1024,EAST,0
1025,EAST,0
1026,EAST,0
1027,EAST,0
1028,EAST,0
1029,EAST,0
1030,EAST,0
1031,EAST,0
1032,EAST,0
1033,EAST,0
1034,EAST,0
1035,EAST,0
1036,EAST,0
1037,EAST,0
1038,EAST,0
1039,EAST,0
1040,EAST,0
1041,EAST,0
1042,EAST,0
1043,EAST,0
1044,EAST,0
1045,EAST,0
1046,EAST,0
1047,EAST,0
1048,EAST,0
1049,EAST,0
1052,EAST,0
1053,EAST,0
1054,EAST,0
1055,EAST,0
1056,EAST,0
1061,EAST,0
1062,EAST,0
1063,EAST,0
1064,EAST,0
1065,EAST,152
1067,EAST,152
1068,EAST,217
1069,EAST,0
1070,EAST,0
1071,EAST,0
1072,EAST,0
1073,EAST,0
1074,EAST,0
1075,EAST,0
1076,EAST,0
1077,EAST,0
1078,EAST,0
1079,EAST,0
1080,EAST,0
1081,EAST,0
1082,EAST,0
1083,EAST,0
1084,EAST,766
1085,EAST,0
1086,EAST,0
1087,EAST,0
1088,EAST,0
1089,EAST,0
1090,EAST,0
1091,EAST,0
1092,EAST,0
1093,EAST,0
1094,EAST,0
1095,EAST,0
1096,EAST,0
1097,EAST,0
1098,EAST,0
1099,EAST,0
1100,EAST,0
1104,EAST,0
1105,EAST,0
1106,EAST,0
1107,EAST,0
1108,EAST,0
1109,EAST,0
1110,EAST,0
1111,EAST,0
1112,EAST,0
1113,EAST,0
1114,EAST,0
1115,EAST,0
1116,EAST,0
1117,EAST,0
1118,EAST,0
1119,EAST,0
1120,EAST,0
1121,EAST,0
1122,EAST,0
1123,EAST,0
1124,EAST,0
1125,EAST,0
1126,EAST,0
1127,EAST,0
1128,EAST,0
1129,EAST,0
1130,EAST,0
1131,EAST,0
1132,EAST,0
1133,EAST,0
1134,EAST,0
1135,EAST,0
1136,EAST,0
1141,EAST,0
1142,EAST,0
1143,EAST,0
1144,EAST,0
1145,EAST,0
1146,EAST,624
1147,EAST,630
1148,EAST,0
1149,EAST,0
1151,EAST,0
1152,EAST,0
1153,EAST,0
1154,EAST,0
1155,EAST,0
1156,EAST,0
1157,EAST,0
1158,EAST,0
1159,EAST,0
1160,EAST,0
1161,EAST,0
1162,EAST,0
1163,EAST,0
1164,EAST,0
1165,EAST,0
1166,EAST,0
1167,EAST,0
1168,EAST,0
1169,EAST,0
1170,EAST,0
1171,EAST,0
1172,EAST,0
1176,EAST,0
1177,EAST,0
1190,EAST,45
1191,EAST,45
1192,EAST,45
1193,EAST,45
1194,EAST,45
1195,EAST,45
1196,EAST,45
1200,EAST,0
1201,EAST,0
1202,EAST,0
1203,EAST,0
1204,EAST,0
1205,EAST,0
1206,EAST,0
1207,EAST,0
1208,EAST,0
1213,EAST,0
1214,EAST,0
1215,EAST,0
1216,EAST,0
1217,EAST,0
1218,EAST,0
1219,EAST,0
1220,EAST,0
1221,EAST,0
1222,EAST,0
1223,EAST,0
1225,EAST,0
1226,EAST,0
1227,EAST,0
1228,EAST,0
1229,EAST,0
1230,EAST,0
1233,EAST,0
1234,EAST,0
1235,EAST,0
1236,EAST,0
1237,EAST,0
1238,EAST,0
1239,EAST,0
1240,EAST,0
1241,EAST,0
1246,EAST,0
1247,EAST,0
1248,EAST,0
1249,EAST,0
1250,EAST,0
1251,EAST,0
1252,EAST,0
1253,EAST,0
1254,EAST,0
1255,EAST,0
1256,EAST,0
1257,EAST,0
1258,EAST,0
1259,EAST,0
1260,EAST,0
1261,EAST,0
1262,EAST,190
1263,EAST,190
1264,EAST,546
1266,EAST,0
1267,EAST,0
1268,EAST,0
1269,EAST,0
1270,EAST,0
1271,EAST,0
1272,EAST,0
1274,EAST,0
1275,EAST,0
1276,EAST,0
1277,EAST,0
1278,EAST,0
1279,EAST,0
1280,EAST,0
1281,EAST,0
1282,EAST,0
1283,EAST,0
1284,EAST,0
1285,EAST,0
1286,EAST,0
1287,EAST,0
1288,EAST,0
1293,EAST,0
1294,EAST,171
1295,EAST,171
1296,EAST,171
1297,EAST,800
1298,EAST,0
1299,EAST,0
1300,EAST,0
1301,EAST,0
1302,EAST,0
1303,EAST,148
1304,EAST,1350
1305,EAST,0
1306,EAST,0
1309,EAST,0
1310,EAST,0
1311,EAST,0
1312,EAST,0
1313,EAST,0
1314,EAST,0
1315,EAST,0
1316,EAST,0
1317,EAST,0
1318,EAST,0
1319,EAST,2
1321,EAST,0
1322,EAST,0
1323,EAST,0
1329,EAST,4.1
1330,EAST,3
1331,EAST,3
1333,EAST,0
1334,EAST,0
1335,EAST,0
1336,EAST,0
1337,EAST,0
1338,EAST,11
1339,EAST,0
1340,EAST,0
1341,EAST,0
1342,EAST,0
1343,EAST,0
1344,EAST,0
1345,EAST,0
1346,EAST,0
1351,EAST,0
1352,EAST,0
1353,EAST,0
1354,EAST,0
1355,EAST,0
1356,EAST,0
1357,EAST,0
1358,EAST,0
1359,EAST,0
1360,EAST,0
1361,EAST,0
1362,EAST,0
1363,EAST,0
1364,EAST,0
1365,EAST,0
1366,EAST,0
1367,EAST,0
1368,EAST,0
1369,EAST,0
1370,EAST,0
1371,EAST,0
1372,EAST,0
1373,EAST,0
1374,EAST,0
1375,EAST,0
1376,EAST,0
1377,EAST,0
1378,EAST,0
1379,EAST,0
1380,EAST,0
1381,EAST,0
1382,EAST,0
1383,EAST,0
1384,EAST,0
1385,EAST,0
1386,EAST,0
1387,EAST,0
1388,EAST,0
1389,EAST,5
1390,EAST,0
1391,EAST,0
1392,EAST,0
1393,EAST,0
1394,EAST,0
1395,EAST,225
1396,EAST,225
1397,EAST,4.4
1398,EAST,0
1399,EAST,0
1400,EAST,0
1401,EAST,0
1402,EAST,1.6
1403,EAST,0
1404,EAST,126
1405,EAST,4
1406,EAST,0
1407,EAST,0
1408,EAST,0
1409,EAST,0
1411,EAST,0
1412,EAST,0
1413,EAST,0
1414,EAST,0
1419,EAST,0
1420,EAST,0
1421,EAST,0
1422,EAST,0
1423,EAST,0
1424,EAST,0
1425,EAST,0
1426,EAST,0
1427,EAST,232
1428,EAST,319
1429,EAST,1.9
1430,EAST,1.8
1434,EAST,1.4
1440,EAST,1.6
1441,EAST,0
1442,EAST,0
1443,EAST,0
1444,EAST,0
1446,EAST,240
1447,EAST,225
1448,EAST,9.6
1450,EAST,1.6
1451,EAST,1.6
1452,EAST,0
1453,EAST,0
1454,EAST,0
1455,EAST,0
1456,EAST,0
1457,EAST,0
1458,EAST,0
1460,EAST,0
