,MW on reserve segment
"1,1",1534.00
"1,2",1418.00
"1,3",1392.00
"1,4",1373.00
"1,5",1365.00
"1,6",1365.00
"1,7",1376.00
"1,8",1400.00
"1,9",1432.00
"1,10",1466.00
"1,11",1491.00
"1,12",1500.00
"1,13",1497.00
"1,14",1496.00
"1,15",1486.00
"1,16",1479.00
"1,17",1476.00
"1,18",1508.00
"1,19",1575.00
"1,20",1589.00
"1,21",1568.00
"1,22",1541.00
"1,23",1485.00
"1,24",1423.00
"2,1",1534.00
"2,2",1418.00
"2,3",1392.00
"2,4",1373.00
"2,5",1365.00
"2,6",1365.00
"2,7",1376.00
"2,8",1400.00
"2,9",1432.00
"2,10",1466.00
"2,11",1491.00
"2,12",1500.00
"2,13",1497.00
"2,14",1496.00
"2,15",1486.00
"2,16",1479.00
"2,17",1476.00
"2,18",1508.00
"2,19",1575.00
"2,20",1589.00
"2,21",1568.00
"2,22",1541.00
"2,23",1485.00
"2,24",1423.00
"3,1",1534.00
"3,2",1418.00
"3,3",1392.00
"3,4",1373.00
"3,5",1365.00
"3,6",1365.00
"3,7",1376.00
"3,8",1400.00
"3,9",1432.00
"3,10",1466.00
"3,11",1491.00
"3,12",1500.00
"3,13",1497.00
"3,14",1496.00
"3,15",1486.00
"3,16",1479.00
"3,17",1476.00
"3,18",1508.00
"3,19",1575.00
"3,20",1589.00
"3,21",1568.00
"3,22",1541.00
"3,23",1485.00
"3,24",1423.00
"4,1",1534.00
"4,2",1418.00
"4,3",1392.00
"4,4",1373.00
"4,5",1365.00
"4,6",1365.00
"4,7",1376.00
"4,8",1400.00
"4,9",1432.00
"4,10",1466.00
"4,11",1491.00
"4,12",1500.00
"4,13",1497.00
"4,14",1496.00
"4,15",1486.00
"4,16",1479.00
"4,17",1476.00
"4,18",1508.00
"4,19",1575.00
"4,20",1589.00
"4,21",1568.00
"4,22",1541.00
"4,23",1485.00
"4,24",1423.00
"5,1",1534.00
"5,2",1418.00
"5,3",1392.00
"5,4",1373.00
"5,5",1365.00
"5,6",1365.00
"5,7",1376.00
"5,8",1400.00
"5,9",1432.00
"5,10",1466.00
"5,11",1491.00
"5,12",1500.00
"5,13",1497.00
"5,14",1496.00
"5,15",1486.00
"5,16",1479.00
"5,17",1476.00
"5,18",1508.00
"5,19",1575.00
"5,20",1589.00
"5,21",1568.00
"5,22",1541.00
"5,23",1485.00
"5,24",1423.00
"6,1",1534.00
"6,2",1418.00
"6,3",1392.00
"6,4",1373.00
"6,5",1365.00
"6,6",1365.00
"6,7",1376.00
"6,8",1400.00
"6,9",1432.00
"6,10",1466.00
"6,11",1491.00
"6,12",1500.00
"6,13",1497.00
"6,14",1496.00
"6,15",1486.00
"6,16",1479.00
"6,17",1476.00
"6,18",1508.00
"6,19",1575.00
"6,20",1589.00
"6,21",1568.00
"6,22",1541.00
"6,23",1485.00
"6,24",1423.00
"7,1",1534.00
"7,2",1418.00
"7,3",1392.00
"7,4",1373.00
"7,5",1365.00
"7,6",1365.00
"7,7",1376.00
"7,8",1400.00
"7,9",1432.00
"7,10",1466.00
"7,11",1491.00
"7,12",1500.00
"7,13",1497.00
"7,14",1496.00
"7,15",1486.00
"7,16",1479.00
"7,17",1476.00
"7,18",1508.00
"7,19",1575.00
"7,20",1511.77
"7,21",1568.00
"7,22",1541.00
"7,23",1485.00
"7,24",1423.00
"8,1",1534.00
"8,2",1418.00
"8,3",1392.00
"8,4",1373.00
"8,5",1365.00
"8,6",1365.00
"8,7",1376.00
"8,8",1400.00
"8,9",1432.00
"8,10",1466.00
"8,11",1491.00
"8,12",1500.00
"8,13",1497.00
"8,14",1496.00
"8,15",1486.00
"8,16",1479.00
"8,17",1476.00
"8,18",1508.00
"8,19",1218.99
"8,20",0
"8,21",1568.00
"8,22",1541.00
"8,23",1485.00
"8,24",1423.00
"9,1",1534.00
"9,2",1418.00
"9,3",1392.00
"9,4",1373.00
"9,5",1365.00
"9,6",1365.00
"9,7",1376.00
"9,8",1400.00
"9,9",1432.00
"9,10",1466.00
"9,11",1491.00
"9,12",1500.00
"9,13",1497.00
"9,14",1496.00
"9,15",1486.00
"9,16",1479.00
"9,17",1476.00
"9,18",1508.00
"9,19",0
"9,20",0
"9,21",233.78
"9,22",1541.00
"9,23",1485.00
"9,24",1423.00
"10,1",1534.00
"10,2",1418.00
"10,3",1392.00
"10,4",1373.00
"10,5",1365.00
"10,6",1365.00
"10,7",1376.00
"10,8",1400.00
"10,9",1432.00
"10,10",1466.00
"10,11",1491.00
"10,12",1500.00
"10,13",1497.00
"10,14",1496.00
"10,15",1486.00
"10,16",1479.00
"10,17",1476.00
"10,18",1508.00
"10,19",0
"10,20",0
"10,21",0
"10,22",1082.50
"10,23",1485.00
"10,24",1423.00
