,congestion price ($/MW),flow (MW)
DC_BGE_PEP_to_PA_METED_PPL-1,0.75,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-2,0,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-3,0,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-4,0,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-5,0,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-6,0,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-7,0,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-8,1.38,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-9,0.59,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-10,0.28,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-11,1.34,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-12,2.34,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-13,1.15,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-14,1.57,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-15,0.73,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-16,0.83,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-17,0.15,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-18,0.91,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-19,17.13,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-20,11.31,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-21,11.73,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-22,3.63,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-23,0,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-24,0,-2100.00
DC_BGE_PEP_to_VA_DOM-1,0,-2826.04
DC_BGE_PEP_to_VA_DOM-2,0,-2984.14
DC_BGE_PEP_to_VA_DOM-3,0,-3367.82
DC_BGE_PEP_to_VA_DOM-4,0,-3576.60
DC_BGE_PEP_to_VA_DOM-5,0,-3354.18
DC_BGE_PEP_to_VA_DOM-6,0,-3103.34
DC_BGE_PEP_to_VA_DOM-7,0,-3217.92
DC_BGE_PEP_to_VA_DOM-8,0,-2045.29
DC_BGE_PEP_to_VA_DOM-9,0,-2017.09
DC_BGE_PEP_to_VA_DOM-10,0,-2053.46
DC_BGE_PEP_to_VA_DOM-11,0,-2254.24
DC_BGE_PEP_to_VA_DOM-12,0,-2148.11
DC_BGE_PEP_to_VA_DOM-13,0,-2224.83
DC_BGE_PEP_to_VA_DOM-14,0,-2269.60
DC_BGE_PEP_to_VA_DOM-15,0,-2373.96
DC_BGE_PEP_to_VA_DOM-16,0,-2146.20
DC_BGE_PEP_to_VA_DOM-17,0,-1832.85
DC_BGE_PEP_to_VA_DOM-18,0,-1829.37
DC_BGE_PEP_to_VA_DOM-19,0,-2100.27
DC_BGE_PEP_to_VA_DOM-20,0,-2277.34
DC_BGE_PEP_to_VA_DOM-21,0,-1850.48
DC_BGE_PEP_to_VA_DOM-22,0,-1772.21
DC_BGE_PEP_to_VA_DOM-23,0,-2017.98
DC_BGE_PEP_to_VA_DOM-24,0,-3242.40
EAST_to_DC_BGE_PEP-1,-3.18,0
EAST_to_DC_BGE_PEP-2,-0.15,0
EAST_to_DC_BGE_PEP-3,-0.21,0
EAST_to_DC_BGE_PEP-4,-0.46,0
EAST_to_DC_BGE_PEP-5,-0.75,0
EAST_to_DC_BGE_PEP-6,-0.68,0
EAST_to_DC_BGE_PEP-7,-0.68,0
EAST_to_DC_BGE_PEP-8,-1.38,0
EAST_to_DC_BGE_PEP-9,-1.52,0
EAST_to_DC_BGE_PEP-10,-1.21,0
EAST_to_DC_BGE_PEP-11,-2.27,0
EAST_to_DC_BGE_PEP-12,-3.27,0
EAST_to_DC_BGE_PEP-13,-2.09,0
EAST_to_DC_BGE_PEP-14,-2.61,0
EAST_to_DC_BGE_PEP-15,-1.72,0
EAST_to_DC_BGE_PEP-16,-1.81,0
EAST_to_DC_BGE_PEP-17,-1.22,0
EAST_to_DC_BGE_PEP-18,-0.99,0
EAST_to_DC_BGE_PEP-19,-18.92,0
EAST_to_DC_BGE_PEP-20,-13.10,0
