timepoint,zone,wind,solar,curtailment
22,EAST,5.024177807,0.0,0.0
22,WEST,2785.4955248882,0.0,0.0
22,DC_BGE_PEP,54.80921244,0.0,0.0
22,VA_DOM,0.0,0.0,0.0
22,PA_METED_PPL,609.0673732395001,0.0,0.0
23,EAST,5.197400571,0.0,0.0
23,WEST,2881.5333747546006,0.0,0.0
23,DC_BGE_PEP,56.698915320000005,0.0,0.0
23,VA_DOM,0.0,0.0,0.0
23,PA_METED_PPL,630.0666964935001,0.0,0.0
24,EAST,5.237225554,0.0,0.0
24,WEST,2903.6130694204003,0.0,0.0
24,DC_BGE_PEP,57.13336968,0.0,0.0
24,VA_DOM,0.0,0.0,0.0
24,PA_METED_PPL,634.894570569,0.0,0.0
