,congestion price ($/MW),flow (MW)
DC_BGE_PEP_to_PA_METED_PPL-1,0,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-2,0,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-3,0.67,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-4,0.75,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-5,0.75,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-6,0,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-7,0,-2097.01
DC_BGE_PEP_to_PA_METED_PPL-8,5.15,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-9,28.60,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-10,11.63,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-11,3405.93,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-12,3393.37,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-13,3393.00,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-14,3405.85,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-15,3405.85,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-16,3405.86,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-17,3405.73,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-18,3390.07,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-19,3405.04,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-20,3376.47,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-21,3374.25,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-22,3373.15,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-23,3380.31,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-24,3371.63,-2100.00
DC_BGE_PEP_to_VA_DOM-1,0,-3000.96
DC_BGE_PEP_to_VA_DOM-2,0,-3003.73
DC_BGE_PEP_to_VA_DOM-3,0,-2919.33
DC_BGE_PEP_to_VA_DOM-4,0,-2849.89
DC_BGE_PEP_to_VA_DOM-5,0,-2941.18
DC_BGE_PEP_to_VA_DOM-6,0,-2850.39
DC_BGE_PEP_to_VA_DOM-7,0,-2598.90
DC_BGE_PEP_to_VA_DOM-8,0,-2339.29
DC_BGE_PEP_to_VA_DOM-9,0,2310.85
DC_BGE_PEP_to_VA_DOM-10,0,-3800.00
DC_BGE_PEP_to_VA_DOM-11,0,1626.09
DC_BGE_PEP_to_VA_DOM-12,0,859.85
DC_BGE_PEP_to_VA_DOM-13,0,-3800.00
DC_BGE_PEP_to_VA_DOM-14,0,-3800.00
DC_BGE_PEP_to_VA_DOM-15,0,-3800.00
DC_BGE_PEP_to_VA_DOM-16,0,-3800.00
DC_BGE_PEP_to_VA_DOM-17,0,-3800.00
DC_BGE_PEP_to_VA_DOM-18,0,-3435.02
DC_BGE_PEP_to_VA_DOM-19,0,-3194.80
DC_BGE_PEP_to_VA_DOM-20,0,-3800.00
DC_BGE_PEP_to_VA_DOM-21,0,-3800.00
DC_BGE_PEP_to_VA_DOM-22,0,-3800.00
DC_BGE_PEP_to_VA_DOM-23,0,-3800.00
DC_BGE_PEP_to_VA_DOM-24,0,-3800.00
EAST_to_DC_BGE_PEP-1,-1.57,0
EAST_to_DC_BGE_PEP-2,-0.17,0
EAST_to_DC_BGE_PEP-3,-0.67,0
EAST_to_DC_BGE_PEP-4,-0.75,0
EAST_to_DC_BGE_PEP-5,-0.75,0
EAST_to_DC_BGE_PEP-6,-0.24,0
EAST_to_DC_BGE_PEP-7,0,0
EAST_to_DC_BGE_PEP-8,-5.15,0
EAST_to_DC_BGE_PEP-9,-29.56,0
EAST_to_DC_BGE_PEP-10,-12.88,0
EAST_to_DC_BGE_PEP-11,-3407.18,0
EAST_to_DC_BGE_PEP-12,-3394.63,0
EAST_to_DC_BGE_PEP-13,-3393.95,0
EAST_to_DC_BGE_PEP-14,-3407.10,0
EAST_to_DC_BGE_PEP-15,-3407.11,0
EAST_to_DC_BGE_PEP-16,-3407.11,0
EAST_to_DC_BGE_PEP-17,-3406.98,0
EAST_to_DC_BGE_PEP-18,-3391.00,0
EAST_to_DC_BGE_PEP-19,-3405.56,0
EAST_to_DC_BGE_PEP-20,-3384.04,0
EAST_to_DC_BGE_PEP-21,-3383.87,0
EAST_to_DC_BGE_PEP-22,-3384.13,0
EAST_to_DC_BGE_PEP-23,-3380.84,0
EAST_to_DC_BGE_PEP-24,-3383.86,0
EAST_to_PA_METED_PPL-1,-1.57,6200.00
EAST_to_PA_METED_PPL-2,-0.17,6200.00
EAST_to_PA_METED_PPL-3,0,6145.69
EAST_to_PA_METED_PPL-4,0,6112.83
EAST_to_PA_METED_PPL-5,0,6157.68
EAST_to_PA_METED_PPL-6,-0.24,6200.00
EAST_to_PA_METED_PPL-7,0,6013.20
EAST_to_PA_METED_PPL-8,0,6002.96
EAST_to_PA_METED_PPL-9,-0.96,6200.00
EAST_to_PA_METED_PPL-10,-1.25,6200.00
EAST_to_PA_METED_PPL-11,-1.25,6200.00
EAST_to_PA_METED_PPL-12,-1.25,6200.00
EAST_to_PA_METED_PPL-13,-0.96,6200.00
EAST_to_PA_METED_PPL-14,-1.25,6200.00
EAST_to_PA_METED_PPL-15,-1.25,6200.00
EAST_to_PA_METED_PPL-16,-1.25,6200.00
EAST_to_PA_METED_PPL-17,-1.25,6200.00
EAST_to_PA_METED_PPL-18,-0.93,6200.00
EAST_to_PA_METED_PPL-19,-0.52,6200.00
EAST_to_PA_METED_PPL-20,-7.57,6200.00
EAST_to_PA_METED_PPL-21,-9.63,6200.00
EAST_to_PA_METED_PPL-22,-10.97,6200.00
