,hour,LMP
DC_BGE_PEP,1,23.30
DC_BGE_PEP,2,21.79
DC_BGE_PEP,3,21.62
DC_BGE_PEP,4,21.70
DC_BGE_PEP,5,21.70
DC_BGE_PEP,6,21.70
DC_BGE_PEP,7,21.52
DC_BGE_PEP,8,27.38
DC_BGE_PEP,9,64.85
DC_BGE_PEP,10,36.39
DC_BGE_PEP,11,3500.00
DC_BGE_PEP,12,3500.00
DC_BGE_PEP,13,3500.00
DC_BGE_PEP,14,3500.00
DC_BGE_PEP,15,3500.00
DC_BGE_PEP,16,3500.00
DC_BGE_PEP,17,3500.00
DC_BGE_PEP,18,3500.00
DC_BGE_PEP,19,3500.00
DC_BGE_PEP,20,3500.00
DC_BGE_PEP,21,3500.00
DC_BGE_PEP,22,3500.00
DC_BGE_PEP,23,3500.00
DC_BGE_PEP,24,3500.00
EAST,1,21.70
EAST,2,21.62
EAST,3,20.93
EAST,4,20.93
EAST,5,20.93
EAST,6,21.46
EAST,7,21.52
EAST,8,22.13
EAST,9,34.69
EAST,10,23.24
EAST,11,23.28
EAST,12,36.10
EAST,13,36.78
EAST,14,23.37
EAST,15,23.36
EAST,16,23.36
EAST,17,23.49
EAST,18,39.80
EAST,19,24.94
EAST,20,46.90
EAST,21,47.07
EAST,22,46.81
EAST,23,50.16
EAST,24,47.08
PA_METED_PPL,1,23.30
PA_METED_PPL,2,21.79
PA_METED_PPL,3,20.93
PA_METED_PPL,4,20.93
PA_METED_PPL,5,20.93
PA_METED_PPL,6,21.70
PA_METED_PPL,7,21.52
PA_METED_PPL,8,22.13
PA_METED_PPL,9,35.66
PA_METED_PPL,10,24.52
PA_METED_PPL,11,24.56
PA_METED_PPL,12,37.37
PA_METED_PPL,13,37.76
PA_METED_PPL,14,24.65
PA_METED_PPL,15,24.64
PA_METED_PPL,16,24.64
PA_METED_PPL,17,24.76
PA_METED_PPL,18,40.75
PA_METED_PPL,19,25.47
PA_METED_PPL,20,54.62
PA_METED_PPL,21,56.89
PA_METED_PPL,22,58.01
PA_METED_PPL,23,50.70
PA_METED_PPL,24,59.56
VA_DOM,1,23.30
VA_DOM,2,21.79
VA_DOM,3,21.62
VA_DOM,4,21.70
VA_DOM,5,21.70
VA_DOM,6,21.70
VA_DOM,7,21.52
VA_DOM,8,27.38
VA_DOM,9,64.85
VA_DOM,10,36.39
VA_DOM,11,3500.00
VA_DOM,12,3500.00
VA_DOM,13,3500.00
VA_DOM,14,3500.00
VA_DOM,15,3500.00
VA_DOM,16,3500.00
VA_DOM,17,3500.00
VA_DOM,18,3500.00
VA_DOM,19,3500.00
VA_DOM,20,3500.00
VA_DOM,21,3500.00
VA_DOM,22,3500.00
VA_DOM,23,3500.00
VA_DOM,24,3500.00
WEST,1,23.30
WEST,2,21.79
WEST,3,21.62
WEST,4,21.70
WEST,5,21.70
WEST,6,21.70
WEST,7,21.52
WEST,8,27.38
WEST,9,64.85
WEST,10,36.39
WEST,11,3500.00
WEST,12,3500.00
WEST,13,3500.00
WEST,14,3500.00
WEST,15,3500.00
WEST,16,3500.00
WEST,17,3500.00
WEST,18,3500.00
WEST,19,3500.00
WEST,20,3500.00
WEST,21,3500.00
WEST,22,3500.00
WEST,23,3500.00
WEST,24,3500.00
