,MW on reserve segment
"1,1",1369.00
"1,2",1327.00
"1,3",1303.00
"1,4",1294.00
"1,5",1270.00
"1,6",1293.00
"1,7",1352.00
"1,8",1448.00
"1,9",1528.00
"1,10",1551.00
"1,11",1579.00
"1,12",1601.00
"1,13",1617.00
"1,14",1625.00
"1,15",1623.00
"1,16",1619.00
"1,17",1678.00
"1,18",1725.00
"1,19",1836.00
"1,20",1891.00
"1,21",1901.00
"1,22",1894.00
"1,23",1961.00
"1,24",1923.00
"2,1",1369.00
"2,2",1327.00
"2,3",1303.00
"2,4",1294.00
"2,5",1270.00
"2,6",1293.00
"2,7",1352.00
"2,8",1448.00
"2,9",1528.00
"2,10",1551.00
"2,11",1579.00
"2,12",1601.00
"2,13",1617.00
"2,14",1625.00
"2,15",1623.00
"2,16",1619.00
"2,17",1678.00
"2,18",1725.00
"2,19",1836.00
"2,20",1891.00
"2,21",1901.00
"2,22",1894.00
"2,23",1961.00
"2,24",1923.00
"3,1",1369.00
"3,2",1327.00
"3,3",1303.00
"3,4",1294.00
"3,5",1270.00
"3,6",1293.00
"3,7",1352.00
"3,8",1448.00
"3,9",1528.00
"3,10",1551.00
"3,11",1579.00
"3,12",1601.00
"3,13",1617.00
"3,14",1625.00
"3,15",1623.00
"3,16",1619.00
"3,17",1678.00
"3,18",1725.00
"3,19",1836.00
"3,20",1891.00
"3,21",1901.00
"3,22",1894.00
"3,23",1961.00
"3,24",1923.00
"4,1",1369.00
"4,2",1327.00
"4,3",1303.00
"4,4",1294.00
"4,5",1270.00
"4,6",1293.00
"4,7",1352.00
"4,8",1448.00
"4,9",1528.00
"4,10",1551.00
"4,11",1579.00
"4,12",1601.00
"4,13",1617.00
"4,14",1625.00
"4,15",1623.00
"4,16",1619.00
"4,17",1678.00
"4,18",1725.00
"4,19",1836.00
"4,20",1891.00
"4,21",1901.00
"4,22",1894.00
"4,23",1961.00
"4,24",1923.00
"5,1",1369.00
"5,2",1327.00
"5,3",1303.00
"5,4",1294.00
"5,5",1270.00
"5,6",1293.00
"5,7",1352.00
"5,8",1448.00
"5,9",1528.00
"5,10",1551.00
"5,11",1579.00
"5,12",1601.00
"5,13",1617.00
"5,14",1625.00
"5,15",1623.00
"5,16",1619.00
"5,17",1678.00
"5,18",1725.00
"5,19",1836.00
"5,20",1891.00
"5,21",1901.00
"5,22",1894.00
"5,23",1961.00
"5,24",1923.00
"6,1",1369.00
"6,2",1327.00
"6,3",1303.00
"6,4",1294.00
"6,5",1270.00
"6,6",1293.00
"6,7",1352.00
"6,8",1448.00
"6,9",1528.00
"6,10",1551.00
"6,11",1579.00
"6,12",1601.00
"6,13",1617.00
"6,14",1625.00
"6,15",1623.00
"6,16",1619.00
"6,17",1678.00
"6,18",1725.00
"6,19",1836.00
"6,20",1891.00
"6,21",1901.00
"6,22",1894.00
"6,23",1961.00
"6,24",1923.00
"7,1",1369.00
"7,2",1327.00
"7,3",1303.00
"7,4",1294.00
"7,5",1270.00
"7,6",1293.00
"7,7",1352.00
"7,8",1448.00
"7,9",1528.00
"7,10",1551.00
"7,11",1579.00
"7,12",1601.00
"7,13",1617.00
"7,14",1625.00
"7,15",1623.00
"7,16",1619.00
"7,17",1678.00
"7,18",1725.00
"7,19",1836.00
"7,20",1891.00
"7,21",1901.00
"7,22",1894.00
"7,23",1961.00
"7,24",1923.00
"8,1",1369.00
"8,2",1327.00
"8,3",1303.00
"8,4",1294.00
"8,5",1270.00
"8,6",1293.00
"8,7",1352.00
"8,8",1448.00
"8,9",1256.05
"8,10",1551.00
"8,11",1579.00
"8,12",1216.07
"8,13",915.61
"8,14",1625.00
"8,15",1623.00
"8,16",1619.00
"8,17",1678.00
"8,18",1706.20
"8,19",1836.00
"8,20",944.81
"8,21",1047.42
"8,22",1564.73
"8,23",1265.70
"8,24",1914.60
"9,1",1369.00
"9,2",1327.00
"9,3",1303.00
"9,4",1294.00
"9,5",1270.00
"9,6",1293.00
"9,7",1352.00
"9,8",1448.00
"9,9",0
"9,10",108.01
"9,11",18.18
"9,12",0
"9,13",0
"9,14",408.00
"9,15",550.89
"9,16",718.87
"9,17",580.33
"9,18",0
"9,19",50.48
"9,20",0
"9,21",0
"9,22",0
"9,23",0
"9,24",0
"10,1",1369.00
"10,2",1327.00
"10,3",1303.00
"10,4",1294.00
"10,5",1270.00
"10,6",1293.00
"10,7",1352.00
"10,8",9.56
"10,9",0
"10,10",0
"10,11",0
"10,12",0
"10,13",0
"10,14",0
"10,15",0
"10,16",0
"10,17",0
"10,18",0
"10,19",0
"10,20",0
"10,21",0
"10,22",0
"10,23",0
"10,24",0
