timepoint,temperature
1,-5.6
2,-8.3
3,-8.3
4,-9.4
5,-9.4
6,-9.4
7,-10.0
8,-10.0
9,-9.4
10,-10.0
11,-9.4
12,-10.0
13,-10.0
14,-8.9
15,-7.2
16,-5.0
17,-2.8
18,-1.1
19,0.0
20,1.1
21,2.2
22,2.2
23,0.0
24,-2.2
