timepoint,segments,MW,Price
1,1,1725,3499.99995267572
1,2,1725,3498.2445485851154
1,3,1725,3399.64269352568
1,4,1725,2755.0992632891694
1,5,1725,1530.399222848455
1,6,1725,540.3662663334393
1,7,1725,122.68121472653876
1,8,1725,18.57639674719218
1,9,1725,1.9473434063296746
1,10,1725,0.14592306137175307
2,1,1794,3499.9999901900933
2,2,1794,3499.2482327668595
2,3,1794,3434.8671591554075
2,4,1794,2896.30496900199
2,5,1794,1695.9688818109057
2,6,1794,622.4346597738518
2,7,1794,143.2077864713755
2,8,1794,21.377336672128916
2,9,1794,2.15024192136614
2,10,1794,0.15064259858804202
3,1,1760,3499.9999839698694
3,2,1760,3498.9741094200062
3,3,1760,3423.4674421798336
3,4,1760,2846.6844810583016
3,5,1760,1635.4189403084854
3,6,1760,591.9600988468263
3,7,1760,135.59272973952417
3,8,1760,20.35085903417335
3,9,1760,2.077227207966072
3,10,1760,0.14892275367423352
4,1,1747,3499.9999762322323
4,2,1747,3498.726680153415
4,3,1747,3414.994256462647
4,4,1747,2813.9294945623587
4,5,1747,1598.3525702547793
4,6,1747,574.1825767088458
4,7,1747,131.28231089175554
4,8,1747,19.78071562421051
4,9,1747,2.037399654198586
4,10,1747,0.1480777910974121
5,1,1745,3499.9999739889186
5,2,1745,3498.679509566508
5,3,1745,3413.4858758075384
5,4,1745,2808.101874819171
5,5,1745,1591.5482126367906
5,6,1745,570.7179347452796
5,7,1745,130.35582553853286
5,8,1745,19.63619261840029
5,9,1745,2.0234484622953035
5,10,1745,0.1472254632564065
6,1,1750,3499.9999794506098
6,2,1750,3498.800474258154
6,3,1750,3417.2016868872292
6,4,1750,2821.767809248306
6,5,1750,1606.6029305751524
6,6,1750,577.8353312944022
6,7,1750,132.0718387635715
6,8,1750,19.86379990201376
6,9,1750,2.0396260095531997
6,10,1750,0.147611722407118
7,1,1774,3499.999988308027
7,2,1774,3499.1488887746705
7,3,1774,3430.3492454487473
7,4,1774,2875.5728646557773
7,5,1774,1669.9095930128801
7,6,1774,609.1492059288595
7,7,1774,139.89703757324355
7,8,1774,20.941935434794495
7,9,1774,2.1217068807536354
7,10,1774,0.15032985043804706
8,1,1827,3499.999991504514
8,2,1827,3499.344826845645
8,3,1827,3440.1580180115675
8,4,1827,2923.5879540163996
8,5,1827,1733.3498674919283
8,6,1827,642.9698174422526
