,hour,LMP
DC_BGE_PEP,1,3500.00
DC_BGE_PEP,2,3500.00
DC_BGE_PEP,3,3500.00
DC_BGE_PEP,4,3500.00
DC_BGE_PEP,5,3500.00
DC_BGE_PEP,6,3500.00
DC_BGE_PEP,7,3500.00
DC_BGE_PEP,8,3500.00
DC_BGE_PEP,9,3500.00
DC_BGE_PEP,10,3500.00
DC_BGE_PEP,11,3500.00
DC_BGE_PEP,12,3500.00
DC_BGE_PEP,13,3500.00
DC_BGE_PEP,14,3500.00
DC_BGE_PEP,15,3500.00
DC_BGE_PEP,16,3500.00
DC_BGE_PEP,17,3500.00
DC_BGE_PEP,18,3500.00
DC_BGE_PEP,19,3500.00
DC_BGE_PEP,20,3500.00
DC_BGE_PEP,21,3500.00
DC_BGE_PEP,22,3500.00
DC_BGE_PEP,23,3500.00
DC_BGE_PEP,24,103.90
EAST,1,885.55
EAST,2,220.88
EAST,3,216.88
EAST,4,51.46
EAST,5,314.95
EAST,6,329.02
EAST,7,1310.00
EAST,8,1486.97
EAST,9,1621.93
EAST,10,472.80
EAST,11,462.62
EAST,12,449.77
EAST,13,81.86
EAST,14,26.75
EAST,15,25.96
EAST,16,26.13
EAST,17,21.88
EAST,18,21.88
EAST,19,26.54
EAST,20,66.49
EAST,21,26.59
EAST,22,23.19
EAST,23,26.25
EAST,24,21.82
PA_METED_PPL,1,3500.00
PA_METED_PPL,2,3500.00
PA_METED_PPL,3,237.41
PA_METED_PPL,4,63.43
PA_METED_PPL,5,331.64
PA_METED_PPL,6,345.70
PA_METED_PPL,7,1325.76
PA_METED_PPL,8,1498.45
PA_METED_PPL,9,3500.00
PA_METED_PPL,10,489.05
PA_METED_PPL,11,479.27
PA_METED_PPL,12,466.42
PA_METED_PPL,13,97.31
PA_METED_PPL,14,39.19
PA_METED_PPL,15,39.21
PA_METED_PPL,16,37.01
PA_METED_PPL,17,33.33
PA_METED_PPL,18,29.09
PA_METED_PPL,19,43.20
PA_METED_PPL,20,83.18
PA_METED_PPL,21,43.28
PA_METED_PPL,22,38.96
PA_METED_PPL,23,37.22
PA_METED_PPL,24,34.08
VA_DOM,1,3500.00
VA_DOM,2,3500.00
VA_DOM,3,3500.00
VA_DOM,4,3500.00
VA_DOM,5,3500.00
VA_DOM,6,3500.00
VA_DOM,7,3500.00
VA_DOM,8,3500.00
VA_DOM,9,3500.00
VA_DOM,10,3500.00
VA_DOM,11,3500.00
VA_DOM,12,3500.00
VA_DOM,13,3500.00
VA_DOM,14,3500.00
VA_DOM,15,3500.00
VA_DOM,16,3500.00
VA_DOM,17,3500.00
VA_DOM,18,3500.00
VA_DOM,19,3500.00
VA_DOM,20,3500.00
VA_DOM,21,3500.00
VA_DOM,22,3500.00
VA_DOM,23,3500.00
VA_DOM,24,103.90
WEST,1,3500.00
WEST,2,3500.00
WEST,3,3500.00
WEST,4,3500.00
WEST,5,3500.00
WEST,6,3500.00
WEST,7,3500.00
WEST,8,3500.00
WEST,9,3500.00
WEST,10,3500.00
WEST,11,3500.00
WEST,12,3500.00
WEST,13,3500.00
WEST,14,3500.00
WEST,15,3500.00
WEST,16,3500.00
WEST,17,3500.00
WEST,18,3500.00
WEST,19,3500.00
WEST,20,3500.00
WEST,21,3500.00
WEST,22,3500.00
WEST,23,3500.00
WEST,24,103.90
