,congestion price ($/MW),flow (MW)
EAST_to_PA_METED_PPL-22,-15.46,6200.00
EAST_to_PA_METED_PPL-23,-10.75,6200.00
EAST_to_PA_METED_PPL-24,-12.02,6200.00
EAST_to_VA_DOM-1,-2562.16,0
EAST_to_VA_DOM-2,-3213.54,0
EAST_to_VA_DOM-3,-3217.45,0
EAST_to_VA_DOM-4,-3379.57,0
EAST_to_VA_DOM-5,-3121.35,0
EAST_to_VA_DOM-6,-3107.56,0
EAST_to_VA_DOM-7,-2146.20,0
EAST_to_VA_DOM-8,-1972.77,0
EAST_to_VA_DOM-9,-1840.51,0
EAST_to_VA_DOM-10,-2966.65,0
EAST_to_VA_DOM-11,-2976.64,0
EAST_to_VA_DOM-12,-2989.23,0
EAST_to_VA_DOM-13,-3349.78,0
EAST_to_VA_DOM-14,-3403.78,0
EAST_to_VA_DOM-15,-3404.56,0
EAST_to_VA_DOM-16,-3404.39,0
EAST_to_VA_DOM-17,-3408.56,0
EAST_to_VA_DOM-18,-3408.56,0
EAST_to_VA_DOM-19,-3403.99,0
EAST_to_VA_DOM-20,-3364.84,0
EAST_to_VA_DOM-21,-3403.94,0
EAST_to_VA_DOM-22,-3407.28,0
EAST_to_VA_DOM-23,-3404.27,0
EAST_to_VA_DOM-24,-80.44,0
EAST_to_WEST-1,-2562.16,0
EAST_to_WEST-2,-3213.54,0
EAST_to_WEST-3,-3217.45,0
EAST_to_WEST-4,-3379.57,0
EAST_to_WEST-5,-3121.35,0
EAST_to_WEST-6,-3107.56,0
EAST_to_WEST-7,-2146.20,0
EAST_to_WEST-8,-1972.77,0
EAST_to_WEST-9,-1840.51,0
EAST_to_WEST-10,-2966.65,0
EAST_to_WEST-11,-2976.64,0
EAST_to_WEST-12,-2989.23,0
EAST_to_WEST-13,-3349.78,0
EAST_to_WEST-14,-3403.78,0
EAST_to_WEST-15,-3404.56,0
EAST_to_WEST-16,-3404.39,0
EAST_to_WEST-17,-3408.56,0
EAST_to_WEST-18,-3408.56,0
EAST_to_WEST-19,-3403.99,0
EAST_to_WEST-20,-3364.84,0
EAST_to_WEST-21,-3403.94,0
EAST_to_WEST-22,-3407.28,0
EAST_to_WEST-23,-3404.27,0
EAST_to_WEST-24,-80.44,0
VA_DOM_to_PA_METED_PPL-1,0,0
VA_DOM_to_PA_METED_PPL-2,0,0
VA_DOM_to_PA_METED_PPL-3,3197.33,0
VA_DOM_to_PA_METED_PPL-4,3367.84,0
VA_DOM_to_PA_METED_PPL-5,3104.99,0
VA_DOM_to_PA_METED_PPL-6,3091.21,0
VA_DOM_to_PA_METED_PPL-7,2130.75,0
VA_DOM_to_PA_METED_PPL-8,1961.52,0
VA_DOM_to_PA_METED_PPL-9,0,0
VA_DOM_to_PA_METED_PPL-10,2950.73,0
VA_DOM_to_PA_METED_PPL-11,2960.31,0
VA_DOM_to_PA_METED_PPL-12,2972.91,0
VA_DOM_to_PA_METED_PPL-13,3334.64,0
VA_DOM_to_PA_METED_PPL-14,3391.59,0
VA_DOM_to_PA_METED_PPL-15,3391.57,0
VA_DOM_to_PA_METED_PPL-16,3393.73,0
VA_DOM_to_PA_METED_PPL-17,3397.34,0
VA_DOM_to_PA_METED_PPL-18,3401.49,0
VA_DOM_to_PA_METED_PPL-19,3387.67,0
VA_DOM_to_PA_METED_PPL-20,3348.48,0
VA_DOM_to_PA_METED_PPL-21,3387.59,0
VA_DOM_to_PA_METED_PPL-22,3391.82,0
VA_DOM_to_PA_METED_PPL-23,3393.52,0
VA_DOM_to_PA_METED_PPL-24,68.42,0
WEST_to_DC_BGE_PEP-1,0,-4145.23
WEST_to_DC_BGE_PEP-2,0,-5100.00
WEST_to_DC_BGE_PEP-3,0,-5100.00
WEST_to_DC_BGE_PEP-4,0,-5100.00
WEST_to_DC_BGE_PEP-5,0,-4295.97
WEST_to_DC_BGE_PEP-6,0,-4136.20
WEST_to_DC_BGE_PEP-7,0,-4744.92
WEST_to_DC_BGE_PEP-8,0,-3207.50
WEST_to_DC_BGE_PEP-9,0,-5100.00
WEST_to_DC_BGE_PEP-10,0,-5100.00
WEST_to_DC_BGE_PEP-11,0,-5100.00
WEST_to_DC_BGE_PEP-12,0,2522.86
WEST_to_DC_BGE_PEP-13,0,1411.48
WEST_to_DC_BGE_PEP-14,0,-5100.00
WEST_to_DC_BGE_PEP-15,0,-5100.00
WEST_to_DC_BGE_PEP-16,0,-4786.51
WEST_to_DC_BGE_PEP-17,0,-3817.26
WEST_to_DC_BGE_PEP-18,0,-5100.00
WEST_to_DC_BGE_PEP-19,0,-5100.00
WEST_to_DC_BGE_PEP-20,0,-2502.69
WEST_to_DC_BGE_PEP-21,0,-2967.54
WEST_to_DC_BGE_PEP-22,0,-5100.00
WEST_to_DC_BGE_PEP-23,0,-5100.00
WEST_to_DC_BGE_PEP-24,0,-3874.61
WEST_to_PA_METED_PPL-1,0,-3996.46
WEST_to_PA_METED_PPL-2,0,-4450.00
WEST_to_PA_METED_PPL-3,3197.33,-4450.00
WEST_to_PA_METED_PPL-4,3367.84,-4450.00
WEST_to_PA_METED_PPL-5,3104.99,-4450.00
WEST_to_PA_METED_PPL-6,3091.21,-4450.00
WEST_to_PA_METED_PPL-7,2130.75,-4450.00
WEST_to_PA_METED_PPL-8,1961.52,-3800.00
WEST_to_PA_METED_PPL-9,0,-3800.00
WEST_to_PA_METED_PPL-10,2950.73,-3800.00
WEST_to_PA_METED_PPL-11,2960.31,-3800.00
WEST_to_PA_METED_PPL-12,2972.91,-3800.00
WEST_to_PA_METED_PPL-13,3334.64,-3800.00
WEST_to_PA_METED_PPL-14,3391.59,-3800.00
WEST_to_PA_METED_PPL-15,3391.57,-3800.00
WEST_to_PA_METED_PPL-16,3393.73,-3800.00
WEST_to_PA_METED_PPL-17,3397.34,-3800.00
WEST_to_PA_METED_PPL-18,3401.49,-3800.00
WEST_to_PA_METED_PPL-19,3387.67,-3800.00
WEST_to_PA_METED_PPL-20,3348.48,-3800.00
WEST_to_PA_METED_PPL-21,3387.59,-3800.00
WEST_to_PA_METED_PPL-22,3391.82,-3800.00
WEST_to_PA_METED_PPL-23,3393.52,-3800.00
WEST_to_PA_METED_PPL-24,68.42,-4450.00
WEST_to_VA_DOM-1,0,1344.06
WEST_to_VA_DOM-2,0,2333.70
WEST_to_VA_DOM-3,0,1695.97
WEST_to_VA_DOM-4,0,1849.34
WEST_to_VA_DOM-5,0,1689.68
WEST_to_VA_DOM-6,0,2807.81
WEST_to_VA_DOM-7,0,3155.49
WEST_to_VA_DOM-8,0,-3300.00
WEST_to_VA_DOM-9,0,-2344.81
WEST_to_VA_DOM-10,0,-338.56
WEST_to_VA_DOM-11,0,2176.91
WEST_to_VA_DOM-12,0,-3300.00
WEST_to_VA_DOM-13,0,-3300.00
WEST_to_VA_DOM-14,0,2871.65
WEST_to_VA_DOM-15,0,1902.43
WEST_to_VA_DOM-16,0,3055.37
WEST_to_VA_DOM-17,0,2793.66
WEST_to_VA_DOM-18,0,2856.52
WEST_to_VA_DOM-19,0,2521.47
WEST_to_VA_DOM-20,0,-3300.00
WEST_to_VA_DOM-21,0,-535.47
WEST_to_VA_DOM-22,0,779.40
WEST_to_VA_DOM-23,0,964.97
WEST_to_VA_DOM-24,0,1433.94
