,congestion price ($/MW),flow (MW)
DC_BGE_PEP_to_PA_METED_PPL-1,0,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-2,0,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-3,3197.33,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-4,3367.84,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-5,3104.99,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-6,3091.21,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-7,2130.75,-2100.00
DC_BGE_PEP_to_PA_METED_PPL-8,1961.52,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-9,0,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-10,2950.73,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-11,2960.31,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-12,2972.91,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-13,3334.64,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-14,3391.59,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-15,3391.57,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-16,3393.73,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-17,3397.34,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-18,3401.49,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-19,3387.67,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-20,3348.48,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-21,3387.59,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-22,3391.82,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-23,3393.52,-2200.00
DC_BGE_PEP_to_PA_METED_PPL-24,68.42,-2100.00
DC_BGE_PEP_to_VA_DOM-1,0,-3800.00
DC_BGE_PEP_to_VA_DOM-2,0,-3760.73
DC_BGE_PEP_to_VA_DOM-3,0,-3251.19
DC_BGE_PEP_to_VA_DOM-4,0,-3508.30
DC_BGE_PEP_to_VA_DOM-5,0,-3800.00
DC_BGE_PEP_to_VA_DOM-6,0,-3800.00
DC_BGE_PEP_to_VA_DOM-7,0,-3800.00
DC_BGE_PEP_to_VA_DOM-8,0,-3800.00
DC_BGE_PEP_to_VA_DOM-9,0,-1988.73
DC_BGE_PEP_to_VA_DOM-10,0,-1996.84
DC_BGE_PEP_to_VA_DOM-11,0,-2792.61
DC_BGE_PEP_to_VA_DOM-12,0,2901.22
DC_BGE_PEP_to_VA_DOM-13,0,944.55
DC_BGE_PEP_to_VA_DOM-14,0,-3800.00
DC_BGE_PEP_to_VA_DOM-15,0,-2075.57
DC_BGE_PEP_to_VA_DOM-16,0,-3800.00
DC_BGE_PEP_to_VA_DOM-17,0,-3800.00
DC_BGE_PEP_to_VA_DOM-18,0,-3709.72
DC_BGE_PEP_to_VA_DOM-19,0,-2848.42
DC_BGE_PEP_to_VA_DOM-20,0,-2360.86
DC_BGE_PEP_to_VA_DOM-21,0,-3800.00
DC_BGE_PEP_to_VA_DOM-22,0,-3472.90
DC_BGE_PEP_to_VA_DOM-23,0,-3330.49
DC_BGE_PEP_to_VA_DOM-24,0,-3800.00
EAST_to_DC_BGE_PEP-1,-2562.16,0
EAST_to_DC_BGE_PEP-2,-3213.54,0
EAST_to_DC_BGE_PEP-3,-3217.45,0
EAST_to_DC_BGE_PEP-4,-3379.57,0
EAST_to_DC_BGE_PEP-5,-3121.35,0
EAST_to_DC_BGE_PEP-6,-3107.56,0
EAST_to_DC_BGE_PEP-7,-2146.20,0
EAST_to_DC_BGE_PEP-8,-1972.77,0
EAST_to_DC_BGE_PEP-9,-1840.51,0
EAST_to_DC_BGE_PEP-10,-2966.65,0
EAST_to_DC_BGE_PEP-11,-2976.64,0
EAST_to_DC_BGE_PEP-12,-2989.23,0
EAST_to_DC_BGE_PEP-13,-3349.78,0
EAST_to_DC_BGE_PEP-14,-3403.78,0
EAST_to_DC_BGE_PEP-15,-3404.56,0
EAST_to_DC_BGE_PEP-16,-3404.39,0
EAST_to_DC_BGE_PEP-17,-3408.56,0
EAST_to_DC_BGE_PEP-18,-3408.56,0
EAST_to_DC_BGE_PEP-19,-3403.99,0
EAST_to_DC_BGE_PEP-20,-3364.84,0
EAST_to_DC_BGE_PEP-21,-3403.94,0
EAST_to_DC_BGE_PEP-22,-3407.28,0
EAST_to_DC_BGE_PEP-23,-3404.27,0
EAST_to_DC_BGE_PEP-24,-80.44,0
EAST_to_PA_METED_PPL-1,-2562.16,6200.00
EAST_to_PA_METED_PPL-2,-3213.54,6200.00
EAST_to_PA_METED_PPL-3,-20.12,6200.00
EAST_to_PA_METED_PPL-4,-11.73,6200.00
EAST_to_PA_METED_PPL-5,-16.36,6200.00
EAST_to_PA_METED_PPL-6,-16.35,6200.00
EAST_to_PA_METED_PPL-7,-15.45,6200.00
EAST_to_PA_METED_PPL-8,-11.25,6200.00
EAST_to_PA_METED_PPL-9,-1840.51,6200.00
EAST_to_PA_METED_PPL-10,-15.93,6200.00
EAST_to_PA_METED_PPL-11,-16.32,6200.00
EAST_to_PA_METED_PPL-12,-16.32,6200.00
EAST_to_PA_METED_PPL-13,-15.14,6200.00
EAST_to_PA_METED_PPL-14,-12.19,6200.00
EAST_to_PA_METED_PPL-15,-12.99,6200.00
EAST_to_PA_METED_PPL-16,-10.65,6200.00
EAST_to_PA_METED_PPL-17,-11.22,6200.00
EAST_to_PA_METED_PPL-18,-7.07,6200.00
EAST_to_PA_METED_PPL-19,-16.32,6200.00
EAST_to_PA_METED_PPL-20,-16.36,6200.00
EAST_to_PA_METED_PPL-21,-16.36,6200.00
