,MW on reserve segment
"1,1",2016.00
"1,2",1988.00
"1,3",1977.00
"1,4",1978.00
"1,5",2217.00
"1,6",2256.00
"1,7",2336.00
"1,8",2445.00
"1,9",2520.00
"1,10",2514.00
"1,11",2497.00
"1,12",2481.00
"1,13",2457.00
"1,14",2428.00
"1,15",2394.00
"1,16",2362.00
"1,17",2105.00
"1,18",2137.00
"1,19",2221.00
"1,20",2252.00
"1,21",2246.00
"1,22",2046.00
"1,23",2179.00
"1,24",2089.00
"2,1",2016.00
"2,2",1988.00
"2,3",1977.00
"2,4",1978.00
"2,5",2217.00
"2,6",2256.00
"2,7",2336.00
"2,8",2445.00
"2,9",2520.00
"2,10",2514.00
"2,11",2497.00
"2,12",2481.00
"2,13",2457.00
"2,14",2428.00
"2,15",2394.00
"2,16",2362.00
"2,17",2105.00
"2,18",2137.00
"2,19",2221.00
"2,20",2252.00
"2,21",2246.00
"2,22",2046.00
"2,23",2179.00
"2,24",2089.00
"3,1",2016.00
"3,2",1988.00
"3,3",1977.00
"3,4",1978.00
"3,5",2217.00
"3,6",2256.00
"3,7",2336.00
"3,8",2445.00
"3,9",2520.00
"3,10",2514.00
"3,11",2497.00
"3,12",2481.00
"3,13",2457.00
"3,14",2428.00
"3,15",2394.00
"3,16",2362.00
"3,17",2105.00
"3,18",2137.00
"3,19",2221.00
"3,20",2252.00
"3,21",2246.00
"3,22",2046.00
"3,23",2179.00
"3,24",2089.00
"4,1",2016.00
"4,2",1988.00
"4,3",1977.00
"4,4",1978.00
"4,5",2217.00
"4,6",2256.00
"4,7",2336.00
"4,8",2445.00
"4,9",2520.00
"4,10",2514.00
"4,11",2497.00
"4,12",2481.00
"4,13",2457.00
"4,14",2428.00
"4,15",2394.00
"4,16",2362.00
"4,17",2105.00
"4,18",2137.00
"4,19",2221.00
"4,20",2252.00
"4,21",2246.00
"4,22",2046.00
"4,23",2179.00
"4,24",2089.00
"5,1",2016.00
"5,2",1988.00
"5,3",1977.00
"5,4",1978.00
"5,5",2217.00
"5,6",2256.00
"5,7",2336.00
"5,8",2445.00
"5,9",2520.00
"5,10",2514.00
"5,11",2497.00
"5,12",2481.00
"5,13",2457.00
"5,14",2428.00
"5,15",2394.00
"5,16",2362.00
"5,17",2105.00
"5,18",2137.00
"5,19",2221.00
"5,20",2252.00
"5,21",2246.00
"5,22",2046.00
"5,23",2179.00
"5,24",2089.00
"6,1",1379.83
"6,2",1988.00
"6,3",1977.00
"6,4",1978.00
"6,5",2217.00
"6,6",2256.00
"6,7",2253.08
"6,8",947.75
"6,9",1556.01
"6,10",2514.00
"6,11",2497.00
"6,12",2481.00
"6,13",2457.00
"6,14",2428.00
"6,15",2394.00
"6,16",2362.00
"6,17",2105.00
"6,18",2137.00
"6,19",2221.00
"6,20",2252.00
"6,21",2246.00
"6,22",2046.00
"6,23",2179.00
"6,24",2089.00
"7,1",0
"7,2",288.26
"7,3",985.11
"7,4",1978.00
"7,5",920.12
"7,6",1049.79
"7,7",0
"7,8",0
"7,9",0
"7,10",1307.68
"7,11",1744.01
"7,12",2478.60
"7,13",2457.00
"7,14",2428.00
"7,15",2394.00
"7,16",2362.00
"7,17",2105.00
"7,18",2137.00
"7,19",2221.00
"7,20",2252.00
"7,21",2246.00
"7,22",2046.00
"7,23",2179.00
"7,24",2089.00
"8,1",0
"8,2",0
"8,3",0
"8,4",99.58
"8,5",0
"8,6",0
"8,7",0
"8,8",0
"8,9",0
"8,10",0
"8,11",0
"8,12",0
"8,13",1441.90
"8,14",2428.00
"8,15",2394.00
"8,16",2362.00
"8,17",2105.00
"8,18",2137.00
"8,19",2221.00
"8,20",2223.34
"8,21",2246.00
"8,22",2046.00
"8,23",2179.00
"8,24",2089.00
"9,1",0
"9,2",0
"9,3",0
"9,4",0
"9,5",0
"9,6",0
"9,7",0
"9,8",0
"9,9",0
"9,10",0
"9,11",0
"9,12",0
"9,13",0
"9,14",85.68
"9,15",1268.53
"9,16",1871.74
"9,17",2105.00
"9,18",2137.00
"9,19",150.84
"9,20",0
"9,21",107.12
"9,22",2046.00
"9,23",1955.56
"9,24",2089.00
"10,1",0
"10,2",0
"10,3",0
"10,4",0
"10,5",0
"10,6",0
"10,7",0
"10,8",0
"10,9",0
"10,10",0
"10,11",0
"10,12",0
"10,13",0
"10,14",0
"10,15",0
"10,16",0
"10,17",1920.52
"10,18",818.01
"10,19",0
"10,20",0
"10,21",0
"10,22",75.10
"10,23",0
"10,24",1580.29
