Gen_Index,Fuel_Cost	,Pmin,start_cost,Can_Spin,Min_Up,Min_Down
Crisfield 14,132.21805012000002,0.25,250.0,1,2,1
Vienna 10,49.414422514545,0.25,525.0,1,2,1
Vienna 08,21.70291473,0.4,15600.0,1,6,6
Deep Creek 2,0.0,0.0,0.0,1,10,8
Deep Creek 1,0.0,0.0,0.0,1,10,8
Chalk Point CT 1,63.370486485405,0.25,450.0,1,2,1
Chalk Point SMECO CT,63.370486485405,0.25,2325.0,1,2,1
Chalk Point CT 2,63.370486485405,0.25,875.0,1,2,1
Chalk Point CT 3,63.370486485405,0.25,2475.0,1,2,1
Chalk Point 2,27.156008901000003,0.4,34300.0,1,6,6
Chalk Point 3,27.156008901000003,0.4,61200.0,1,6,6
Chalk Point CT 6,63.370486485405,0.25,3000.0,1,2,1
Chalk Point CT 4,63.370486485405,0.25,2475.0,1,2,1
Chalk Point 4,27.156008901000003,0.4,61200.0,1,6,6
Chalk Point 1,27.156008901000003,0.4,34100.0,1,6,6
Chalk Point CT 5,63.370486485405,0.25,3000.0,1,2,1
Dickerson CT,72.9315599166,0.25,450.0,1,2,1
Dickerson H CT 2,72.9315599166,0.25,4175.0,1,2,1
Dickerson 1,31.253193720000002,0.4,18200.0,1,6,6
Dickerson 3,31.253193720000002,0.4,18200.0,1,6,6
Dickerson H CT 1,72.9315599166,0.25,4175.0,1,2,1
Dickerson 2,31.253193720000002,0.4,18200.0,1,6,6
Morgantown CT 5,51.1538682699,0.25,1625.0,1,2,1
Morgantown CT 4,51.1538682699,0.25,1625.0,1,2,1
Morgantown CT 6,51.1538682699,0.25,1625.0,1,2,1
Morgantown CT 3,51.1538682699,0.25,1625.0,1,2,1
Morgantown CT 2,51.1538682699,0.25,500.0,1,2,1
Morgantown 2,21.920849580000002,0.4,62000.0,1,6,6
Morgantown 1,21.920849580000002,0.4,62400.0,1,6,6
Morgantown CT 1,51.1538682699,0.25,500.0,1,2,1
Conowingo 10,0.0,0.0,0.0,1,10,8
Conowingo 01,0.0,0.0,0.0,1,10,8
Conowingo 11,0.0,0.0,0.0,1,10,8
Conowingo 09,0.0,0.0,0.0,1,10,8
Conowingo 07,0.0,0.0,0.0,1,10,8
Conowingo 04,0.0,0.0,0.0,1,10,8
Conowingo 05,0.0,0.0,0.0,1,10,8
Conowingo 06,0.0,0.0,0.0,1,10,8
Conowingo 02,0.0,0.0,0.0,1,10,8
Conowingo 08,0.0,0.0,0.0,1,10,8
Conowingo 03,0.0,0.0,0.0,1,10,8
Easton 12,277.79555557000003,0.25,102.49999999999999,1,2,1
Easton 11,277.79555557000003,0.25,90.0,1,2,1
Easton 07,277.79555557000003,0.25,50.0,1,2,1
Easton101,277.79555557000003,0.25,37.5,1,2,1
Easton 13,277.79555557000003,0.25,140.0,1,2,1
Easton 10,277.79555557000003,0.25,87.5,1,2,1
Easton102,277.79555557000003,0.25,37.5,1,2,1
Easton 14,277.79555557000003,0.25,140.0,1,2,1
Easton 08,277.79555557000003,0.25,50.0,1,2,1
Easton 09,277.79555557000003,0.25,62.5,1,2,1
