Gen_Index,commitinit,upinit,downinit
General Foods 1 NUG,0,0,172
Kent CT 2,1,6,0
Kent CT 1,0,0,172
LGP NUG (Logan),1,72,0
Kinsley Landfill,0,0,172
Cogentrix Portsmouth 2 (Lk.Kingman),1,18,0
Cogentrix Portsmouth 1 (Lk.Kingman),1,18,0
PCLP1 NUG,0,0,172
Gilberton NUG,1,72,0
Harrisburg NUG,1,72,0
IUP NUG,1,15,0
Colver NUG,1,72,0
Grant Town,1,72,0
South River NUG,0,0,172
Mt Carmel Cogen (FosterWheeler),1,72,0
Cogentrix Hopewell 2 (James River),1,19,0
Cogentrix Hopewell 1 (James River),1,18,0
Edgecombe 2 (Rocky Mt),1,15,0
Edgecombe 1 (Rocky Mt),1,15,0
Camden County RR NUG,0,0,172
CPGP NUG (Chambers/Carneys PT),1,11,0
Ebensburg NUG,1,72,0
Baltimore Resco NUG (Bresco),1,72,0
Hopewell Cogen 1 (HCF),0,0,172
Cambria County NUG,1,72,0
Essex County RR NUG (Covanta),0,0,172
AES Beaver,0,0,172
Warrior Run,1,72,0
Del Resource Mgmt Inc NUG,0,0,172
Camden COGEN,0,0,172
Hopewell Coal (Polyester),1,72,0
Altavista (Hall Branch),1,5,0
Southampton 1,0,0,172
Kenilworth NUG,0,0,172
Hazelton LM 200,0,0,172
Hazelton LM 400,0,0,172
Hazelton GT 100,0,0,172
Hazelton LM 300,0,0,172
Big Sandy 1,0,0,172
Big Sandy (AEP) 2,1,72,0
Big Sandy 4,0,0,172
Big Sandy (AEP) 1,1,72,0
Big Sandy 5,0,0,172
Big Sandy 3,0,0,172
Big Sandy 6,0,0,172
Big Sandy 2,0,0,172
Barkley 3,0,0,172
Barkley 2,1,72,0
Barkley 1,1,72,0
Barkley 4,1,72,0
Elmer Smith 1,1,17,0
Elmer Smith 2,1,30,0
Wolf Creek 6,1,72,0
Wolf Creek 5,1,72,0
Wolf Creek 4,1,72,0
Wolf Creek 1,1,72,0
Wolf Creek 2,1,72,0
Wolf Creek 3,1,72,0
Cooper 2,1,8,0
Cooper 1,1,72,0
Dale 2,0,0,172
Dale 3,0,0,172
Dale 4,0,0,172
Dale 1,0,0,172
Charles Crane CT 1,1,6,0
Charles Crane 1,1,72,0
Charles Crane 2,1,72,0
Gould St 3,0,0,172
Herbert Wagner 4,1,6,0
Herbert Wagner 2,1,72,0
Herbert Wagner 3,1,72,0
Herbert Wagner 1,1,10,0
Herbert Wagner CT 1,1,6,0
Notch Cliff 3,0,0,172
Notch Cliff 2,0,0,172
Notch Cliff 5,0,0,172
Notch Cliff 7,0,0,172
Notch Cliff 6,0,0,172
Notch Cliff 8,0,0,172
Notch Cliff 1,0,0,172
Notch Cliff 4,0,0,172
Perryman 2,1,5,0
Perryman 51,0,0,172
Perryman 1,1,5,0
Perryman 4,1,5,0
Perryman 3,0,0,172
Philadelphia Road 4,1,6,0
Philadelphia Road 1,0,0,172
Philadelphia Road 3,1,6,0
Philadelphia Road 2,1,6,0
Riverside 7,0,0,172
Riverside 1 (Zelda 1),0,0,172
Riverside 2 (Zelda 2),1,8,0
Riverside 8,0,0,172
Riverside 6,0,0,172
Riverside 3 (Zelda 3),1,6,0
Riverside 4,0,0,172
Westport 5,0,0,172
Crisfield 14,0,0,172
Vienna 10,0,0,172
Vienna 08,0,0,172
Deep Creek 2,1,72,0
Deep Creek 1,1,72,0
Chalk Point CT 1,1,5,0
Chalk Point SMECO CT,0,0,172
Chalk Point CT 2,0,0,172
Chalk Point CT 3,0,0,172
Chalk Point 2,1,72,0
Chalk Point 3,0,0,172
Chalk Point CT 6,1,6,0
Chalk Point CT 4,0,0,172
Chalk Point 4,0,0,172
Chalk Point 1,1,72,0
Chalk Point CT 5,1,6,0
Dickerson CT,0,0,172
Dickerson H CT 2,0,0,172
Dickerson 1,1,72,0
Dickerson 3,1,16,0
Dickerson H CT 1,0,0,172
Dickerson 2,1,72,0
Morgantown CT 5,1,6,0
Morgantown CT 4,1,6,0
Morgantown CT 6,1,6,0
Morgantown CT 3,1,6,0
Morgantown CT 2,1,6,0
Morgantown 2,1,72,0
Morgantown 1,1,72,0
Morgantown CT 1,1,6,0
Conowingo 10,1,15,0
Conowingo 01,1,4,0
Conowingo 11,1,15,0
Conowingo 09,1,6,0
Conowingo 07,1,4,0
Conowingo 04,1,15,0
Conowingo 05,1,15,0
Conowingo 06,1,4,0
Conowingo 02,1,32,0
Conowingo 08,1,6,0
Conowingo 03,1,15,0
Easton 12,0,0,172
Easton 11,0,0,172
Easton 07,0,0,172
Easton101,0,0,172
Easton 13,0,0,172
Easton 10,0,0,172
Easton102,0,0,172
Easton 14,0,0,172
Easton 08,0,0,172
Easton 09,0,0,172
Berr Sprg 12,1,72,0
Berr Sprg 09,0,0,172
Berr Sprg 01,0,0,14
Berr Sprg 02,0,0,172
Berr Sprg 05,0,0,15
Berr Sprg 07,0,0,172
Berr Sprg 04,0,0,172
Berr Sprg 10,0,0,172
Berr Sprg 11,1,72,0
Berr Sprg 08,1,72,0
Berr Sprg 06,0,0,172
Berr Sprg 03,0,0,172
Buchanan 10,1,72,0
Buchanan 01,0,0,31
Buchanan 06,1,72,0
Buchanan 05,1,11,0
Buchanan 04,0,0,20
Buchanan 08,1,72,0
Buchanan 09,1,72,0
Buchanan 07,1,72,0
Buchanan 03,0,0,23
Buchanan 02,0,0,25
Constantine 2,0,0,12
Constantine 1,1,72,0
Constantine 4,1,72,0
Constantine 3,0,0,172
Mottville 1,1,72,0
Mottville 4,0,0,172
Mottville 2,0,0,1
Mottville 3,1,72,0
Clinton 1,1,72,0
England Diesel 4,0,0,172
England Diesel 2,0,0,172
England Diesel 3,0,0,172
England 2,1,72,0
England Diesel 1,0,0,172
England 1,0,0,172
England 3,0,0,172
Carll s Corner 1,0,0,172
Carll s Corner 2,0,0,172
Cedar Station 2,1,6,0
Cedar Station 1,1,6,0
Middle Station 1,1,6,0
Middle Station 3,0,0,172
Middle Station 2,1,7,0
Missouri Ave C,0,0,172
Missouri Ave B,1,6,0
Missouri Ave D,0,0,172
Deepwater 1,0,0,172
Deepwater 6/8,0,0,172
Werner C3,0,0,172
Werner C2,0,0,172
Werner C4,0,0,172
Werner C1,0,0,172
Oyster Creek 1,1,72,0
Sayreville C4,0,0,172
Sayreville C3,0,0,172
Sayreville C1,0,0,172
Sayreville C2,0,0,172
Gilbert 6,0,0,172
Gilbert C4,0,0,172
Gilbert C3,0,0,172
Gilbert C1,0,0,172
Gilbert 7,0,0,172
Gilbert 5,0,0,172
Gilbert 4,0,0,172
Gilbert C2,0,0,172
Gilbert CT 9,0,0,172
Gilbert 8CC,0,0,172
Bergen 3,0,0,172
Bergen 2CC,0,0,172
Bergen 1CC,0,0,172
Burlington 092,0,0,172
Burlington 093,0,0,172
Burlington 124,1,6,0
Burlington 091,0,0,172
Burlington 112,0,0,172
Burlington 123,1,6,0
Burlington 113,0,0,172
Burlington 008,0,0,172
Burlington 122,1,6,0
Burlington 111,0,0,172
Burlington 094,0,0,172
Burlington 114,0,0,172
Burlington 121,1,6,0
Edison 32,1,6,0
Edison 34,1,6,0
Edison 13,0,0,172
Edison 31,1,6,0
Edison 24,0,0,172
Edison 14,0,0,172
Edison 33,1,6,0
Edison 21,0,0,172
Edison 12,0,0,172
Edison 11,0,0,172
Edison 22,0,0,172
Edison 23,0,0,172
Essex 123,0,0,172
Essex 122,0,0,172
Essex 114,0,0,172
Essex 103,0,0,172
Essex 121,0,0,172
Essex 101,1,6,0
Essex 9,1,5,0
Essex 104,0,0,172
Essex 124,0,0,172
Essex 112,0,0,172
Essex 111,0,0,172
Essex 113,0,0,172
Essex 102,1,3,0
Hudson 2,0,0,24
Kearney 133,1,6,0
Kearney 132,1,6,0
Kearney 134,1,6,0
Kearney 142,1,6,0
Kearney 124,1,6,0
Kearney 131,1,6,0
Kearney 09,0,0,172
Kearney 122,1,6,0
Kearney 121,1,5,0
Kearney 141,1,6,0
Kearney 123,1,6,0
Linden 1,0,0,172
Linden 2,0,0,172
Linden 8,0,0,172
Linden 7,0,0,172
Linden 6,1,6,0
Linden 5,1,6,0
Mercer 1,0,0,172
Mercer 2,0,0,48
Mercer 3,0,0,172
National Park,0,0,172
Salem 1,1,72,0
Salem 3,0,0,172
Salem 2,1,72,0
Sewaren 1,0,0,172
Sewaren 2,0,0,172
Sewaren 6,0,0,172
Sewaren 3,0,0,172
Sewaren 4,0,0,172
Vineland CT 11,1,6,0
Gaston 4,0,0,5
Gaston 2,0,0,2
Gaston 1,0,0,3
Gaston 3,0,0,2
Roanoke Rapids 1,1,72,0
Roanoke Rapids 3,1,9,0
Roanoke Rapids 4,1,8,0
Roanoke Rapids 2,1,17,0
Buxton 3,0,0,172
Buxton 1,0,0,172
Buxton 2,0,0,172
Buxton 5,0,0,172
Buxton 4,0,0,172
Cardinal 1,0,0,24
Cardinal 3,0,0,172
Cardinal 2,1,72,0
Beckjord 5,1,72,0
Beckjord GT 4,1,2,0
Beckjord GT 1,1,6,0
Beckjord 6,1,72,0
Beckjord 4,0,0,172
Beckjord GT 3,1,6,0
Beckjord GT 2,0,0,172
Dicks Creek 5,0,0,172
Dicks Creek 4,0,0,172
Dicks Creek 3,0,0,172
Dicks Creek 1,0,0,172
Miami Fort 6,0,0,48
Miami Fort GT 4,0,0,172
Miami Fort GT 3,0,0,172
Miami Fort 7,1,72,0
Miami Fort GT 5,0,0,172
Miami Fort 8,1,72,0
Miami Fort GT 6,0,0,172
Ashtabula 5,0,0,172
Avon Lake 7,1,12,0
Avon Lake 10,0,0,172
Avon Lake 9,1,72,0
Eastlake 2,1,18,0
Eastlake 6 CT,0,0,172
Eastlake 3,1,13,0
Eastlake 1,1,72,0
Lake Shore D2,0,0,172
Lake Shore 18,1,7,0
Lake Shore D1,0,0,172
Conesville 6,1,17,0
Conesville 4,1,72,0
Conesville 5,1,16,0
Picway 5,0,0,172
Tait GT 2,0,0,172
Tait GT 3,0,0,172
Tait GT 1,0,0,172
Tait D 4,0,0,172
Tait D 1,0,0,172
Tait D 3,0,0,172
Tait D 2,0,0,172
Hutchings CT 7,0,0,172
Hutchings 3,0,0,172
Hutchings 6,0,0,172
Hutchings 1,0,0,172
Hutchings 2,0,0,172
Hutchings 5,0,0,172
Stuart 1,1,72,0
Stuart 4,1,72,0
Stuart 2,1,1,0
Stuart D 2,0,0,172
Stuart D 1,0,0,172
Stuart 3,0,0,172
Stuart D 4,0,0,172
Stuart D 3,0,0,172
Monument D 3,0,0,172
Monument D 5,0,0,172
Monument D 2,0,0,172
Monument D 1,0,0,172
Monument D 4,0,0,172
Sidney D 3,0,0,172
Sidney D 2,0,0,172
Sidney D 4,0,0,172
Sidney D 1,0,0,172
Sidney D 5,0,0,172
Yankee GT 4,0,0,172
Yankee GT 7,0,0,172
Yankee GT 5,0,0,172
Yankee GT 2,0,0,172
Yankee GT 1,0,0,172
Yankee GT 6,0,0,172
Yankee GT 3,0,0,172
Niles CT A,0,0,172
Burger B2,0,0,172
Burger B1,0,0,172
Burger A,0,0,172
Sammis B2,0,0,172
Sammis B3,0,0,172
Sammis 3,1,72,0
Sammis 6,1,72,0
Sammis 2,0,0,172
Sammis 1,1,72,0
Sammis A,0,0,172
Sammis 5,1,72,0
Sammis B1,0,0,172
Sammis 4,1,72,0
Sammis B4,0,0,172
Sammis 7,1,72,0
West Lorain 2,1,2,0
West Lorain A (Beaver),0,0,172
