timepoint,temperature
1,-7.8
2,-9.4
3,-11.1
4,-12.2
5,-13.3
6,-13.9
7,-14.4
8,-15.0
9,-15.0
10,-15.6
11,-16.1
12,-16.1
13,-16.7
14,-16.1
15,-14.4
16,-13.3
17,-12.2
18,-11.1
19,-9.4
20,-7.8
21,-7.8
22,-7.2
23,-7.8
24,-8.3
